environment,source_row,time_s,speed_rpm,acceleration_rpm_s,inlet_temperature_K,inlet_pressure_kPa,fuel_lbm_s
4,5724,85.845,9609.6214598218,60.2303166481168,239.455988115569,37.5898074200686,1.29878978178481
4,3744,56.145,9618.52155538353,14.8978794418227,239.455988115569,37.5898074200686,1.22264284708972
4,3306,49.575,9576.98411300178,-23.5996914964587,239.455988115569,37.5898074200686,1.16573899546317
4,4176,62.625,9454.89245619173,-61.2064773050874,239.455988115569,37.5898074200686,1.05202231578987
4,4418,66.255,9277.28163342507,-28.6152444967417,239.455988115569,37.5898074200686,1.01642753600956
4,5985,89.76,9750.21108995783,7.13491708090353,239.455988115569,37.5898074200686,1.20421103359144
4,5032,75.465,9496.20567738882,10.3895875149999,239.455988115569,37.5898074200686,1.18134456101354
4,3170,47.535,9644.57101156041,-39.3464655930776,239.455988115569,37.5898074200686,1.13785058104707
4,5613,84.18,9520.76650715484,56.4797549665903,239.455988115569,37.5898074200686,1.26947159132854
4,4788,71.805,9399.64696168595,45.7236598643746,239.455988115569,37.5898074200686,1.19152971033877
4,4551,68.25,9269.04611119838,22.5026049928354,239.455988115569,37.5898074200686,1.09079911231126
4,5812,87.165,9679.3054309226,49.0193308075541,239.455988115569,37.5898074200686,1.27427885133914
4,3450,51.735,9546.00583492166,-5.14687700941067,239.455988115569,37.5898074200686,1.1812615580046
4,3610,54.135,9571.0361373323,30.7387574366653,239.455988115569,37.5898074200686,1.25247455477556
4,3905,58.56,9630.20455719366,-4.06350542158996,239.455988115569,37.5898074200686,1.19292588909404
4,5408,81.105,9436.76415610684,2.85079660180558,239.455988115569,37.5898074200686,1.13990480238465
4,4243,63.63,9392.85041179482,-62.9264183432826,239.455988115569,37.5898074200686,1.0200488938863
4,5486,82.275,9451.48041093214,21.4885074531939,239.455988115569,37.5898074200686,1.17724049509259
4,3558,53.355,9557.2659928894,15.1083172298804,239.455988115569,37.5898074200686,1.21968506120542
4,4022,60.315,9582.28903279428,-38.9321318652935,239.455988115569,37.5898074200686,1.14194951318646
4,4113,61.68,9513.69854188534,-61.8167800657705,239.455988115569,37.5898074200686,1.07955560733376
4,4355,65.31,9306.36747574469,-41.4555866979131,239.455988115569,37.5898074200686,1.01127694906238
4,4442,66.615,9269.78748250992,-14.2823867504682,239.455988115569,37.5898074200686,1.03385474375812
4,3922,58.815,9627.63107932138,-18.6924223400752,239.455988115569,37.5898074200686,1.17055771481833
4,5649,84.72,9548.40126643828,44.5167410960643,239.455988115569,37.5898074200686,1.26375701868465
4,3094,46.395,9676.63835173678,-28.5170972332954,239.455988115569,37.5898074200686,1.15275284269343
4,5925,88.86,9740.28556143204,20.5006343430973,239.455988115569,37.5898074200686,1.22546604100246
4,5078,76.155,9496.14148376464,-5.23791632732549,239.455988115569,37.5898074200686,1.15626240180638
4,3020,45.285,9693.01955841287,-2.53181412499612,239.455988115569,37.5898074200686,1.19208697323555
4,5176,77.625,9478.68426386291,-24.8898838438912,239.455988115569,37.5898074200686,1.1179777060707
4,5750,86.235,9631.68236978653,48.649090119125,239.455988115569,37.5898074200686,1.27762578878641
4,4817,72.24,9416.81968470027,34.3860887225375,239.455988115569,37.5898074200686,1.18139257974685
5,4481,67.2,9264.23274669127,0.166682058026374,223.251744631627,26.1131085846816,0.789551278981715
5,5910,88.635,9733.90974606964,33.6341694018156,223.251744631627,26.1131085846816,0.824511722943459
5,4047,60.69,9564.47626644901,-55.6182947353485,223.251744631627,26.1131085846816,0.69655220110709
5,5544,83.145,9478.73968490793,35.796135659607,223.251744631627,26.1131085846816,0.835530766421649
5,4299,64.47,9346.8106361455,-52.0027411776653,223.251744631627,26.1131085846816,0.710860811522956
5,3053,45.78,9688.79780503554,-15.9971714048885,223.251744631627,26.1131085846816,0.750133723852429
5,5254,78.795,9457.94438801593,-13.5137360687377,223.251744631627,26.1131085846816,0.762414090338985
5,4655,69.81,9312.39301059871,41.639122694944,223.251744631627,26.1131085846816,0.852257352810889
5,5724,85.845,9609.72063505576,59.9078461652525,223.251744631627,26.1131085846816,0.868488909354468
5,3744,56.145,9618.44452989006,14.6747680201122,223.251744631627,26.1131085846816,0.799157739854154
5,3304,49.545,9577.76328671872,-25.1358858528019,223.251744631627,26.1131085846816,0.740709596909893
5,4417,66.24,9277.386340222,-29.1268585987245,223.251744631627,26.1131085846816,0.746410930923231
5,4176,62.625,9454.24807228259,-61.1664696219998,223.251744631627,26.1131085846816,0.693164574588748
5,5986,89.775,9750.30782248586,6.49668682011299,223.251744631627,26.1131085846816,0.782256190294325
5,5422,81.315,9438.21335300236,12.0297269801807,223.251744631627,26.1131085846816,0.80115168495472
5,3476,52.125,9543.30951183755,-1.69263406255665,223.251744631627,26.1131085846816,0.777011949418359
5,5612,84.165,9520.46599630043,56.4958901803507,223.251744631627,26.1131085846816,0.865678486147567
5,4787,71.79,9399.45083264596,45.985615059471,223.251744631627,26.1131085846816,0.854349862387892
5,3169,47.52,9645.13577873645,-39.1089619016187,223.251744631627,26.1131085846816,0.717480091511073
5,4550,68.235,9268.79176708084,22.3189577392261,223.251744631627,26.1131085846816,0.823875102285745
5,5812,87.165,9679.22449948233,48.7264868230025,223.251744631627,26.1131085846816,0.849425802070609
5,3610,54.135,9571.32224464525,30.9255706452631,223.251744631627,26.1131085846816,0.825327067306381
5,3891,58.35,9630.87317889556,-4.17842672106107,223.251744631627,26.1131085846816,0.770160777568562
5,3535,53.01,9551.74645727987,14.874800678247,223.251744631627,26.1131085846816,0.801658525632121
5,4243,63.63,9392.18521262757,-62.8409117307997,223.251744631627,26.1131085846816,0.693409285745287
