time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside
94.53,9584.26548429512,0.918189177407514,9586.03347131334,9587.43695182654,0.918189177407514,0.918189177407514,0,-54.698257230791,22.4355505952968,5,0,9250.85037091621,-9564.43021202192,269.447541514106,37.5856351443831,1.15820628049316e-10,1,0.99113094179644,0
94.545,9583.44501043666,0.917521862389012,9585.21400619335,9586.61502637243,0.917521862389012,0.917521862389012,0,-54.6670224621642,22.4505346683635,5,0,9245.61356188413,-9558.98750797701,269.447541514106,37.5856351443831,1.02866768917819e-10,1,0.991046094707283,0
94.56,9582.62500509972,0.916857520934317,9584.394968333,9585.79347711747,0.916857520934317,0.916857520934317,0,-54.6342070247786,22.4654332303338,5,0,9240.39207113841,-9553.55110791777,269.447541514106,37.5856351443831,9.1021896230916e-11,1,0.990961296069014,0
94.575,9581.80549199435,0.916196166930693,9583.57638105949,9584.97232798817,0.916196166930693,0.916196166930693,0,-54.5998146234099,22.4802458281292,5,0,9235.18602613544,-9548.12116360693,269.447541514106,37.5856351443831,8.02299129924159e-11,1,0.990876548333544,0
94.59,9580.986494775,0.915537814315738,9582.75826766302,9584.15160285492,0.915537814315738,0.915537814315738,0,-54.5638488874438,22.4949720054981,5,0,9229.99555441229,-9542.6978264421,269.447541514106,37.5856351443831,7.04303649520657e-11,1,0.990791853947033,0
94.605,9580.16803704169,0.914882477067471,9581.94065139596,9583.33132553216,0.914882477067471,0.914882477067471,0,-54.5263133781928,22.5096113033905,5,0,9224.8207835422,-9537.28124745317,269.447541514106,37.5856351443831,6.15679456734348e-11,1,0.990707215350016,0
94.62,9579.35014234102,0.914230169186722,9581.12355547203,9582.51151977875,0.914230169186722,0.914230169186722,0,-54.4872116010119,22.5241632606059,5,0,9219.66184105432,-9531.87157729146,269.447541514106,37.5856351443831,5.35869519609246e-11,1,0.990622634977498,0
94.635,9578.532834167,0.913580904675433,9580.30700306546,9581.69220929854,0.913580904675433,0.913580904675433,0,-54.4465470200935,22.5386274145885,5,0,9214.5188543332,-9526.46896621394,269.447541514106,37.5856351443831,4.64316799229397e-11,1,0.990538115259051,0
94.65,9577.7161359617,0.912934697511183,9579.49101731016,9580.87341774102,0.912934697511183,0.912934697511183,0,-54.4043230755851,22.5530033023586,5,0,9209.39195050033,-9521.07356406281,269.447541514106,37.5856351443831,4.0049329346427e-11,1,0.990453658618873,0
94.665,9576.90007111557,0.912291561621509,9578.6756212989,9580.05516870188,0.912291561621509,0.912291561621509,0,-54.3605432008729,22.5672904614525,5,0,9204.28125629287,-9515.68552024302,269.447541514106,37.5856351443831,3.43876274530187e-11,1,0.990369267475823,0
94.68,9576.08466296755,0.911651510858093,9577.86083808248,9579.23748572367,0.911651510858093,0.911651510858093,0,-54.3152094709028,22.5814886149495,4,0,9199.1868922613,-9510.3049701774,269.447541514106,37.5856351443831,9.34114410569001e-10,1,0.990284944243436,0
94.695,9575.26993482549,0.911014558974168,9577.04669066889,9578.42039229614,0.911014558974168,0.911014558974168,0,-54.26832822955,22.5955969154251,4,0,9194.10899587466,-9504.93209064648,269.447541514106,37.5856351443831,8.67712584679496e-10,1,0.990200691332029,0
94.71,9574.45590990204,0.910380719468357,9576.23320202254,9577.6039118619,0.910380719468357,0.910380719468357,0,-54.2199015543381,22.6096151181837,4,0,9189.04768519152,-9499.56701456499,269.447541514106,37.5856351443831,8.07749079285536e-10,1,0.990116511142077,0
94.725,9573.64261137873,0.909750005883171,9575.42039506339,9576.78806780398,0.909750005883171,0.909750005883171,0,-54.1699329722851,22.6235427696267,4,0,9184.0030845319,-9494.20988939812,269.447541514106,37.5856351443831,7.54441914334844e-10,1,0.990032406070833,0
94.74,9572.83006238414,0.909122431608657,9574.60829266614,9575.97288345317,0.909122431608657,0.909122431608657,0,-54.1184260708405,22.6373794204509,4,0,9178.97531734369,-9488.86086206959,269.447541514106,37.5856351443831,7.07967647259789e-10,1,0.98994837851008,0
94.755,9572.01828599308,0.908498009872146,9573.79691765945,9575.15838208787,0.908498009872146,0.908498009872146,0,-54.0653845039404,22.6511246260515,4,0,9173.96450615288,-9483.52007894627,269.447541514106,37.5856351443831,6.68497126783066e-10,1,0.989864430846034,0
94.77,9571.20730522552,0.90787675373115,9572.98629282507,9574.3445869337,0.90787675373115,0.90787675373115,0,-54.0108119967392,22.6647779468045,4,0,9168.9707725244,-9478.18768582569,269.447541514106,37.5856351443831,6.3619923936675e-10,1,0.989780565459244,0
94.785,9570.39714304557,0.907258676071606,9572.17644089708,9573.53152116301,0.907258676071606,0.907258676071606,0,-53.9547123457838,22.678338948159,4,0,9163.99423705353,-9472.86382792802,269.447541514106,37.5856351443831,6.11236424683912e-10,1,0.989696784724483,0
94.8,9569.58782236038,0.906643789608438,9571.36738456103,9572.71920789415,0.906643789608438,0.906643789608438,0,-53.8970894186037,22.6918072006441,4,0,9159.03501936328,-9467.54864989079,269.447541514106,37.5856351443831,5.93769435248938e-10,1,0.989613091010631,0
94.815,9568.77936601911,0.906032106889139,9570.55914645319,9571.90767019075,0.906032106889139,0.906032106889139,0,-53.8379471506698,22.705182279769,4,0,9154.09323811937,-9462.242295766,269.447541514106,37.5856351443831,5.83953861805202e-10,1,0.989529486680571,0
94.83,9567.97179681185,0.905423640299489,9569.75174915968,9571.09693106087,0.905423640299489,0.905423640299489,0,-53.7772895414459,22.7184637658458,4,0,9149.16901105287,-9456.94490901983,269.447541514106,37.5856351443831,5.8194258333858e-10,1,0.98944597409108,0
