time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside
22.2,9499.90232547441,1.97939751876551,9500,9499.90198241384,1.97939751876551,1.97939751876551,0,0.00624988560905102,21.3229456226197,7,0,19392.2066297665,-19392.171115159,270.086415700287,80.7747801100842,1.87776884262846e-10,1,0.981244151657028,0
22.215,9499.9024192227,1.97946877421987,9500,9499.90207132227,1.97946877421987,1.97946877421987,0,0.00632369364075568,21.3178516674052,7,0,19392.1488136873,-19392.1128796696,270.070670636677,80.7606748873498,1.88272693109874e-10,1,0.981272764088088,0
22.23,9499.9025140781,1.97953993114114,9500,9499.90216148502,1.97953993114114,1.97953993114114,0,0.00639527364956932,21.312758267947,7,0,19392.0902019725,-19392.0538612053,270.054925565567,80.7465696579958,1.88770182122257e-10,1,0.981301379149109,0
22.245,9499.90261000721,1.97961098955721,9500,9499.90225286392,1.97961098955721,1.97961098955721,0,0.00646469858457199,21.3076654228492,7,0,19392.030794518,-19391.9940592473,270.039180486935,80.7324644220003,1.89269500083585e-10,1,0.981329996837061,0
22.26,9499.90270697768,1.97968194949352,9500,9499.90234542207,1.97968194949352,1.97968194949352,0,0.00653203828791733,21.30257313078,7,0,19391.970591214,-19391.933473289,270.023435400788,80.7183591793734,1.89770646370546e-10,1,0.981358617148967,0
22.275,9499.90280495826,1.97975281097296,9500,9499.90243912373,1.97975281097296,1.97975281097296,0,0.00659735963089813,21.2974813904654,7,0,19391.9095919451,-19391.872102835,270.007690307138,80.7042539301314,1.9027406833136e-10,1,0.981387240081953,0
22.29,9499.90290391865,1.97982357401595,9500,9499.90253393432,1.97982357401595,1.97982357401595,0,0.00666072697309517,21.2923902006662,7,0,19391.8477965879,-19391.8099473961,269.991945205939,80.6901486742276,1.90778869350101e-10,1,0.981415865633349,0
22.305,9499.90300382956,1.97989423864049,9500,9499.90262982038,1.97989423864049,1.97989423864049,0,0.00672220170670238,21.2872995602126,7,0,19391.7852050143,-19391.7470064955,269.976200097198,80.6760434116701,1.91285795406196e-10,1,0.981444493800497,0
22.32,9499.90310466258,1.9799648048624,9500,9499.90272674953,1.9799648048624,1.9799648048624,0,0.00678184293685457,21.2822094679833,7,0,19391.7218170926,-19391.6832796657,269.960454980923,80.6619381424702,1.91794696503079e-10,1,0.981473124580825,0
22.335,9499.90320639023,1.98003527269542,9500,9499.90282469043,1.98003527269542,1.98003527269542,0,0.00683970713538403,21.2771199228922,7,0,19391.6576326831,-19391.6187664458,269.944709857087,80.6478328666033,1.92305571968085e-10,1,0.981501757971916,0
22.35,9499.90330898583,1.98010564215155,9500,9499.9029236127,1.98010564215155,1.98010564215155,0,0.00689584887210049,21.2720309238982,7,0,19391.5926516447,-19391.5534663849,269.928964725683,80.633727584062,1.92818570369318e-10,1,0.981530393971406,0
22.365,9499.90341242357,1.98017591324121,9500,9499.90302348697,1.98017591324121,1.98017591324121,0,0.00695032064456438,21.2669424700006,7,0,19391.526873834,-19391.487379041,269.913219586711,80.6196222948506,1.9333369098453e-10,1,0.981559032577004,0
22.38,9499.90351667838,1.98024608597347,9500,9499.90312428475,1.98024608597347,1.98024608597347,0,0.0070031729278811,21.2618545602269,7,0,19391.460299103,-19391.4205039796,269.897474440164,80.6055169989621,1.9385003784753e-10,1,0.98158767378651,0
22.395,9499.90362172597,1.98031616035614,9500,9499.90322597846,1.98031616035614,1.98031616035614,0,0.00705445485271264,21.2567671936299,7,0,19391.3929273041,-19391.3528407737,269.881729286014,80.5914116963699,1.94369251633573e-10,1,0.981616317597841,0
22.41,9499.90372754279,1.98038613639611,9500,9499.90332854137,1.98038613639611,1.98038613639611,0,0.00710421389840644,21.2516803692977,7,0,19391.3247582894,-19391.2843890056,269.865984124268,80.5773063870846,1.94889839630522e-10,1,0.981644964008926,0
22.425,9499.903834106,1.98045601409938,9500,9499.90343194758,1.98045601409938,1.98045601409938,0,0.00715249601516483,21.2465940863469,7,0,19391.2557919113,-19391.2151482667,269.850238954949,80.5632010711312,1.95412696310971e-10,1,0.981673613017742,0
22.44,9499.90394139344,1.98052579347128,9500,9499.90353617196,1.98052579347128,1.98052579347128,0,0.00719934594249629,21.2415083438845,7,0,19391.1860280187,-19391.1451181516,269.834493777986,80.549095748439,1.95937671762622e-10,1,0.9817022646225,0
22.455,9499.90404938363,1.98059547451646,9500,9499.90364119017,1.98059547451646,1.98059547451646,0,0.00724480751956072,21.2364231410699,7,0,19391.1154664674,-19391.0742982671,269.818748593414,80.5349904190456,1.9646446701574e-10,1,0.981730918821295,0
22.47,9499.90415805574,1.98066505723892,9500,9499.90374697861,1.98066505723892,1.98066505723892,0,0.00728892281319197,21.231338477067,7,0,19391.0441071089,-19391.0026882256,269.803003401219,80.5208850829391,1.96993528771702e-10,1,0.981759575612378,0
22.485,9499.90426738958,1.98073454164212,9500,9499.90385351439,1.98073454164212,1.98073454164212,0,0.00733173316704998,21.2262543510547,7,0,19390.9719497973,-19390.9302876461,269.787258201384,80.5067797401046,1.9752411080463e-10,1,0.981788234994063,0
22.5,9499.90437736558,1.980803927729,9500,9499.90396077532,1.980803927729,1.980803927729,0,0.0073732788750635,21.2211707622321,7,0,19390.8989943883,-19390.8570961556,269.771512993902,80.4926743905365,1.98057256113771e-10,1,0.98181689696472,0
22.515,9499.90448796476,1.98087321550191,9500,9499.90406873989,1.98087321550191,1.98087321550191,0,0.00741359895098719,21.216087709815,7,0,19390.825240737,-19390.7831133872,269.755767778767,80.4785690342295,1.98592665713384e-10,1,0.981845561522775,0
22.53,9499.90459916875,1.98094240496261,9500,9499.90417738726,1.98094240496261,1.98094240496261,0,0.00745273130905031,21.2110051930363,7,0,19390.7506886991,-19390.7083389814,269.740022555969,80.4644636711769,1.99129295544908e-10,1,0.981874228666719,0
22.545,9499.90471095972,1.98101149611228,9500,9499.9042866972,1.98101149611228,1.98101149611228,0,0.00749071308472401,21.2059232111444,7,0,19390.6753381318,-19390.6327725844,269.724277325498,80.4503583013694,1.99669082506325e-10,1,0.981902898395106,0
22.56,9499.90482332041,1.98108048895147,9500,9499.90439665014,1.98108048895147,1.98108048895147,0,0.00752757999144979,21.2008417634057,7,0,19390.5991888908,-19390.5564138488,269.708532087342,80.4362529247975,2.00210088425176e-10,1,0.981931570706549,0
22.575,9499.90493623411,1.98114938348007,9500,9499.90450722707,1.98114938348007,1.98114938348007,0,0.00756336713008467,21.1957608491142,7,0,19390.5222408353,-19390.4792624344,269.692786841525,80.4221475414886,2.00753802794023e-10,1,0.98196024559965,0
22.59,9499.90504968462,1.98121817969741,9500,9499.90461840961,1.98121817969741,1.98121817969741,0,0.00759810795248713,21.1906804675551,7,0,19390.4444938177,-19390.4013180035,269.677041587988,80.4080421513835,2.01299181870368e-10,1,0.981988923073216,0
22.605,9499.90516365624,1.98128687760196,9500,9499.90473017992,1.98128687760196,1.98128687760196,0,0.00763183543862875,21.1856006180636,7,0,19390.365947697,-19390.3225802279,269.66129632677,80.3939367545238,2.0184667195851e-10,1,0.982017603125933,0
22.62,9499.90527813377,1.98135547719161,9500,9499.90484252073,1.98135547719161,1.98135547719161,0,0.00766458123967078,21.1805212999663,7,0,19390.2866023268,-19390.243048781,269.645551057829,80.3798313508688,2.02397017046829e-10,1,0.982046285756677,0
