time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside
111.96,9492.52601070438,1.10504761890377,9500,9492.5392452318,13.0820682532309,1.10504761890377,0,-0.22906378968446,12.629385438224,2,0,10736.0521555078,-10737.3527863508,1.10504761890377,1.10510514063654,1.10510510386294,3.67735966122495e-08,-0.228393596927374,-5.75952799573922e-05,1.10504761890377,0,219.455774139497,37.5898074200686,2.63329738327386e-10,1,1.0877212215099,1
111.975,9492.52257474754,1.1050476354885,9500,9492.53581533858,13.0877509177999,1.1050476354885,0,-0.229168737823079,12.6293874741464,2,0,10736.0514916115,-10737.3527178821,1.1050476354885,1.10510514063654,1.10510510384464,3.67919010813011e-08,-0.228498240295732,-5.75787318389167e-05,1.1050476354885,0,219.455774139497,37.5898074200686,2.63441862900067e-10,1,1.0877208277935,1
111.99,9492.51913721647,1.10504765208217,9500,9492.53238387391,13.0934361946945,1.10504765208217,0,-0.229273733227973,12.629389510964,2,0,10736.0508274174,-10737.3526493833,1.10504765208217,1.10510514063654,1.10510510382598,3.68105577130962e-08,-0.228602931306856,-5.75621754834301e-05,1.10504765208217,0,219.455774139497,37.5898074200686,2.63559880823607e-10,1,1.08772043389672,1
112.005,9492.51569811047,1.10504766868353,9500,9492.52895083705,13.0991240851115,1.10504766868353,0,-0.229378776722193,12.6293915487119,2,0,10736.0501629196,-10737.3525808532,1.10504766868353,1.10510514063654,1.10510510380768,3.68288621821478e-08,-0.228707669918838,-5.75456107324592e-05,1.10504766868353,0,219.455774139497,37.5898074200686,2.6366097425129e-10,1,1.08772003981946,1
112.02,9492.51225742882,1.10504768529348,9500,9492.5255162273,13.1048145902481,1.10504768529348,0,-0.229483867715157,12.6293935873661,2,0,10736.0494981222,-10737.3525122926,1.10504768529348,1.10510514063654,1.1051051037892,3.68473427325711e-08,-0.228812456153973,-5.75290377444772e-05,1.10504768529348,0,219.455774139497,37.5898074200686,2.63825685648617e-10,1,1.08771964556166,1
112.035,9492.5088151708,1.10504770190963,9500,9492.52208004393,13.1105077113021,1.10504770190963,0,-0.229589007885103,12.6293956269931,2,0,10736.0488330137,-10737.3524436994,1.10504770190963,1.10510514063654,1.10510510377177,3.68647672388533e-08,-0.22891728997807,-5.75124564402476e-05,1.10504770190963,0,219.455774139497,37.5898074200686,2.63946121356354e-10,1,1.08771925112323,1
112.05,9492.50537133569,1.10504771853468,9500,9492.51864228625,13.1162034494718,1.10504771853468,0,-0.229694195433361,12.6293976675193,2,0,10736.0481676064,-10737.3523750759,1.10504771853468,1.10510514063654,1.10510510375382,3.68827197672061e-08,-0.229022171418105,-5.74958672949901e-05,1.10504771853468,0,219.455774139497,37.5898074200686,2.64058850373868e-10,1,1.08771885650408,1
112.065,9492.50192592276,1.10504773516887,9500,9492.51520295353,13.1219018059564,1.10504773516887,0,-0.229799430176965,12.6293997089378,2,0,10736.0475019018,-10737.3523064223,1.10504773516887,1.10510514063654,1.10510510373534,3.69012003176294e-08,-0.229127100633584,-5.74792700710949e-05,1.10504773516887,0,219.455774139497,37.5898074200686,2.64177623853783e-10,1,1.08771846170413,1
112.08,9492.4984789313,1.10504775180926,9500,9492.51176204504,13.1276027819553,1.10504775180926,0,-0.229904714202352,12.6294017513304,2,0,10736.0468358854,-10737.3522377361,1.10504775180926,1.10510514063654,1.10510510371791,3.69186246018671e-08,-0.229232077673538,-5.74626645309519e-05,1.10504775180926,0,219.455774139497,37.5898074200686,2.64315437390854e-10,1,1.08771806672331,1
112.095,9492.49503036059,1.10504776846136,9500,9492.50831956007,13.1333063786685,1.10504776846136,0,-0.2300100437599,12.6294037945455,2,0,10736.0461695832,-10737.352169022,1.10504776846136,1.10510514063654,1.10510510369855,3.69379851150597e-08,-0.229337102472275,-5.74460511498811e-05,1.10504776846136,0,219.455774139497,37.5898074200686,2.64424388618323e-10,1,1.08771767156152,1
112.11,9492.49158020993,1.10504778511971,9500,9492.50487549791,13.1390125972967,1.10504778511971,0,-0.230115422560727,12.6294058387336,2,0,10736.0455029696,-10737.3521002754,1.10504778511971,1.10510514063654,1.10510510368043,3.69561137247842e-08,-0.229442175180811,-5.74294290565793e-05,1.10504778511971,0,219.455774139497,37.5898074200686,2.64549357671596e-10,1,1.08771727621869,1
112.125,9492.4881284786,1.10504780178657,9500,9492.50142985784,13.1447214390408,1.10504780178657,0,-0.230220849109848,12.6294078838345,2,0,10736.0448360547,-10737.352031498,1.10504780178657,1.10510514063654,1.10510510366212,3.69744181938358e-08,-0.229547295556738,-5.74127988054031e-05,1.10504780178657,0,219.455774139497,37.5898074200686,2.64667224480938e-10,1,1.08771688069473,1
112.14,9492.48467516586,1.10504781846026,9500,9492.49798263914,13.1504329051026,1.10504781846026,0,-0.230326324563241,12.6294099298944,2,0,10736.0441688306,-10737.3519626885,1.10504781846026,1.10510514063654,1.10510510364452,3.69920187814898e-08,-0.229652463787032,-5.73961603172159e-05,1.10504781846026,0,219.455774139497,37.5898074200686,2.64800504669778e-10,1,1.08771648498957,1
