time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid
96.24,9499.46259611576,1.0469472312371,9500.61197283872,9501.94102520687,1.0469472312371,1.0469472312371,0,-42.1438992261738,32.1032931526949,8,0,11667.2103806061,-11906.6795253498,301.907846138218,73.449184217667,2.61627223348888e-10,1
96.255,9498.83043762737,1.04639497164168,9499.97731686182,9501.29870932755,1.04639497164168,1.04639497164168,0,-41.962219719329,32.1046720444358,8,0,11661.6209531443,-11900.0418953599,301.907846138218,73.449184217667,2.66025038181728e-10,1
96.27,9498.20100433158,1.0458481738994,9499.34532345705,9500.65902586305,1.0458481738994,1.0458481738994,0,-41.7793715146773,32.1059460976227,8,0,11656.0707938833,-11893.437099207,301.907846138218,73.449184217667,2.70448694929053e-10,1
96.285,9497.57431375886,1.04530660776188,9498.71600693315,9500.0219988579,1.04530660776188,1.04530660776188,0,-41.5955188683261,32.1071230292646,8,0,11650.55886036,-11886.8650284369,301.907846138218,73.449184217667,2.74898776287379e-10,1
96.3,9496.95038097583,1.04477007566916,9498.08938148368,9499.38765066842,1.04477007566916,1.04477007566916,0,-41.4108026052832,32.1082094562394,8,0,11645.0842579824,-11880.3255890368,301.907846138218,73.449184217667,2.79374129063157e-10,1
96.315,9496.32921893675,1.04423841902242,9497.46546118654,9498.75600176171,1.04423841902242,1.04423841902242,0,-41.2253363017903,32.1092106988219,8,0,11639.6462722793,-11873.8187120552,301.907846138218,73.449184217667,2.83874756795679e-10,1
96.33,9495.71083889223,1.04371152097045,9496.84426000348,9498.12707065784,1.04371152097045,1.04371152097045,0,-41.0392047959709,32.1101306977394,8,0,11634.2443844156,-11867.3443607221,301.907846138218,73.449184217667,2.88399311349861e-10,1
96.345,9495.09525082029,1.04318930616941,9496.22579177964,9497.50087399288,1.04318930616941,1.04318930616941,0,-40.8524646988361,32.1109720294234,8,0,11628.8782720449,-11860.9025342698,301.907846138218,73.449184217667,2.92947022301992e-10,1
96.36,9494.4824638498,1.04267173807307,9495.61007024308,9496.87742667742,1.04267173807307,1.04267173807307,0,-40.6651465156663,32.1117360010134,8,0,11623.54779808,-11854.4932688154,301.907846138218,73.449184217667,2.9751673169085e-10,1
96.375,9493.87248665207,1.04215881435975,9494.99710900432,9496.25674212361,1.04215881435975,1.04215881435975,0,-40.4772579622104,32.1124228051589,8,0,11618.2529902206,-11848.116635779,301.907846138218,73.449184217667,3.02107086609195e-10,1
96.39,9493.26532778263,1.04165056110725,9494.38692155588,9495.63883251496,1.04165056110725,1.04165056110725,0,-40.2887880602349,32.113031714569,8,0,11612.994014139,-11841.7727383768,301.907846138218,73.449184217667,3.06717505678747e-10,1
96.405,9492.66099596173,1.04114702628987,9493.77952127181,9495.02370909477,1.04114702628987,1.04114702628987,0,-40.099711627713,32.1135612975526,8,0,11607.7711430663,-11835.4617067428,301.907846138218,73.449184217667,3.11344504990532e-10,1
96.42,9492.05950028731,1.0406482731117,9493.17492140728,9494.41138245243,1.0406482731117,1.0406482731117,0,-39.9099938210479,32.1140096377877,8,0,11602.5847262649,-11829.1836922218,301.907846138218,73.449184217667,3.15988272246542e-10,1
96.435,9491.46085038,1.04015437360819,9492.57313509808,9493.80186279081,1.04015437360819,1.04015437360819,0,-39.7195944461715,32.114374544311,8,0,11597.4351584882,-11822.9388613251,301.907846138218,73.449184217667,3.20646285180326e-10,1
96.45,9490.86505646331,1.03966540285171,9491.97417536025,9493.19516016189,1.03966540285171,1.03966540285171,0,-39.5284718218634,32.1146537408708,8,0,11592.3228520807,-11816.7273897732,301.907846138218,73.449184217667,3.25317373252329e-10,1
96.465,9490.27212938598,1.03918143400301,9491.37805508959,9492.59128466211,1.03918143400301,1.03918143400301,0,-39.3365860409279,32.1148450268965,8,0,11587.2482129376,-11810.5494569697,301.907846138218,73.449184217667,3.29998814449996e-10,1
96.48,9489.68208059536,1.03870253435494,9490.78478706123,9491.99024658286,1.03870253435494,1.03870253435494,0,-39.1439007093473,32.1149464056,8,0,11582.2116257912,-11804.4052411556,301.907846138218,73.449184217667,3.34689432877989e-10,1
96.495,9489.09492208472,1.0382287624288,9490.19438392925,9491.39205651512,1.0382287624288,1.0382287624288,0,-38.9503868793483,32.1149561770737,8,0,11577.213428043,-11798.294915556,301.907846138218,73.449184217667,3.39387275438614e-10,1
96.51,9488.51066628153,1.03776016602688,9489.6068582262,9490.79672541331,1.03776016602688,1.03776016602688,0,-38.7560230440217,32.1148729996067,8,0,11572.2539064859,-11792.2186450563,301.907846138218,73.449184217667,3.44090773901296e-10,1
96.525,9487.92932593587,1.03729678139275,9489.02222236273,9490.20426461357,1.03729678139275,1.03729678139275,0,-38.5607950876577,32.1146959150344,8,0,11567.3332955684,-11786.176584167,301.907846138218,73.449184217667,3.48797969763838e-10,1
96.54,9487.35091400956,1.03683863321223,9488.44048862715,9489.61468581851,1.03683863321223,1.03683863321223,0,-38.3646966525057,32.1144243466641,8,0,11562.4517742833,-11780.1688759788,301.907846138218,73.449184217667,3.53506901684184e-10,1
96.555,9486.77544355977,1.03638573525491,9487.86166918504,9489.02800105707,1.03638573525491,1.03638573525491,0,-38.1677286224064,32.1140580762675,8,0,11557.6094687558,-11774.1956518033,301.907846138218,73.449184217667,3.58217158140907e-10,1
96.57,9486.20292763043,1.03593809154739,9487.28577607882,9488.44422262468,1.03593809154739,1.03593809154739,0,-37.9698982640505,32.1135972038897,8,0,11552.806457464,-11768.2570315063,301.907846138218,73.449184217667,3.62925608920173e-10,1
96.585,9485.63337915647,1.03549569791192,9486.7128212274,9487.86336301073,1.03549569791192,1.03549569791192,0,-37.7712181393619,32.1130420959709,8,0,11548.0427783013,-11762.3531243855,301.907846138218,73.449184217667,3.67631450030178e-10,1
