time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,VR_integrator_error,VR_proportional_term,VR_speed_slope,VR_accel_slope,VR_fallback,altitude_m,isa_delta_C
76.575,9534.58116577345,1.93870948869651,9537,9536.90469686728,2.15105143714068,1.93870948869651,0,-40.1889981538919,18.8671205902876,10,0,18808.2500806614,-19037.4553572953,1.93870948869651,1.9992766228214,1.93618890260017,0.0630877202212237,-40.1102160569825,-0.140805747698764,1.93870948869651,0,261.242861498387,70.9713771531352,4.2448563908512e-10,1,1.00135648800403,0,0.0953534961831518,0.0802386135738806,0.00125233898003839,0.00161758361963923,0,2762.5,-8.95
76.59,9533.97833080114,1.93757691603534,9536.4,9536.30252474017,2.15141443567043,1.93757691603534,0,-40.1971958709416,18.8742743035411,10,0,18798.6013236362,-19027.8388586381,1.93757691603534,1.9979194285635,1.93481064324974,0.0631087853137593,-40.1238271123409,-0.14066271745449,1.93757691603534,0,261.23662419844,70.9478759025916,4.32704655239373e-10,1,1.00130512947061,0,0.0975273702732568,0.0803202049263291,0.00126019713560605,0.0016174691169965,0,2765,-8.94
76.605,9533.37537286308,1.93644581222056,9535.8,9535.70018082845,2.15178342558339,1.93644581222056,0,-40.2046011335575,18.8814110237328,10,0,18788.959950021,-19018.2252155792,1.93644581222056,1.99655776221185,1.93342909697351,0.0631286652383445,-40.1365887668203,-0.14051642639908,1.93644581222056,0,261.230386894358,70.9243746518684,4.41068429731713e-10,1,1.00125375694696,0,0.0998732009004138,0.0804044764077871,0.00126800333500281,0.00161735153376246,0,2767.5,-8.93
76.62,9532.77230384608,1.93531616287407,9535.2,9535.09767778412,2.15215821443343,1.93531616287407,0,-40.211230063192,18.8885309697462,10,0,18779.3259191405,-19008.6144805111,1.93531616287407,1.99519166342156,1.93204431483199,0.0631473485895619,-40.1485033548054,-0.140366616597729,1.93531616287407,0,261.224149586142,70.9008734009706,4.49578657315585e-10,1,1.00120237168098,0,0.102378319901174,0.0804911160502402,0.00127575341020902,0.0016172308064123,0,2770,-8.92
76.635,9532.16913539513,1.93418795050876,9534.6,9534.4950280609,2.15253860532131,1.93418795050876,0,-40.2171006800092,18.8956344128145,10,0,18769.6991752057,-18999.0067015105,1.93418795050876,1.9938211744667,1.93065634414625,0.0631648303204508,-40.1595774942385,-0.140213049117877,1.93418795050876,0,261.217912273791,70.8773721499015,4.5823786731966e-10,1,1.00115097489526,0,0.105030267015706,0.0805798251599327,0.00128344325120501,0.00161710687224946,0,2772.5,-8.91000000000001
76.65,9531.56587888493,1.93306115204938,9534,9533.89224390291,2.15292439732983,1.93306115204938,0,-40.2222345194729,18.9027217181702,10,0,18760.0796356547,-18989.4019198903,1.93306115204938,1.99244634019067,1.92926523055805,0.0631811096326187,-40.1698206968097,-0.140055503717354,1.93306115204938,0,261.211674957295,70.8538708986562,4.67048867740882e-10,1,1.00109956778407,0,0.107816784860368,0.0806703155760643,0.00129106880913441,0.00161697966949071,0,2775,-8.90000000000001
76.665,9530.96254536714,1.9319357383625,9533.4,9533.28933732894,2.15331538608052,1.9319357383625,0,-40.226656912767,18.909793353165,10,0,18750.4671888436,-18979.8001694831,1.9319357383625,1.99106720797525,1.92787101904763,0.0631961889276156,-40.1792446421813,-0.139893778540063,1.9319357383625,0,261.205437636659,70.8303696472428,4.76013076752308e-10,1,1.00104815150779,0,0.110725843264587,0.0807623089273143,0.00129862609959162,0.00161684913734873,0,2777.5,-8.89
76.68,9530.35914551344,1.93081167467169,9532.8,9532.68632010714,2.15371136454569,1.93081167467169,0,-40.2303966831694,18.9168498805391,10,0,18740.8616958554,-18970.2014767099,1.93081167467169,1.98968382768972,1.92647375413524,0.0632100735544756,-40.187862989142,-0.139727689775166,1.93081167467169,0,261.199200311862,70.8068683956444,4.85133025300918e-10,1,1.00099672718698,0,0.113745658771502,0.0808555367571355,0.00130611120575054,0.00161671521611581,0,2780,-8.88000000000001
76.695,9529.7556895632,1.92968892210354,9532.2,9532.0832037215,2.15411212408748,1.92968892210354,0,-40.2334851014498,18.9238919327465,10,0,18731.2629976216,-18960.6058617403,1.92968892210354,1.98829625164608,1.92507347961323,0.0632227720328447,-40.1956914761629,-0.139557071287009,1.92968892210354,0,261.192962982924,70.7833671438847,4.94410827736879e-10,1,1.00094529589677,0,0.116864735918932,0.0809497417444757,0.00131352028146917,0.00161657784724496,0,2782.5,-8.87
76.71,9529.15218728668,1.92856743918746,9531.6,9531.47999933345,2.15451745564623,1.92856743918746,0,-40.2359548788045,18.9309201869075,10,0,18721.6709218476,-18951.0133396715,1.92856743918746,1.98690453455413,1.92367023815695,0.0632342963971844,-40.2027481103107,-0.139381774183131,1.92856743918746,0,261.18672564983,70.7598658919549,5.03849433355495e-10,1,1.00089385866315,0,0.120071897614532,0.0810446788164578,0.00132084955423081,0.00161643697343203,0,2785,-8.86
