time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,altitude_m,isa_delta_C
5.79,9904.63212403472,2.60000197675178,9905.2,9911.60177460105,2.60000197675178,2.60000197675178,0,-120.237870074301,21.7210522372265,9,0,25475.961558258,-26188.3148498419,287.518008738583,99.298846116789,5.16240704295018e-10,1,0.991551179890241,0,0,-20
5.805,9902.8285559836,2.59606900518591,9903.4,9909.79550253616,2.59606900518591,2.59606900518591,0,-120.310632795216,21.7530052638774,9,0,25446.8352604821,-26159.4898439207,287.506008752556,99.298846116789,5.67118839994701e-10,1,0.991391313774985,0,0,-20
5.82,9901.02389649167,2.59212294213151,9901.6,9907.98993125023,2.59212294213151,2.59212294213151,0,-120.391167203504,21.7851787668378,9,0,25417.6412360338,-26130.6429025877,287.494008766551,99.298846116789,6.27609797225289e-10,1,0.991231332150275,0,0,-20
5.835,9899.21802898362,2.58817505688287,9899.8,9906.18459626711,2.58817505688287,2.58817505688287,0,-120.472214019408,21.8174302966852,9,0,25388.4311601526,-26101.7826830184,287.482008780568,99.298846116789,6.9894046206311e-10,1,0.99107122333763,0,0,-20
5.85,9897.41094577333,2.58423467750136,9898,9904.37912327351,2.58423467750136,2.58423467750136,0,-120.547888097676,21.8496421758641,9,0,25359.2484270287,-26072.9177356923,287.470008794609,99.298846116789,7.82152690555033e-10,1,0.990910986559383,0,0,-20
5.865,9895.60272745186,2.58030899995265,9896.2,9902.57323297212,2.58030899995265,2.58030899995265,0,-120.613770281095,21.8817238925261,9,0,25330.1271158426,-26044.0560052851,287.458008808672,99.298846116789,8.7808257901324e-10,1,0.990750629876139,0,0,-20
5.88,9893.79352089765,2.5764030611938,9894.4,9900.76673933522,2.5764030611938,2.5764030611938,0,-120.666894105537,21.9136124272625,9,0,25301.0917106391,-26015.2044623976,287.446008822756,99.298846116789,9.87345410282988e-10,1,0.990590167986029,0,0,-20
5.895,9891.98351748606,2.57251984679542,9892.6,9898.9595426119,2.57251984679542,2.57251984679542,0,-120.705649446268,21.9452707058867,10,0,25272.1574517351,-25986.3688754352,287.434008836864,99.298846116789,2.51256731129106e-10,1,0.990429620043637,0,0,-20
5.91,9890.17293274437,2.56866050119355,9890.8,9897.15161850022,2.56866050119355,2.56866050119355,0,-120.72961639249,21.9766855843702,10,0,25243.3311596096,-25957.5536429109,287.422008850993,99.298846116789,2.85902710819232e-10,1,0.990269007623396,0,0,-20
5.925,9888.36198849848,2.56482460869731,9889,9895.34300485302,2.56482460869731,2.56482460869731,0,-120.739371618547,22.0078633006541,10,0,25214.6124377528,-25928.7618432729,287.410008865146,99.298846116789,3.24616016794546e-10,1,0.990108352932214,0,0,-20
