file,proportional_replay,command_replay,saturation_replay,integrator_replay
tune_e36_c43.csv,1.1046719095020308e-14,7.993605777301127e-15,0.0,1.003537530852583e-15
tune_e36_c44.csv,1.1601830607332886e-14,7.993605777301127e-15,0.0,1.0286910212542466e-15
tune_e36_c45.csv,1.1379786002407855e-14,8.215650382226158e-15,0.0,1.007874339542525e-15
tune_e36_c46.csv,1.1546319456101628e-14,8.215650382226158e-15,0.0,1.0174232992989473e-15
tune_e36_c47.csv,9.992007221626409e-16,8.215650382226158e-15,0.0,1.02473597296061e-15
tune_e36_c48.csv,1.0547118733938987e-15,7.993605777301127e-15,0.0,1.001421152859419e-15
tune_e36_c49.csv,9.992007221626409e-16,7.993605777301127e-15,0.0,1.0202951777415028e-15
tune_e36_c50.csv,9.992007221626409e-16,8.215650382226158e-15,0.0,9.947598301117031e-16
tune_e36_c51.csv,1.2212453270876722e-15,8.215650382226158e-15,0.0,9.880984909237726e-16
tune_e36_c52.csv,1.27675647831893e-15,8.215650382226158e-15,0.0,1.0225161510687628e-15
tune_e36_c53.csv,1.2212453270876722e-15,8.215650382226158e-15,0.0,1.0258471081338403e-15
tune_e36_c54.csv,9.992007221626409e-16,7.993605777301127e-15,0.0,1.0202949582284477e-15
tune_e36_c55.csv,0.0,7.993605777301127e-15,0.0,1.019184736618043e-15
tune_e36_c56.csv,0.0,7.993605777301127e-15,0.0,1.010302783002303e-15
tune_e36_c57.csv,1.0408340855860843e-15,7.993605777301127e-15,0.0,9.992006030486327e-16
tune_e36_c58.csv,1.0408340855860843e-15,8.215650382226158e-15,0.0,1.0214051826553763e-15
tune_e36_c59.csv,1.4988010832439613e-15,7.993605777301127e-15,0.0,1.0135121908394495e-15
tune_e36_c60.csv,1.1796119636642288e-15,7.993605777301127e-15,0.0,1.0214051826418962e-15
tune_e36_c61.csv,1.7208456881689926e-15,8.43769498715119e-15,0.0,9.658953866766018e-16
tune_e36_c62.csv,1.9012569296705806e-15,7.993605777301127e-15,0.0,9.992007221529474e-16
tune_e36_c63.csv,1.5543122344752192e-15,7.993605777301127e-15,0.0,9.880984919165509e-16
tune_e36_c64.csv,1.734723475976807e-15,7.993605777301127e-15,0.0,1.0103050064637895e-15
tune_e36_c65.csv,1.3877787807814457e-15,7.993605777301127e-15,0.0,9.71445146547012e-16
tune_e36_c66.csv,1.7763568394002505e-15,8.215650382226158e-15,0.0,1.0214167023032267e-15
tune_e36_c67.csv,1.1657341758564144e-15,8.215650382226158e-15,0.0,1.0214051826549724e-15
tune_e36_c68.csv,1.7208456881689926e-15,8.215650382226158e-15,0.0,9.978996795556583e-16
tune_e36_c69.csv,6.106226635438361e-15,8.215650382226158e-15,0.0,1.0241885626210204e-15
tune_e36_c70.csv,6.2450045135165055e-15,8.215650382226158e-15,0.0,1.0264941354264242e-15
tune_e36_c71.csv,6.772360450213455e-15,8.215650382226158e-15,0.0,1.0227492976340977e-15
tune_e36_c72.csv,5.88418203051333e-15,7.993605777301127e-15,0.0,1.0204475232219098e-15
tune_e36_c73.csv,6.494804694057166e-15,8.215650382226158e-15,0.0,1.023257618447732e-15
tune_e36_c74.csv,5.495603971894525e-15,8.43769498715119e-15,0.0,9.992007221626409e-16
tune_e36_c75.csv,1.0824674490095276e-14,7.993605777301127e-15,0.0,1.017728299137403e-15
tune_e36_c76.csv,1.1018963519404679e-14,8.215650382226158e-15,0.0,1.023166672372254e-15
tune_e36_c77.csv,1.149080830487037e-14,7.993605777301127e-15,0.0,1.0244335127043131e-15
tune_e36_c78.csv,1.0241807402167069e-14,7.993605777301127e-15,0.0,9.978298919246249e-16
tune_e36_c79.csv,6.050715484207103e-15,8.215650382226158e-15,0.0,9.988323092754842e-16
tune_e36_c80.csv,5.717648576819556e-15,7.993605777301127e-15,0.0,1.0114404819841237e-15
