Kd,Ki,Kp,accelTau,accelWeight,accepted,altitude_m,candidate,compressor_Nc_outside_percent,environment,events_inside_1pct_throughout,fallback_percent,first_failure_eval_s,fuel_limit_percent,fuel_peak_lbm_s,gp_outside_percent,iae_rpm_s,isa_delta_C,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,minimum_margin_percent,mode,peak_rpm,phase,recovery_1pct_speed_s,ringing_excess_TV_lbm_s,rmse_rpm,settling_to_point1_rpm_s,wall_seconds,rmse_ratio,ringing_ratio,joint_score,beats_base_both
0.001,0.035,0.0125,0.03,1,1,4000,31,0,36,6,0,NaN,0,2.04437113027983,1.04982502916181,84.2757158557715,5,0.499302417834353,4.38104268039642,10.5251538934274,3,23.76843580288,tune,0,0.608534363342787,3.97133929607394,2.08500000000001,27.5334363,1.56878967734843,0.299707028676989,1.56878967734843,0
0.001,0.05,0.0125,0.03,1,1,4000,32,0,36,6,0,NaN,0,2.06802391984738,1.04982502916181,68.7625153970188,5,0.522955207401898,4.42322589388541,10.1435310623419,3,22.8439412157786,tune,0,0.948336893719589,3.43143477834732,2.265,27.6745131,1.35551234921868,0.467061927349796,1.35551234921868,0
0.001,0.035,0.018,0.03,1,1,4000,33,0,36,6,0,NaN,0,2.01972123376163,0.949841693051158,76.5218067462135,5,0.474652521316145,5.16421551853705,10.956025286759,3,19.8480769183643,tune,0,0.300738038767033,3.31797452693557,2.265,27.3846028,1.31069238851171,0.148115389102917,1.31069238851171,0
0.001,0.05,0.018,0.03,1,1,4000,34,0,36,6,0,NaN,0,2.03773202447805,0.84985835694051,54.4491980594732,5,0.492663312712625,5.20639858405668,10.6617225965475,3,19.5945141675438,tune,0,0.513668631028542,2.84958320225571,1.68000000000001,31.1769172,1.12566476424305,0.252985054589959,1.12566476424305,0
0.002,0.035,0.0125,0.03,1,1,4000,35,0,36,6,0,NaN,0,2.03196344784744,0.84985835694051,93.4667109768824,5,0.486894736217478,6.53317257586261,10.7847043912424,3,20.8257644067726,tune,0,0.856476052519969,3.86239795739491,3.285,31.9216591,1.52575481308358,0.421819881171052,1.52575481308358,0
0.002,0.05,0.0125,0.03,1,1,4000,36,0,36,6,0,NaN,0,2.04739706207446,0.84985835694051,76.5151710640264,5,0.502328349625812,6.55051741864988,10.5383319211038,3,19.4338435473437,tune,0,1.01035611683257,3.29496804425027,3.3,32.1472606,1.30160418680996,0.497606787590622,1.30160418680996,0
0.002,0.035,0.018,0.03,1,1,4000,37,0,36,6,0,NaN,0,2.01362811738522,0.749875020829862,77.5900023974005,5,0.468559405607491,7.24429619639525,11.1039680473564,3,17.1362171087312,tune,0,0.863686482940892,3.24772343939543,2.44500000000001,31.5388639,1.28294125149241,0.42537106382747,1.28294125149241,0
0.002,0.05,0.018,0.03,1,1,4000,38,0,36,6,0,NaN,0,2.02576865957403,0.749875020829862,58.8638886252256,5,0.480699947128553,7.28647736756668,10.9066437218171,3,16.1412389012421,tune,0,0.953731875016608,2.76256606742568,2.07000000000001,31.8870117,1.09129057138354,0.469718989812819,1.09129057138354,0
0.001,0.035,0.0125,0.06,1,1,4000,39,0,36,6,0,NaN,0,2.04032240315815,1.14980836527245,83.8613221061034,5,0.495253691657544,3.91496913699441,10.5972581123076,3,24.1451333256009,tune,0,0.557338669489572,3.94525246312848,2.16,31.6970836,1.55848465146459,0.274492825157703,1.55848465146459,0
0.001,0.05,0.0125,0.06,1,1,4000,40,0,36,6,0,NaN,0,2.06211332810356,1.04982502916181,67.0535053996942,5,0.517044615658075,3.99022394588631,10.2486832460496,3,23.6091885600763,tune,0,0.857596914578041,3.39964137119437,2.31,31.4343759,1.34295306751777,0.422371912834698,1.34295306751777,0
0.001,0.035,0.018,0.06,1,1,4000,41,0,36,6,0,NaN,0,2.01776093545018,0.949841693051158,76.5205683725097,5,0.477366380223968,4.74095130294794,10.9020219224891,3,20.8693807748114,tune,0,0.578692108320007,3.31065642196237,2.235,31.3083465,1.3078015331393,0.285009529043989,1.3078015331393,0
