Kd,Ki,Kp,accelTau,accelWeight,accepted,altitude_m,candidate,compressor_Nc_outside_percent,environment,events_inside_1pct_throughout,fallback_percent,first_failure_eval_s,fuel_limit_percent,fuel_peak_lbm_s,gp_outside_percent,iae_rpm_s,isa_delta_C,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,minimum_margin_percent,mode,peak_rpm,phase,recovery_1pct_speed_s,ringing_excess_TV_lbm_s,rmse_rpm,settling_to_point1_rpm_s,wall_seconds
0,22,1.5,0.03,1,1,0,48,0,11,6,0,NaN,0,2.18811232897743,0.699883352774538,72.7748656077014,10,0.607659726498054,8.6395285904707,17.7530377845156,1,16.5814885889431,transfer,0,2.00509732620492,2.38722634900164,4.36499999999999,26.7624044
0,22,1.5,0.03,1,1,2500,48,0,12,6,0,NaN,0,2.05599014904478,0.649891684719213,73.9416551420651,10,0.555091979656668,7.74963565608046,14.1306923831639,1,15.2992137029287,transfer,0,1.76394057256568,2.30775201411272,4.72500000000001,27.9052607
0,22,1.5,0.03,1,1,5000,48,0,13,6,0,NaN,0,1.86170078258095,0.549908348608565,87.6948645538042,10,0.500756596540616,7.22472469484009,9.4177638357531,1,13.7385594687257,transfer,0,1.59524870461107,2.35011101017942,Inf,24.2889355
0,22,1.5,0.03,1,1,7500,48,0,14,6,0,NaN,0,1.48184697119243,0.449925012497917,164.857164466042,10,0.389678489479924,5.60659236336905,5.81356041374114,1,11.0945850183398,transfer,0,1.19973092055886,2.86619311419185,Inf,27.0022467
0,22,1.5,0.03,1,1,10000,48,100,15,6,0,NaN,0,1.08491363176268,0.0499916680553241,1749.79488233313,10,0.277056481770428,3.87632539109212,3.00424605747369,1,46.8936556871595,transfer,0,0.811510995350459,25.0966941765077,Inf,23.7187829
0,22,1.5,0.03,1,1,0,48,0,16,6,0,NaN,0,1.86858356052732,0.599900016663889,65.4024671888765,20,0.52464499484924,7.50773754459265,19.7792620272581,1,14.4848282529838,transfer,0,1.75755577556292,2.10713482547531,4.395,22.7968171
0,22,1.5,0.03,1,1,2500,48,0,17,6,0,NaN,0,1.76902804638056,0.549908348608565,77.3520885929035,20,0.484720967996631,6.82981397168184,16.7408767851165,1,13.5760324162165,transfer,0,1.53832753152572,2.21340727135817,Inf,19.4723802
0,22,1.5,0.03,1,1,5000,48,0,18,6,0,NaN,0,1.63128460910695,0.499916680553241,76.9341131123123,20,0.439070173661634,6.18189938292934,12.4322291665893,1,12.1324431992416,transfer,0,1.36851166652329,2.08440460755449,Inf,22.3519722
0,22,1.5,0.03,1,1,7500,48,0,19,6,0,NaN,0,1.41744750814205,0.449925012497917,133.728963753263,20,0.376836924901368,5.41227837145694,7.75653754548601,1,10.5805858992389,transfer,0,1.18692577031019,2.51292026289448,Inf,23.6907941
0,22,1.5,0.03,1,1,10000,48,0,20,6,0,NaN,0,1.06073261265514,0.0499916680553241,148.218636040698,20,0.274790037198834,3.90489155280281,4.45419988524188,1,7.91455856762695,transfer,0,0.83841221853739,2.3062605969904,Inf,10923.2050521
0,22,1.5,0.03,1,1,0,48,0,21,6,0,NaN,0,3.37780267726359,0.749875020829862,87.1977283560489,-20,0.911602487793676,13.0976213494447,9.93550295049406,1,24.0269204779306,transfer,0,3.00587878783652,3.16271896882828,3.87,23.6487018
0,22,1.5,0.03,1,1,2500,48,0,22,6,0,NaN,0,2.85421654620371,0.749875020829862,176.161197381423,-20,0.770031388185023,11.5375017751208,6.38316075884184,1,21.7285858964242,transfer,0,2.41446482397983,4.13904832749225,Inf,27.935548
0,22,1.5,0.03,1,1,5000,48,80.4865855690718,23,6,0,NaN,0,2.23285476874481,0.649891684719213,390.680251084297,-20,0.575028318143141,8.10391082431088,2.8603643546038,1,16.6332881353665,transfer,0,1.7350238763138,5.44086701660044,Inf,26.3994352
0,22,1.5,0.03,1,1,7500,48,100,24,6,0,NaN,0,1.46165455447006,0.466588901849692,1333.12484079246,-20,0.363892584537198,5.00831231075128,3.70686662115087,1,41.1696108658889,transfer,0,1.0707946814052,19.2149743365617,Inf,26.5589769
0,22,1.5,0.03,1,1,10000,48,100,25,6,0,NaN,0,0.936347332586957,0,672.967300275944,-20,0.230941050548427,3.26107774774385,4.5031286249888,1,17.6809643805154,transfer,0,0.712109998473891,9.37293937157334,Inf,23.71146
0,22,1.5,0.03,1,1,0,48,0,26,6,0,NaN,0,1.56522377633373,100,56.7467897531342,30,0.443319744689996,6.32673746338705,22.4048423010883,1,12.6907550132401,transfer,0,1.49512778521651,1.83480441425263,4.245,22.8134637
0,22,1.5,0.03,1,1,2500,48,0,27,6,0,NaN,0,1.52699309353377,0.499916680553241,69.0923633079084,30,0.42571995873328,6.05412330564374,18.6100667583922,1,11.9048195614578,transfer,0,1.38020188946888,1.95130451216226,Inf,26.2418782
0,22,1.5,0.03,1,1,5000,48,0,28,6,0,NaN,0,1.40133200045604,0.449925012497917,69.52710367807,30,0.38025753384294,5.32271348040225,15.3629642220285,1,10.72943517555,transfer,0,1.1831659881817,1.86096341698476,Inf,24.9567578
0,22,1.5,0.03,1,1,7500,48,0,29,6,0,NaN,0,1.25479680262747,0.299950008331945,84.1653652126347,30,0.33623843510082,4.76618447757205,10.5647102714372,1,9.38969252625066,transfer,0,1.04409245269703,1.89857053123778,Inf,22.5912353
0,22,1.5,0.03,1,1,10000,48,0,30,6,0,NaN,0,1.01214203481739,0,144.33611161719,30,0.265010342423911,3.76427671220697,6.56191262212347,1,7.57738026987136,transfer,0,0.810709575890412,2.22528502451396,Inf,25.0568499
0,22,1.5,0.03,1,1,0,48,0,31,6,0,NaN,0,3.75092926530742,0.799866688885186,181.755749295533,-30,1.01455981289894,15.0784474335688,7.60168744731479,1,28.403524745554,transfer,0,3.2077368964837,4.80893871373437,Inf,23.2727343
0,22,1.5,0.03,1,1,2500,48,0,32,6,0,NaN,0,2.99674883138516,0.749875020829862,181.77500835061,-30,0.786995379570687,11.4739892156859,4.20196249551071,1,22.2664131564743,transfer,0,2.44719565042948,4.27827022790252,Inf,25.4256886
0,22,1.5,0.03,1,1,5000,48,100,33,5,0,NaN,0,2.13110984937244,0.633227795367439,3593.02304482367,-30,0.534071830290066,7.22553215123371,3.37566552398606,1,162.022179644009,transfer,Inf,1.53427629483477,57.6198322998019,Inf,23.308349
0,22,1.5,0.03,1,1,7500,48,100,34,6,0,NaN,0,1.39098856990838,0.449925012497917,1983.91877360418,-30,0.343370328732027,4.82316012946023,4.21203275961037,1,74.5440698354541,transfer,0,1.05962529183091,30.1881876066629,Inf,25.2720249
0,22,1.5,0.03,1,1,10000,48,100,35,6,0,NaN,0,0.887737361893974,0,488.133123781929,-30,0.217230567767293,3.04563721814599,4.92951351126447,1,12.9301150169686,transfer,0,0.645145808639626,6.71769725348381,Inf,18.7664525
