time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,VR_integrator_error,VR_proportional_term,VR_speed_slope,VR_accel_slope,VR_fallback
126.465,9499.9999999989,2.576106348799,9500,9499.99999999888,2.38279242662937,2.576106348799,0,-3.12726385166466e-09,10.1221338885931,1,1925.16031913412,21717.3728490915,-19792.2136296242,2.576106348799,2.00458612483445,2.0045861248377,-3.24940074847291e-12,3.11672807843258e-09,0.571520223950163,2.576106348799,0,261.897755638513,73.4390073299829,3.55513839003157e-10,1,0.996476425991155,0,1.11732845198276e-12,1.43838718713596e-11,0,0,0
126.48,9499.99999999885,2.57610634880194,9500,9499.99999999888,2.38279242663007,2.57610634880194,0,-8.57574796416824e-10,10.1221338885937,1,1925.16031913412,21717.3728491042,-19792.213629624,2.57610634880194,2.00458612483445,2.00458612483645,-1.99484873064648e-12,2.03353444967718e-09,0.571520223950833,2.57610634880194,0,261.897755638513,73.4390073299829,3.55110806045667e-10,1,0.99647642599115,0,1.20081722343457e-12,1.66565428116883e-11,0,0,0
126.495,9499.99999999884,2.5761063488024,9500,9499.99999999888,2.38279242663114,2.5761063488024,0,-4.97218233722979e-10,10.1221338885938,1,1925.16031913412,21717.3728491061,-19792.2136296239,2.5761063488024,2.00458612483445,2.00458612483615,-1.69730896004694e-12,9.94828804443434e-10,0.571520223951554,2.5761063488024,0,261.897755638513,73.4390073299829,3.55033084701292e-10,1,0.996476425991149,0,1.16751053269581e-12,1.63883129289388e-11,0,0,0
126.51,9499.99999999883,2.57610634881094,9500,9499.99999999887,2.38279242663221,2.57610634881094,0,6.1349637263118e-09,10.1221338885939,1,1925.16031913412,21717.3728491438,-19792.2136296238,2.57610634881094,2.00458612483445,2.00458612483356,8.97060203897126e-13,3.64821984192574e-10,0.571520223952254,2.57610634881094,0,261.897755638513,73.4390073299829,3.53934887515108e-10,1,0.996476425991148,0,1.54676271790777e-12,2.42284414753158e-11,0,0,0
126.525,9499.99999999892,2.57610634880652,9500,9499.99999999886,2.38279242663329,2.57610634880652,0,2.6358356410418e-09,10.1221338885928,1,1925.16031913412,21717.3728491244,-19792.2136296244,2.57610634880652,2.00458612483445,2.00458612483228,2.17115214695696e-12,-1.72964681176393e-11,0.571520223953182,2.57610634880652,0,261.897755638513,73.4390073299829,3.54537723835864e-10,1,0.996476425991158,0,1.12798659301916e-12,1.88823179314568e-11,0,0,0
126.54,9499.99999999896,2.57610634883455,9500,9499.99999999887,2.38279242663373,2.57610634883455,0,2.43099186128836e-08,10.1221338885924,1,1925.16031913412,21717.3728492478,-19792.2136296246,2.57610634883455,2.00458612483445,2.00458612483397,4.86277684785819e-13,4.18939098143649e-10,0.571520223953859,2.57610634883455,0,261.897755638513,73.4390073299829,3.50898164918172e-10,1,0.996476425991162,0,3.01625391330163e-12,4.62360816300134e-11,0,0,0
126.555,9499.99999999933,2.57610634880746,9500,9499.9999999989,2.38279242663398,2.57610634880746,0,3.10019549367159e-09,10.1221338885883,1,1925.16031913412,21717.3728491293,-19792.2136296266,2.57610634880746,2.00458612483445,2.00458612483413,3.22408766351145e-13,8.74387093432329e-10,0.571520223955669,2.57610634880746,0,261.897755638513,73.4390073299829,3.54607150094754e-10,1,0.9964764259912,0,1.12398979013051e-12,1.73425718230646e-11,0,0,0
126.57,9499.99999999938,2.57610634880201,9500,9499.99999999901,2.38279242663198,2.57610634880201,0,-1.15728086713689e-09,10.1221338885878,1,1925.16031913412,21717.3728491053,-19792.2136296268,2.57610634880201,2.00458612483445,2.00458612483744,-2.98427949019242e-12,3.44092326040884e-09,0.571520223956343,2.57610634880201,0,261.897755638513,73.4390073299829,3.55371199598506e-10,1,0.996476425991205,0,8.94839757847876e-13,1.12141407271338e-11,0,0,0
126.585,9499.99999999936,2.5761063488063,9500,9499.9999999991,2.38279242663033,2.5761063488063,0,2.17422604938457e-09,10.122133888588,1,1925.16031913412,21717.3728491242,-19792.2136296267,2.5761063488063,2.00458612483445,2.00458612484012,-5.66524605005725e-12,4.5681761985797e-09,0.57152022395688,2.5761063488063,0,261.897755638513,73.4390073299829,3.54778641970625e-10,1,0.996476425991204,0,1.28297372725683e-12,1.4969003814258e-11,0,0,0
126.6,9499.99999999939,2.57610634881608,9500,9499.99999999917,2.38279242662933,2.57610634881608,0,9.72210016270365e-09,10.1221338885876,1,1925.16031913412,21717.3728491672,-19792.2136296269,2.57610634881608,2.00458612483445,2.00458612484049,-6.0373928079116e-12,4.48845866885505e-09,0.57152022395765,2.57610634881608,0,261.897755638513,73.4390073299829,3.535246414398e-10,1,0.996476425991207,0,1.89537274764007e-12,2.39797515177997e-11,0,0,0
