file,proportional_replay,command_replay,saturation_replay,integrator_replay
transfer_e19_c78.csv,1.5654144647214707e-14,1.021405182655144e-14,0.0,1.011157015729609e-15
transfer_e20_c48.csv,4.996003610813204e-16,5.551115123125783e-15,0.0,9.836576030604367e-16
transfer_e20_c64.csv,1.8318679906315083e-15,5.551115123125783e-15,0.0,9.880967554988474e-16
transfer_e20_c78.csv,2.7200464103316335e-15,5.551115123125783e-15,0.0,1.0116975435849696e-15
transfer_e21_c48.csv,1.0547118733938987e-15,9.325873406851315e-15,0.0,9.370282328549764e-16
transfer_e21_c64.csv,1.6930901125533637e-15,9.325873406851315e-15,0.0,9.76996249758737e-16
transfer_e21_c78.csv,1.2212453270876722e-14,9.325873406851315e-15,0.0,9.33583377646592e-16
transfer_e22_c48.csv,1.0547118733938987e-15,7.105427357601002e-15,0.0,9.783840404509192e-16
transfer_e22_c64.csv,2.1649348980190553e-15,7.105427357601002e-15,0.0,9.593020822151743e-16
transfer_e22_c78.csv,2.0539125955565396e-14,7.105427357601002e-15,0.0,9.783840404509192e-16
transfer_e23_c48.csv,1.0547118733938987e-15,9.325873406851315e-15,0.0,9.925489724278529e-16
transfer_e23_c64.csv,1.942890293094024e-15,9.325873406851315e-15,0.0,9.999325586290686e-16
transfer_e23_c78.csv,1.354472090042691e-14,9.325873406851315e-15,0.0,1.022673699196952e-15
transfer_e24_c48.csv,9.992007221626409e-16,8.43769498715119e-15,0.0,1.0036423511798056e-15
transfer_e24_c64.csv,2.0816681711721685e-15,8.215650382226158e-15,0.0,9.723125082850004e-16
transfer_e24_c78.csv,6.106226635438361e-16,8.43769498715119e-15,0.0,1.00941477399612e-15
transfer_e25_c48.csv,4.996003610813204e-16,1.4432899320127035e-15,0.0,9.769962600984946e-16
transfer_e25_c64.csv,1.7208456881689926e-15,1.3877787807814457e-15,0.0,8.456776945386935e-16
transfer_e25_c78.csv,6.106226635438361e-16,1.4432899320127035e-15,0.0,9.947598300643462e-16
transfer_e26_c48.csv,1.0269562977782698e-15,7.993605777301127e-15,0.0,1.0147438443150736e-15
transfer_e26_c64.csv,1.8596235662471372e-15,8.215650382226158e-15,0.0,1.0103029524086678e-15
transfer_e26_c78.csv,1.892930256985892e-14,8.215650382226158e-15,0.0,1.0049938940937628e-15
transfer_e27_c48.csv,9.992007221626409e-16,7.105427357601002e-15,0.0,1.0214056908749124e-15
transfer_e27_c64.csv,1.8318679906315083e-15,7.105427357601002e-15,0.0,9.880984919163994e-16
transfer_e27_c78.csv,1.5709655798445965e-14,6.8833827526759706e-15,0.0,1.025150708100518e-15
transfer_e28_c48.csv,1.0269562977782698e-15,9.769962616701378e-15,0.0,1.0169643050488477e-15
transfer_e28_c64.csv,1.8318679906315083e-15,9.769962616701378e-15,0.0,1.0214051829860163e-15
transfer_e28_c78.csv,1.9484414082171497e-14,9.769962616701378e-15,0.0,9.927023515657549e-16
transfer_e29_c48.csv,1.0269562977782698e-15,5.995204332975845e-15,0.0,1.0180745208108271e-15
transfer_e29_c64.csv,2.220446049250313e-15,5.773159728050814e-15,0.0,1.02140717318257e-15
transfer_e29_c78.csv,1.2712053631958042e-14,5.773159728050814e-15,0.0,9.956296312570168e-16
transfer_e30_c48.csv,5.273559366969494e-16,4.440892098500626e-15,0.0,9.769962299064022e-16
transfer_e30_c64.csv,1.887379141862766e-15,5.551115123125783e-15,0.0,9.936238572379186e-16
transfer_e30_c78.csv,3.497202527569243e-15,5.10702591327572e-15,0.0,1.0121338242765706e-15
transfer_e31_c48.csv,1.0269562977782698e-15,8.881784197001252e-15,0.0,9.903189373369824e-16
transfer_e31_c64.csv,1.915134717478395e-15,8.43769498715119e-15,0.0,9.647230930776018e-16
transfer_e31_c78.csv,1.3988810110276972e-14,8.43769498715119e-15,0.0,9.645062526431047e-16
transfer_e32_c48.csv,1.0547118733938987e-15,8.881784197001252e-15,0.0,1.012523226933971e-15
transfer_e32_c64.csv,1.8318679906315083e-15,8.881784197001252e-15,0.0,9.740472317609772e-16
transfer_e32_c78.csv,1.6264767310758543e-14,8.43769498715119e-15,0.0,1.0512424264419451e-15
transfer_e33_c48.csv,1.0547118733938987e-15,5.773159728050814e-15,0.0,1.0070069778045365e-15
transfer_e33_c64.csv,1.8318679906315083e-15,5.995204332975845e-15,0.0,1.033895191682177e-15
transfer_e33_c78.csv,1.609823385706477e-15,5.773159728050814e-15,0.0,1.0041880521560742e-15
transfer_e34_c48.csv,9.992007221626409e-16,7.327471962526033e-15,0.0,1.0014225954624073e-15
transfer_e34_c64.csv,1.8041124150158794e-15,6.8833827526759706e-15,0.0,8.933825901280557e-16
transfer_e34_c78.csv,5.828670879282072e-16,7.993605777301127e-15,0.0,9.485745520064688e-16
transfer_e35_c48.csv,5.551115123125783e-16,1.3322676295501878e-15,0.0,9.858781313645271e-16
transfer_e35_c64.csv,1.6514567491299204e-15,1.2212453270876722e-15,0.0,6.058521739848999e-16
transfer_e35_c78.csv,5.689893001203927e-16,1.3322676295501878e-15,0.0,9.844250794307369e-16
