time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,DOB_compensation,GPR_FF,GPR_nominalFuel,GPR_referenceAcceleration,GPR_querySpeed,GPR_speedGuard,max_flow_error,valid
72,8999.87664281576,1.13390792032686,9000,8999.85939961189,1.13390792032686,1.13390792032686,0,0.261250854229413,30.1648856547762,6,589.46226056395,12555.3475008199,-11964.4791729745,-0,0,0.98231214185125,0,9000,1,3.81699743460685e-10,1
72.015,8999.88056157858,1.13389989039901,9000,8999.86386840371,1.13389989039901,1.13389989039901,0,0.25281996073145,30.1652177243337,6,589.46226056395,12555.3238311369,-11964.5008891234,-0,0,0.98231214185125,0,9000,1,3.69483081557928e-10,1
72.03,8999.88435387799,1.13389212870414,9000,8999.86819464864,1.13389212870414,1.13389212870414,0,0.244667652642752,30.1655388067171,6,589.46226056395,12555.3009704048,-11964.521914558,-0,0,0.98231214185125,0,9000,1,3.57249497981439e-10,1
72.045,8999.88802389278,1.13388463630448,9000,8999.87238251492,1.13388463630448,1.13388463630448,0,0.236791819191002,30.1658489681683,6,589.46226056395,12555.2789411846,-11964.542283198,-0,0,0.98231214185125,0,9000,1,3.45102471846374e-10,1
72.06,8999.89157577007,1.13387741106664,9000,8999.87643617351,1.13387741106664,1.13387741106664,0,0.229188086962172,30.1661483697235,6,589.46226056395,12555.2577500369,-11964.5620251437,-0,0,0.98231214185125,0,9000,1,3.33142574883675e-10,1
72.075,8999.89501359137,1.13387044788598,9000,8999.8803597892,1.13387044788598,1.13387044788598,0,0.221850003976467,30.1664372597105,6,589.46226056395,12555.2373884986,-11964.5811666612,-0,0,0.98231214185125,0,9000,1,3.21464035346798e-10,1
72.09,8999.89834134143,1.13386373908235,9000,8999.8841575052,1.13386373908235,1.13386373908235,0,0.214769343362643,30.1667159611894,6,589.46226056395,12555.217834915,-11964.5997303804,-0,0,0.98231214185125,0,9000,1,3.10146676419351e-10,1
72.105,8999.90156288158,1.13385727491104,9000,8999.88783342366,1.13385727491104,1.13385727491104,0,0.207936487406077,30.1669848560541,6,589.46226056395,12555.1990568696,-11964.617735657,-0,0,0.98231214185125,0,9000,1,2.99254462470448e-10,1
72.12,8999.90468192889,1.13385104413553,9000,8999.8913915843,1.13385104413553,1.13385104413553,0,0.201340850980377,30.1672443674212,6,589.46226056395,12555.1810139405,-11964.6351990497,-0,0,0.98231214185125,0,9000,1,2.88829551970115e-10,1
72.135,8999.90770204165,1.13384503461293,9000,8999.89483594323,1.13384503461293,1.13384503461293,0,0.194971310252107,30.167494941786,6,589.46226056395,12555.163660549,-11964.6521348603,-0,0,0.98231214185125,0,9000,1,2.78897848069306e-10,1
72.15,8999.91062661131,1.13383923385143,9000,8999.89817035346,1.13383923385143,1.13383923385143,0,0.188816606556488,30.1677370321692,6,589.46226056395,12555.1469486927,-11964.6685556932,-0,0,0.98231214185125,0,9000,1,2.69465033874295e-10,1
72.165,8999.9134588604,1.13383362950715,9000,8999.90139854839,1.13383362950715,1.13383362950715,0,0.18286570288814,30.1679710832129,6,589.46226056395,12555.1308304046,-11964.6844729952,-0,0,0.98231214185125,0,9000,1,2.60521594404413e-10,1
72.18,8999.91620184595,1.13382820979804,9000,8999.904524129,1.13382820979804,1.13382820979804,0,0.177108077676867,30.1681975188848,6,589.46226056395,12555.1152598235,-11964.6998975443,-0,0,0.98231214185125,0,9000,1,2.52044798940684e-10,1
72.195,8999.91885846711,1.13382296382141,9000,8999.90755055532,1.13382296382141,1.13382296382141,0,0.171533946243322,30.1684167331653,6,589.46226056395,12555.1001948008,-11964.7148398641,-0,0,0.98231214185125,0,9000,1,2.44001608477043e-10,1
72.21,8999.92143147631,1.13381788177055,9000,8999.91048114201,1.13381788177055,1.13381788177055,0,0.166134408277643,30.1686290838284,6,589.46226056395,12555.0855980237,-11964.7293105538,-0,0,0.98231214185125,0,9000,1,2.36352243960106e-10,1
72.225,8999.92392349243,1.13381295505305,9000,8999.91331905802,1.13381295505305,1.13381295505305,0,0.160901523160524,30.168834889216,6,589.46226056395,12555.0714376569,-11964.7433205233,-0,0,0.98231214185125,0,9000,1,2.29054679631918e-10,1
72.24,8999.92633701528,1.1338081763197,9000,8999.91606732975,1.1338081763197,1.1338081763197,0,0.155828320755657,30.1690344277089,6,589.46226056395,12555.0576875455,-11964.756881139,-0,0,0.98231214185125,0,9000,1,2.22064907345699e-10,1
72.255,8999.92867444009,1.13380353941734,9000,8999.91872884713,1.13380353941734,1.13380353941734,0,0.150908757673289,30.1692279394793,6,589.46226056395,12555.0443270412,-11964.7700042846,-0,0,0.98231214185125,0,9000,1,2.15341562069339e-10,1
72.27,8999.93093807145,1.13379903928071,9000,8999.92130637186,1.13379903928071,1.13379903928071,0,0.146137630476983,30.1694156300466,6,589.46226056395,12555.0313405228,-11964.7827023498,-0,0,0.98231214185125,0,9000,1,2.08846450517891e-10,1
72.285,8999.93313013591,1.13379467178183,9000,8999.92380254721,1.13379467178183,1.13379467178183,0,0.141510459396553,30.1695976750787,6,589.46226056395,12555.0187167009,-11964.7949881598,-0,0,0.98231214185125,0,9000,1,2.02548515873824e-10,1
72.3,8999.9352527928,1.13379043355273,9000,8999.92621990842,1.13379043355273,1.13379043355273,0,0.137023354006445,30.1697742259437,6,589.46226056395,12555.0064477818,-11964.8068748633,-0,0,0.98231214185125,0,9000,1,1.96419476603452e-10,1
72.315,8999.93730814311,1.13378632179788,9000,8999.92856089332,1.13378632179788,1.13378632179788,0,0.132672873206385,30.1699454155264,6,589.46226056395,12554.994528573,-11964.8183757914,-0,0,0.98231214185125,0,9000,1,1.90441095108052e-10,1
72.33,8999.93929823621,1.13378233411023,9000,8999.93082785244,1.13378233411023,1.13378233411023,0,0.128455888992591,30.170111363885,6,589.46226056395,12554.9829555973,-11964.8295043047,-0,0,0.98231214185125,0,9000,1,1.84599362810212e-10,1
72.345,8999.94122507455,1.1337784683018,9000,8999.93302305828,1.1337784683018,1.1337784683018,0,0.124369462296341,30.1702721834275,6,589.46226056395,12554.9717262718,-11964.8402736416,-0,0,0.98231214185125,0,9000,1,1.78883575055691e-10,1
72.36,8999.94309061648,1.13377472225743,9000,8999.93514871332,1.13377472225743,1.13377472225743,0,0.120410736273394,30.1704279833498,6,589.46226056395,12554.9608381924,-11964.8506967763,-0,0,0.98231214185125,0,9000,1,1.73292542507176e-10,1
72.375,8999.94489677753,1.13377109381678,9000,8999.9372069568,1.13377109381678,1.13377109381678,0,0.116576851195423,30.170578873193,6,589.46226056395,12554.950288553,-11964.8607862968,-0,0,0.98231214185125,0,9000,1,1.67825472295931e-10,1
72.39,8999.9466454303,1.13376758068743,9000,8999.93919986996,1.13376758068743,1.13376758068743,0,0.112864359042859,30.1707248620721,5,589.46226056395,12554.9400734672,-11964.8705568777,-0,0,0.98231214185125,0,9000,1,9.76639589067015e-10,1
72.405,8999.94833839568,1.13376418038901,9000,8999.94112947999,1.13376418038901,1.13376418038901,0,0.109271299636711,30.1708662768418,5,589.46226056395,12554.9301886523,-11964.8800147879,-0,0,0.98231214185125,0,9000,1,9.46004402176047e-10,1
72.42,8999.94997746518,1.1337608902785,9000,8999.94299776061,1.1337608902785,1.1337608902785,0,0.105794013619105,30.1710031319716,5,589.46226056395,12554.9206281366,-11964.8891737546,-0,0,0.98231214185125,0,9000,1,9.15507181556061e-10,1
72.435,8999.95156437538,1.1337577074317,9000,8999.94480663829,1.1337577074317,1.1337577074317,0,0.102429217726899,30.1711355555502,5,589.46226056395,12554.9113845814,-11964.8980441133,-0,0,0.98231214185125,0,9000,1,8.8587399976367e-10,1
72.45,8999.95310081365,1.13375462872927,9000,8999.94655799033,1.13375462872927,1.13375462872927,0,0.0991735233957926,30.1712636804363,5,589.46226056395,12554.9024494746,-11964.9066355933,-0,0,0.98231214185125,0,9000,1,8.57134989063235e-10,1
72.465,8999.9545884165,1.13375165089396,9000,8999.94825364478,1.13375165089396,1.13375165089396,0,0.0960234641662596,30.1713876430186,5,589.46226056395,12554.8938133103,-11964.9149573493,-0,0,0.98231214185125,0,9000,1,8.2930878402201e-10,1
72.48,8999.95602876846,1.13374877053787,9000,8999.94989538005,1.13374877053787,1.13374877053787,0,0.0929755302608783,30.1715075817754,5,589.46226056395,12554.8854658182,-11964.9230180049,-0,0,0.98231214185125,0,9000,1,8.0240873290105e-10,1
72.495,8999.95742340141,1.1337459842154,9000,8999.95148492433,1.1337459842154,1.1337459842154,0,0.0900262065877641,30.1716236356766,5,589.46226056395,12554.8773962228,-11964.9308257069,-0,0,0.98231214185125,0,9000,1,7.76435232527413e-10,1
72.51,8999.95877379451,1.13374328847654,9000,8999.95302395489,1.13374328847654,1.13374328847654,0,0.0871720112563275,30.1717359425892,5,589.46226056395,12554.869593509,-11964.9383881842,-0,0,0.98231214185125,0,9000,1,7.51380089483182e-10,1
72.525,8999.96008137468,1.13374067991745,9000,8999.9545140977,1.13374067991745,1.13374067991745,0,0.0844095314956284,30.1718446377748,5,589.46226056395,12554.8620466763,-11964.9457128081,-0,0,0.98231214185125,0,9000,1,7.27224405585761e-10,1
72.54,8999.96134751765,1.13373815522449,9000,8999.95595692712,1.13373815522449,1.13373815522449,0,0.0817354536791558,30.1719498525985,5,589.46226056395,12554.8547449579,-11964.9528066499,-0,0,0.98231214185125,0,9000,1,7.03942542606652e-10,1
72.555,8999.96257354946,1.13373571121061,9000,8999.95735396604,1.13373571121061,1.13373571121061,0,0.0791465892464358,30.1720517134759,5,589.46226056395,12554.8476780121,-11964.9596765326,-0,0,0.98231214185125,0,9000,1,6.81500668539546e-10,1
72.57,8999.9637607483,1.13373334484208,9000,8999.95870668633,1.13373334484208,1.13373334484208,0,0.0766398918120246,30.1721503411168,5,589.46226056395,12554.8408360596,-11964.9663290764,-0,0,0.98231214185125,0,9000,1,6.59862836838717e-10,1
72.585,8999.96491034667,1.13373105325584,9000,8999.96001650966,1.13373105325584,1.13373105325584,0,0.0742124684951914,30.1722458500562,5,589.46226056395,12554.8342099799,-11964.9727707341,-0,0,0.98231214185125,0,9000,1,6.38987550327759e-10,1
72.6,8999.9660235337,1.13372883376756,9000,8999.9612848087,1.13372883376756,1.13372883376756,0,0.0718615840235238,30.172338348468,5,589.46226056395,12554.8277913612,-11964.9790078183,-0,0,0.98231214185125,0,9000,1,6.18833047495107e-10,1
72.615,8999.96710145746,1.13372668387138,9000,8999.96251290851,1.13372668387138,1.13372668387138,0,0.0695846587443816,30.1724279382268,5,589.46226056395,12554.8215725072,-11964.9850465199,-0,0,0.98231214185125,0,9000,1,5.99358491911805e-10,1
72.63,8999.96814522734,1.13372460123246,9000,8999.96370208833,1.13372460123246,1.13372460123246,0,0.067379261894374,30.1725147151862,5,589.46226056395,12554.8155464115,-11964.9908929177,-0,0,0.98231214185125,0,9000,1,5.80524633019951e-10,1
72.645,8999.96915591627,1.13372258367412,9000,8999.96485358334,1.13372258367412,1.13372258367412,0,0.0652431007501599,30.1725987696146,5,589.46226056395,12554.8097067016,-11964.9965529818,-0,0,0.98231214185125,0,9000,1,5.62294466921238e-10,1
72.66,8999.97013456278,1.13372062916138,9000,8999.9659685867,1.13372062916138,1.13372062916138,0,0.0631740076259008,30.1726801867366,5,589.46226056395,12554.8040475674,-11965.0020325712,-0,0,0.98231214185125,0,9000,1,5.44635615211871e-10,1
72.675,8999.97108217289,1.13371873578187,9000,8999.96704825148,1.13371873578187,1.13371873578187,0,0.0611699246761878,30.1727590473479,5,589.46226056395,12554.7985636724,-11965.0073374274,-0,0,0.98231214185125,0,9000,1,5.27518871252903e-10,1
72.69,8999.97199972177,1.13371690172608,9000,8999.96809369264,1.13371690172608,1.13371690172608,0,0.0592288888453467,30.1728354284429,5,589.46226056395,12554.7932500636,-11965.012473165,-0,0,0.98231214185125,0,9000,1,5.10919521745909e-10,1
72.705,8999.9728881551,1.1337151252686,9000,8999.96910598891,1.1337151252686,1.1337151252686,0,0.0573490173843647,30.1729094038113,5,589.46226056395,12554.7881020837,-11965.0174452621,-0,0,0.98231214185125,0,9000,1,4.94816157317753e-10,1
72.72,8999.97374839036,1.13371340475029,9000,8999.97008618455,1.13371340475029,1.13371340475029,0,0.0555284943761495,30.1729810445972,5,589.46226056395,12554.7831152879,-11965.0222590495,-0,0,0.98231214185125,0,9000,1,4.79190672521835e-10,1
72.735,8999.97458131777,1.13371173856325,9000,8999.97103529097,1.13371173856325,1.13371173856325,0,0.05376555906724,30.1730504197735,5,589.46226056395,12554.7782853725,-11965.026919702,-0,0,0.98231214185125,0,9000,1,4.64029058783805e-10,1
72.75,8999.97538780116,1.13371012513851,9000,8999.97195428814,1.13371012513851,1.13371012513851,0,0.05205849690257,30.1731175965289,5,589.46226056395,12554.773608119,-11965.0314322313,-0,0,0.98231214185125,0,9000,1,4.49319157726294e-10,1
72.765,8999.97616867861,1.13370856293673,9000,8999.97284412596,1.13370856293673,1.13370856293673,0,0.0504056319024691,30.173182640563,5,589.46226056395,12554.7690793484,-11965.0358014805,-0,0,0.98231214185125,0,9000,1,4.35050000382403e-10,1
72.78,8999.97692476309,1.13370705044178,9000,8999.97370572534,1.13370705044178,1.13370705044178,0,0.0488053221562333,30.1732456162907,5,589.46226056395,12554.764694894,-11965.0400321219,-0,0,0.98231214185125,0,9000,1,4.21213525242993e-10,1
72.795,8999.97765684292,1.13370558615732,9000,8999.97453997921,1.13370558615732,1.13370558615732,0,0.0472559567494502,30.1733065869573,5,589.46226056395,12554.7604505853,-11965.0441286569,-0,0,0.98231214185125,0,9000,1,4.07801802951007e-10,1
