ratio,factor
4.09,0.013845932887713
4.1,0.0135588302066594
4.11,0.0132770013679008
4.12,0.0130003652923738
4.13,0.0127288417995321
4.14,0.0124623516048651
4.15,0.0122008163172398
4.16,0.0119441584360735
4.17,0.0116923013483392
4.18,0.0114451693254105
4.19,0.0112026875197477
4.2,0.0109647819614318
4.21,0.0107313795545496
4.22,0.0105024080734335
4.23,0.0102777961587623
4.24,0.0100574733135244
4.25,0.00984136989885012
4.26,0.00962941712971556
4.27,0.00942154707052245
4.28,0.00921769263055847
4.29,0.00901778755934156
4.3,0.0088217664418519
4.31,0.00862956469365627
4.32,0.00844111855592767
4.33,0.00825636509036467
4.34,0.00807524217401379
4.35,0.00789768849399885
4.36,0.00772364354216095
4.37,0.00755304760961228
4.38,0.00738584178120797
4.39,0.00722196792993868
4.4,0.00706136871124811
4.41,0.00690398755727843
4.42,0.00674976867104683
4.43,0.00659865702055701
4.44,0.00645059833284832
4.45,0.00630553908798607
4.46,0.00616342651299605
4.47,0.00602420857574626
4.48,0.0058878339787791
4.49,0.00575425215309688
4.5,0.00562341325190349
4.51,0.00549526814430541
4.52,0.00536976840897458
4.53,0.00524686632777617
4.54,0.00512651487936377
4.55,0.00500866773274493
4.56,0.00489327924081936
4.57,0.00478030443389278
4.58,0.00466969901316855
4.59,0.00456141934421983
4.6,0.00445542245044464
4.61,0.00435166600650614
4.62,0.00425010833176047
4.63,0.00415070838367458
4.64,0.00405342575123604
4.65,0.00395822064835722
4.66,0.00386505390727587
4.67,0.00377388697195424
4.68,0.00368468189147869
4.69,0.00359740131346187
4.7,0.00351200847744945
4.71,0.00342846720833313
4.72,0.00334674190977187
4.73,0.00326679755762322
4.74,0.00318859969338638
4.75,0.00311211441765873
4.76,0.00303730838360753
4.77,0.00296414879045841
4.78,0.00289260337700211
4.79,0.00282264041512123
4.8,0.00275422870333817
4.81,0.00268733756038595
4.82,0.00262193681880329
4.83,0.00255799681855501
4.84,0.00249548840067959
4.85,0.0024343829009646
4.86,0.00237465214365168
4.87,0.00231626843517193
4.88,0.00225920455791317
4.89,0.00220343376401988
4.9,0.00214892976922705
4.91,0.00209566674672909
4.92,0.00204361932108447
4.93,0.0019927625621574
4.94,0.00194307197909723
4.95,0.00189452351435659
4.96,0.00184709353774903
4.97,0.00180075884054704
4.98,0.00175549662962123
4.99,0.00171128452162138
5,0.00166810053720006
5.01,0.00162592309527955
5.02,0.00158473100736275
5.03,0.00154450347188849
5.04,0.00150522006863213
5.05,0.00146686075315172
5.06,0.00142940585128045
5.07,0.00139283605366568
5.08,0.00135713241035532
5.09,0.00132227632543163
5.1,0.00128824955169313
5.11,0.00125503418538488
5.12,0.00122261266097748
5.13,0.00119096774599519
5.14,0.00116008253589334
5.15,0.00112994044898552
5.16,0.00110052522142054
5.17,0.00107182090220961
5.18,0.00104381184830381
5.19,0.0010164827197221
5.2,0.000989818474729959
5.21,0.000963804365068942
5.22,0.000938425931237017
5.23,0.000913668997820046
5.24,0.000889519668874285
5.25,0.000865964323360065
5.26,0.000842989610626641
5.27,0.000820582445948242
5.28,0.000798730006111313
5.29,0.000777419725052924
5.3,0.000756639289550316
5.31,0.000736376634961515
5.32,0.000716619941016955
5.33,0.000697357627662028
5.34,0.000678578350950407
5.35,0.000660270998988105
5.36,0.000642424687928057
5.37,0.00062502875801513
5.38,0.000608072769681364
5.39,0.000591546499691294
5.4,0.000575439937337156
5.41,0.000559743280683761
5.42,0.000544446932862846
5.43,0.000529541498416668
5.44,0.0005150177796906
5.45,0.000500866773274493
5.46,0.000487079666492536
5.47,0.000473647833941351
