accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,case_index,method,rpm,fraction,shape,Kp,Ki,gp_replay_error,wall_seconds
1,3.32721377439838,21.9413312111246,126.990679221813,7.46441840260551,2.07743470363008,0,0.551739082551359,0.218793023287138,3.86959994774544,6.705,0,6,NaN,4,InvGPR_PI_GPRFF,9000,0.3,ramps,2,30,2.61346499996762e-12,66.7703545
1,1.01658953726134,8.90503726918905,31.5380460906969,21.9050747797866,2.14558597639284,0,0.197700540623389,0.0748355110775725,0.957942044689553,4.38,0,6,NaN,5,BasePI,9500,0.05,ramps,0.025,0.05,0,24.2003247
1,1.04855941952031,9.51322993383837,31.5382842436465,21.8463737031512,2.14842585142901,0,0.205645919200015,0.082189261796088,0.999388694358464,4.25999999999999,0,6,NaN,5,BasePI_GPRFF,9500,0.05,ramps,0.025,0.05,3.92663679349425e-12,27.335042
1,0.703479403371022,4.83573384474766,26.0267712536752,22.2242978557264,2.12980021212721,0,0.157530950261204,0.0481322045810657,0.954986149444389,5.09999999999999,0,6,NaN,5,InvGPR_PI,9500,0.05,ramps,2,30,3.22519788653608e-12,59.9601534
1,0.703479403375119,4.83573384478223,26.026771253408,22.2242978556814,2.12980021213001,0,0.157530950350258,0.0481322045861421,0.954986149237236,5.09999999999999,0,6,NaN,5,InvGPR_PI_GPRFF,9500,0.05,ramps,2,30,4.72244465754557e-12,64.7252749
1,2.12513600840014,18.6416214226902,65.8633099756077,16.6687016274096,2.46909561473176,0,0.417033689862018,0.173149267152387,2.04676761409687,4.72499999999999,0,6,NaN,6,BasePI,9500,0.1,ramps,0.025,0.05,0,24.8447227
1,2.1918264592035,19.9376769982682,65.8637950472448,16.5721395379378,2.47509128554009,0,0.433926684001405,0.188833879573442,2.11550554547902,4.56,0,6,NaN,6,BasePI_GPRFF,9500,0.1,ramps,0.025,0.05,4.19286827479937e-12,24.3962625
1,1.4702549563686,10.1718276261909,54.3558113375814,17.2846273534648,2.43637862572847,0,0.318558232498388,0.109406338860647,2.08626258302097,5.69999999999999,0,6,NaN,6,InvGPR_PI,9500,0.1,ramps,2,30,5.07460740095667e-12,59.0652535
1,1.4702549563734,10.1718276261909,54.3558113384779,17.2846273534533,2.43637862572923,0,0.31855823249839,0.109406338861405,2.08626258302097,5.69999999999999,0,6,NaN,6,InvGPR_PI_GPRFF,9500,0.1,ramps,2,30,3.84625664651139e-12,59.4299615
1,4.45266742097516,39.2701220463041,137.687818345279,7.24485720889482,3.15319160468163,0,0.891577918303045,0.388646506149325,4.39529234826107,5.05500000000001,0,6,NaN,7,BasePI,9500,0.2,ramps,0.025,0.05,0,24.8113127
1,4.5931880324169,41.9412546194126,137.688762024745,7.05251662402986,3.16584131442078,0,0.926217083694089,0.4227699307466,4.56113355033196,4.875,0,6,NaN,7,BasePI_GPRFF,9500,0.2,ramps,0.025,0.05,4.19553281005847e-12,26.3881715
1,3.07843412936386,21.2393968691267,113.651352001528,8.51472999302279,3.07268734836441,0,0.628958671726098,0.232114551130509,4.26251123374003,6.285,0,6,NaN,7,InvGPR_PI,9500,0.2,ramps,2,30,3.53872486869022e-12,66.4126707
1,3.07843412936433,21.2393968690831,113.651352001879,8.51472999304677,3.07268734836252,0,0.628958671730113,0.232114551128185,4.26251123354184,6.285,0,6,NaN,7,InvGPR_PI_GPRFF,9500,0.2,ramps,2,30,4.40825154157665e-12,63.7815542
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.38,8,BasePI,9500,0.3,ramps,0.025,0.05,0,84.4864109
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.38,8,BasePI_GPRFF,9500,0.3,ramps,0.025,0.05,5.4856119646729e-12,77.9618371
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.38,8,InvGPR_PI,9500,0.3,ramps,2,30,1.94333438230387e-12,100.6803994
0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.38,8,InvGPR_PI_GPRFF,9500,0.3,ramps,2,30,2.00839345154691e-12,102.557616
1,6.42951707805486,54.0998334907035,137.688220227863,4.86393867394034,3.33346798280978,0,4.70522134635172,1.48399662261766,11.7782522306091,2.985,0,6,NaN,9,BasePI,9500,0.2,steps,0.025,0.05,0,16.6832119
