environment,altitude_m,isa_delta_C,temperature_K,pressure_kPa,fuel_mean,speed_slope,accel_slope,equivalent_P,equivalent_I,equivalent_D,inverse_tail_tau_s,NcMap,gradient_check
18,5000,20,275.676843658536,53.1431818867552,1.20396493618326,0.00124237250810584,0.00156144733298032,0.0493281650056214,0.0372711752431752,0.00312289466596064,1.25682701668999,0.971253894860364,7.84586718510782e-11
19,7500,20,259.439368930853,37.5811821645197,1.05341773156887,0.00056660278653898,0.00160936243462132,0.0494140786117176,0.0169980835961694,0.00321872486924264,2.84037154926806,1.00118648308458,2.20165798786587e-10
20,10000,20,243.251849591291,26.1131085846817,0.794673678736868,0.000321937330217056,0.00158204146565618,0.0481051186301196,0.00965811990651168,0.00316408293131236,4.91412867401721,1.03396262790026,3.32654848111957e-10
21,0,-20,268.144318948029,99.291331590179,2.49680606862653,0.00228016725732072,0.00157580071843372,0.0518343560676529,0.0684050177196217,0.00315160143686743,0.691089968674201,0.984801308910407,1.19856199271018e-09
22,2500,-20,251.907844489366,73.4491842176674,2.13788594279256,0.000929513484945647,0.0016002751975488,0.0498672828963553,0.0278854045483694,0.0032005503950976,1.72162666111549,1.01604296076016,4.51785338306809e-10
23,5000,-20,235.676790500045,53.1431818867552,1.67672501255238,0.000234253721433496,0.00157410083599664,0.0476915325227662,0.00702761164300488,0.00314820167199328,6.71964068004581,1.05044788174461,7.19522930169372e-10
24,7500,-20,219.455774139497,37.5898074200686,1.10510514063672,-4.5446711332676e-05,0.00147973780530829,0.0443012407365833,-0.00136340133998028,0.00295947561061658,-32.5598434279746,1.08857764442168,8.65850731390783e-10
25,10000,-20,203.251854886868,26.1131085846817,0.710685945236783,-3.33604573598748e-05,0.0014151787275392,0.0423886409114564,-0.00100081372079624,0.00283035745507841,-42.4208431039483,1.13113817157957,5.27814883813371e-11
26,0,30,318.150000142355,99.2988461167886,1.1296349555841,0.00169476522490212,0.00148573285060857,0.0479615159680612,0.0508429567470636,0.00297146570121713,0.876659981440424,0.904101007827485,3.54849673950275e-10
27,2500,30,301.907846138217,73.4491842176674,1.11217816695472,0.00133194966439505,0.00154063516473636,0.048882954270881,0.0399584899318515,0.00308127032947272,1.15667671678576,0.928102018758102,4.51839534537646e-10
28,5000,30,285.676811982475,53.1431818867552,1.03043116872902,0.00119049503185087,0.00153592460124698,0.0484587281011111,0.035714850955526,0.00307184920249396,1.290156246061,0.954103352585817,2.92141293795067e-10
29,7500,30,269.447541514106,37.5856351443834,0.929206202957345,0.000850727332822094,0.00158124053812773,0.0491386708094761,0.0255218199846628,0.00316248107625546,1.85869252946455,0.982416854217459,3.64956009857309e-10
30,10000,30,253.251851580538,26.1131085846817,0.755492178143549,0.000315263684767414,0.00159504932589742,0.0484820071464573,0.00945791054302241,0.00319009865179483,5.05941344647471,1.01334330520555,3.32913325379325e-10
31,0,-30,258.138851493301,99.2831979223491,2.8018936334713,0.00119166736656952,0.00160025839503635,0.0503910865842295,0.0357500209970855,0.0032005167900727,1.34287338894163,1.00370533026201,2.62542047130276e-10
32,2500,-30,241.907841876359,73.4491842176674,2.25105869888992,0.000930237429349994,0.00158412623199761,0.0493842618186284,0.0279071228804998,0.00316825246399522,1.70292678193408,1.0368309286935,5.78418677538162e-10
33,5000,-30,225.676732465058,53.1431818867552,1.60724842243833,-6.52287599798662e-05,0.00150339073154373,0.0449712644263522,-0.00195686279939599,0.00300678146308746,-23.0479735013784,1.07346904310304,8.68094748862624e-10
34,7500,-30,209.455993547722,37.5898074200686,1.0541978085735,-5.36946733694106e-05,0.0014496803643374,0.0433830215833832,-0.00161084020108232,0.0028993607286748,-26.998588004509,1.11425995073467,5.88090222353177e-10
35,10000,-30,193.24656621093,26.1105966232425,0.677160377138314,-2.28392304496208e-05,0.00134107959078778,0.040186709262734,-0.000685176913488624,0.00268215918157555,-58.7182476986671,1.1600508440292,1.7166828765805e-10
36,4000,5,267.161443506004,60.6481711487663,1.54181598089003,0.00145757394250902,0.00157862979388032,0.0502740417014275,0.0437272182752706,0.00315725958776063,1.08305297442606,0.986611166637816,9.38931307703506e-10
