environment,method_id,method,accepted,altitude_m,isa_delta_C,Kp,Ki,Kd,accelTau,accelWeight,rmse_rpm,peak_rpm,ringing_excess_TV_lbm_s,recovery_1pct_speed_s,settling_to_point1_rpm_s,minimum_margin_percent,max_fuel_slew_lbm_s2,fuel_peak_lbm_s,iae_rpm_s,fuel_limit_percent,compressor_Nc_outside_percent,gp_outside_percent,fallback_percent
13,1,Base PI,1,5000,10,0.025,0.05,NaN,NaN,NaN,2.26566804036647,19.3502268832181,1.85433883767564,0,2.38500000000001,8.5512148381876,4.17753329320768,1.90685224870358,47.6870688375382,0,0,0,NaN
13,2,Previous inverse PI,1,5000,10,2,30,NaN,NaN,NaN,1.74875865609002,11.9820095603664,3.38939047856495,0,Inf,8.33724338178387,9.41719171616563,1.92211427458288,64.2606578568543,0,0,0.399933344442593,NaN
13,3,R1 retuned inverse PI,1,5000,10,1.5,22,0,0.03,1,2.35011101017942,13.7385594687257,1.59524870461107,0,Inf,9.4177638357531,7.22472469484009,1.86170078258095,87.6948645538042,0,0,0.549908348608565,0
13,4,R2 split feedback,1,5000,10,16,40,0,0.03,0.05,2.42142483753266,15.881198927611,0.440647045384869,0,1.34999999999999,10.4121356754453,5.37225678680372,1.81136077128279,48.706410399476,0,0,0.699883352774538,0
13,5,R3 normalized feedback,1,5000,10,0.025,0.1,0.002,0.03,1,1.56492790096525,12.8634411776675,1.31815855919439,0,1.36499999999999,9.96063918009895,7.44366113431031,1.83337151545325,27.0876457042329,0,0,0.499916680553241,0
14,1,Base PI,1,7500,10,0.025,0.05,NaN,NaN,NaN,1.80697328313958,15.5904701607142,1.63450168812155,0,2.205,4.65846754553949,3.3382213469916,1.53341731752654,37.2475241467406,0,0,0,NaN
14,2,Previous inverse PI,1,7500,10,2,30,NaN,NaN,NaN,2.11401653082756,9.62791449955694,2.56136935551488,0,Inf,4.76478583089019,7.30721289681181,1.52903008319367,120.874605814314,0,0,0.349941676387269,NaN
14,3,R1 retuned inverse PI,1,7500,10,1.5,22,0,0.03,1,2.86619311419185,11.0945850183398,1.19973092055886,0,Inf,5.81356041374114,5.60659236336905,1.48184697119243,164.857164466042,0,0,0.449925012497917,0
14,4,R2 split feedback,1,7500,10,16,40,0,0.03,0.05,4.93252913678523,23.977513124084,0.610851430686491,0,4.845,6.08973802247169,2.98108529950307,1.46951589347767,138.201493792931,0,0,0.999833361106482,0
14,5,R3 normalized feedback,1,7500,10,0.025,0.1,0.002,0.03,1,1.24186955585405,10.2718700834339,1.12127921076031,0,1.32000000000001,6.07238645960169,5.91122745461132,1.47053836993129,21.4882858392409,0,0,0.349941676387269,0
15,1,Base PI,1,10000,10,0.025,0.05,NaN,NaN,NaN,1.31993162253781,11.5610137595795,1.30109938145904,0,2.04000000000001,1.67452427551638,2.46975938979777,1.12983785653279,26.748501165995,0,100,0,NaN
15,2,Previous inverse PI,1,10000,10,2,30,NaN,NaN,NaN,21.6873398875559,44.6897708699216,1.74286762414552,0,Inf,2.01450128163417,5.04957288042944,1.11828426493685,1461.99116108226,0,100,0,NaN
15,3,R1 retuned inverse PI,1,10000,10,1.5,22,0,0.03,1,25.0966941765077,46.8936556871595,0.811510995350459,0,Inf,3.00424605747369,3.87632539109212,1.08491363176268,1749.79488233313,0,100,0.0499916680553241,0
15,4,R2 split feedback,0,10000,10,16,40,0,0.03,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89.4214876033058,15.1239669421488,0
15,5,R3 normalized feedback,1,10000,10,0.025,0.1,0.002,0.03,1,0.903806150626856,7.47757713076862,0.872567933397972,0,1.27500000000001,3.10083944668372,4.1868536097685,1.08148664809476,15.6018153223451,0,100,0,100
16,1,Base PI,1,0,20,0.025,0.05,NaN,NaN,NaN,2.35439289036423,20.4713888468596,1.93369704473092,0,2.44500000000001,19.0978280554085,4.56819386926091,1.90039373921075,49.7702884921067,0,0,0,NaN
16,2,Previous inverse PI,1,0,20,2,30,NaN,NaN,NaN,1.58024674404487,12.8005205433074,3.76899076758629,0,4.095,18.4573043701845,9.7794755378422,1.94072075166002,47.9376662170993,0,0,0.449925012497917,NaN
16,3,R1 retuned inverse PI,1,0,20,1.5,22,0,0.03,1,2.10713482547531,14.4848282529838,1.75755577556292,0,4.395,19.7792620272581,7.50773754459265,1.86858356052732,65.4024671888765,0,0,0.599900016663889,0
16,4,R2 split feedback,1,0,20,16,40,0,0.03,0.05,1.8399389154235,15.1116749741377,1.0714959176911,0,1.62,20.3797859746069,6.81957618364694,1.83745166397274,35.8455609168119,0,0,0.649891684719213,0
16,5,R3 normalized feedback,1,0,20,0.025,0.1,0.002,0.03,1,1.62372241345905,13.6094342908473,1.50000913497918,0,1.38,20.494735427452,7.94058019997076,1.83268230541124,27.9441887666692,0,0,0.549908348608565,0
17,1,Base PI,1,2500,20,0.025,0.05,NaN,NaN,NaN,2.20955589628807,19.159559261816,1.85428076071222,0,2.38500000000001,15.861080623944,4.21419382658255,1.80881012728322,46.4428074151541,0,0,0,NaN
17,2,Previous inverse PI,1,2500,20,2,30,NaN,NaN,NaN,1.65091130419694,11.9541542947081,3.28188646544019,0,Inf,15.5444520145791,8.91960879585776,1.83005660053759,56.6908671452606,0,0,0.399933344442593,NaN
17,3,R1 retuned inverse PI,1,2500,20,1.5,22,0,0.03,1,2.21340727135817,13.5760324162165,1.53832753152572,0,Inf,16.7408767851165,6.82981397168184,1.76902804638056,77.3520885929035,0,0,0.549908348608565,0
17,4,R2 split feedback,1,2500,20,16,40,0,0.03,0.05,2.14679237363989,15.111661116609,0.549157772582668,0,1.455,17.9616136866993,5.48571000140229,1.71355497446375,42.5235274625075,0,0,0.649891684719213,0
17,5,R3 normalized feedback,1,2500,20,0.025,0.1,0.002,0.03,1,1.52408032951942,12.6369915794276,1.36734438398563,0,1.36499999999999,17.3507246934712,7.3087211989726,1.74003709118956,26.291101703712,0,0,0.499916680553241,0
