accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,fuel_peak_lbm_s,fuel_limit_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s,max_fuel_slew_lbm_s2,settling_to_point1_rpm_s,recovery_1pct_speed_s,events_inside_1pct_throughout,first_failure_eval_s,environment,altitude_m,isa_delta_C,method,Kp,Ki,reference_hp,load_hp,wall_seconds,compressor_Nc_outside_percent,inlet_temperature_K,inlet_pressure_kPa,gp_replay_error,gp_outside_percent
1,1.86041726053189,16.4171950052551,37.6011857278469,1.86001403520606,1.59796010103828,0,1.86861348725269,0.442177030073981,3.52182588631954,2.19,0,6,NaN,9,7500,-10,BasePI,0.025,0.05,10985.0365037909,1098.50365037909,4.2438573,100,229.455959192693,37.5898074200669,0,0
1,31.1000187221633,78.3121389362768,2030.32411654464,2.21845409991258,1.5807298219919,0,2.41697545723133,0.440432000143423,7.01891752969002,Inf,0,6,NaN,9,7500,-10,InvGPR_PI_GPRFF,2,30,10985.0365037909,1098.50365037909,21.2213488,100,229.455959192693,37.5898074200669,3.22164517285728e-12,0.399933344442593
1,1.17324980385403,10.5584251868768,23.520479833416,2.65666874153932,1.02681532287807,0,1.26005128638325,0.281068782245841,2.3337166647917,1.98,0,6,NaN,10,10000,-10,BasePI,0.025,0.05,7350.50681618585,735.050681618585,3.5891342,100,213.25185203413,26.113108584684,0,0
1,7.10625824775962,13.4464537827498,507.225929362428,3.00928521969502,1.0157657972887,0,1.58457284185846,0.277653082668052,4.4741368279412,Inf,0,6,NaN,10,10000,-10,InvGPR_PI_GPRFF,2,30,7350.50681618585,735.050681618585,21.5488874,100,213.25185203413,26.113108584684,3.01303426653021e-12,0
1,2.71986360600175,23.5356567196905,57.7698104753039,17.0783411361901,2.22276919978216,0,2.16970072970909,0.628390176239307,5.22383827235979,2.52,0,6,NaN,11,0,10,BasePI,0.025,0.05,16992.6176085723,1699.26176085723,3.4958776,0,298.150002121757,99.2988461167942,0,0
1,1.790478955793,14.6460477096916,53.3235867615823,16.4951069496038,2.2674784512425,0,4.29640035918912,0.691167334133291,11.280000785516,4.08,0,6,NaN,11,0,10,InvGPR_PI_GPRFF,2,30,16992.6176085723,1699.26176085723,22.4089116,0,298.150002121757,99.2988461167942,4.15512069196211e-12,0.599900016663889
1,2.51663601664706,21.6263418082963,53.4226224504186,13.4390631470848,2.0918889672389,0,1.99785159041078,0.582000166894866,4.73341331076567,2.47499999999999,0,6,NaN,12,2500,10,BasePI,0.025,0.05,15334.0819313996,1533.40819313996,4.4997412,0,281.907863287707,73.4491842176651,0,0
1,1.72688821438945,13.4604986472859,54.1965386278944,12.9341380653349,2.12722704367043,0,3.78138655832963,0.630499057594376,10.11887244492,4.41,0,6,NaN,12,2500,10,InvGPR_PI_GPRFF,2,30,15334.0819313996,1533.40819313996,22.317034,0,281.907863287707,73.4491842176651,3.12705417115922e-12,0.499916680553241
1,2.26566804036647,19.3502268832181,47.6870688375382,8.5512148381876,1.90685224870358,0,1.85433883767564,0.526431413838997,4.17753329320768,2.38500000000001,0,6,NaN,13,5000,10,BasePI,0.025,0.05,13381.6442322856,1338.16442322856,3.586515,0,265.667604822196,53.1366302197166,0,0
1,1.74875865609002,11.9820095603664,64.2606578568543,8.33724338178387,1.92211427458288,0,3.38939047856495,0.569527115197006,9.41719171616563,Inf,0,6,NaN,13,5000,10,InvGPR_PI_GPRFF,2,30,13381.6442322856,1338.16442322856,22.208995,0,265.667604822196,53.1366302197166,2.84061663080593e-12,0.399933344442593
1,1.80697328313958,15.5904701607142,37.2475241467406,4.65846754553949,1.53341731752654,0,1.63450168812155,0.425163605041116,3.3382213469916,2.205,0,6,NaN,14,7500,10,BasePI,0.025,0.05,10508.7503506579,1050.87503506579,3.1680298,0,249.455992385199,37.5898074200669,0,0
1,2.11401653082756,9.62791449955694,120.874605814314,4.76478583089019,1.52903008319367,0,2.56136935551488,0.443240760534549,7.30721289681181,Inf,0,6,NaN,14,7500,10,InvGPR_PI_GPRFF,2,30,10508.7503506579,1050.87503506579,833.4135315,0,249.455992385199,37.5898074200669,3.41615624677161e-12,0.349941676387269
