time_s,reference_Ndot_rpm_s,RLS_prediction_rpm_s,update_enabled,reference_fault_latched,updates_before_sample
4.23,-188.662344391159,-188.463046633168,1,0,280
4.245,-196.588039050046,-196.455688141649,1,0,281
4.26,-204.528497804395,-204.458000048565,1,0,282
4.275,-212.46207374364,-212.445596607655,1,0,283
4.29,-220.370163426944,-220.398162963559,1,0,284
4.305,-228.228266681534,-228.299770767184,1,0,285
4.32,-236.043908077605,-236.130015995288,1,0,286
4.335,-243.799615461416,-243.894829277873,1,0,287
4.35,-251.490130686891,-251.588943046759,1,0,288
4.365,-259.112771124464,-259.209785531672,1,0,289
4.38,-266.667076339829,-266.757232044778,1,0,290
4.395,-274.154736328389,-274.230365297059,1,0,291
4.41,-281.579294403416,-281.635981460105,1,0,292
4.425,-288.945401456731,-288.979851030379,1,0,293
4.44,-296.257867166986,-296.268545832457,1,0,294
4.455,-303.521179691143,-303.508346496442,1,0,295
4.47,-310.739161375572,-310.704439722954,1,0,296
4.485,-317.914726326489,-317.86056261668,1,0,297
4.5,-325.049744878835,-324.978978148546,1,0,298
4.515,-332.144977408185,-332.060576992955,1,0,299
4.53,-339.200099597072,-339.104943778578,1,0,300
4.545,-346.319081623545,-346.110487029168,1,0,301
4.56,-353.430705535998,-353.171800892844,1,0,302
4.575,-360.483941454795,-360.265083585532,1,0,303
4.59,-367.467481698989,-367.318530738752,1,0,304
4.605,-374.372281487075,-374.279821123875,1,0,305
4.62,-381.191450422755,-381.117335556444,1,0,306
4.635,-387.920118934007,-387.848123512506,1,0,307
4.65,-394.555212177732,-394.480033021543,1,0,308
4.665,-401.095155049408,-401.012429664676,1,0,309
4.68,-407.539395175784,-407.445917712359,1,0,310
4.695,-413.887970387332,-413.781815953962,1,0,311
4.71,-420.142314952323,-420.021618053102,1,0,312
4.725,-426.303587585475,-426.167651491679,1,0,313
4.74,-432.37292262266,-432.2219965887,1,0,314
4.755,-438.350479498512,-438.186271134949,1,0,315
4.77,-444.235088311822,-444.060754428183,1,0,316
4.785,-450.026831189132,-449.843744074151,1,0,317
4.8,-455.705483079831,-455.534188950173,1,0,318
4.815,-461.31404465478,-461.112704348945,1,0,319
4.83,-466.829335317862,-466.611147839562,1,0,320
4.845,-472.246849513387,-472.02486521231,1,0,321
4.86,-477.561124787625,-477.345291171797,1,0,322
4.875,-482.766594345252,-482.562416793243,1,0,323
4.89,-487.688899850859,-487.660777015958,1,0,324
4.905,-493.111443271781,-492.481428297439,1,0,325
4.92,-498.604774720411,-497.688467037163,1,0,326
4.935,-503.931228521454,-503.200387145413,1,0,327
4.95,-509.045801569535,-508.680953255909,1,0,328
4.965,-513.917225054556,-513.877391087537,1,0,329
4.98,-518.527905495638,-518.595818599036,1,0,330
4.995,-522.872533012659,-522.964837593996,1,0,331
5.01,-526.956234290671,-527.043367596115,1,0,332
5.025,-530.785644673267,-530.850860379402,1,0,333
5.04,-534.399816372097,-534.406739396353,1,0,334
5.055,-537.801027760637,-537.756466084522,1,0,335
5.07,-541.018311024652,-540.91844499083,1,0,336
5.085,-544.073506717523,-543.919593287249,1,0,337
5.1,-546.985842784922,-546.783494151761,1,0,338
5.115,-549.752147285982,-549.527035725563,1,0,339
5.13,-552.423362145047,-552.149662820886,1,0,340
5.145,-554.986566159699,-554.687285810075,1,0,341
5.16,-557.443597555461,-557.138775281596,1,0,342
5.175,-559.792685275827,-559.497595959401,1,0,343
5.19,-562.024260359118,-561.754132864871,1,0,344
5.205,-564.146006692123,-563.887246468184,1,0,345
5.22,-566.139367246596,-565.90359720166,1,0,346
5.235,-568.002951823129,-567.788337336633,1,0,347
5.25,-569.730518599167,-569.535147653742,1,0,348
5.265,-571.315623593763,-571.138209649347,1,0,349
5.28,-572.751985048999,-572.590108991426,1,0,350
5.295,-574.033642822449,-573.88730550108,1,0,351
5.31,-575.155190253871,-575.022826704839,1,0,352
5.325,-576.111899892619,-575.991674616625,1,0,353
5.34,-576.933712510499,-576.789729485815,1,0,354
