source_id,source_row,time_s,speed_rpm,fuel_lbm_s,acceleration_rpm_s
2,3469,52.02,9195.77723335487,1.21109522289527,-63.4695502597006
1,2917,43.74,9360.49765086546,0.378881430927994,-961.473603069411
1,2992,44.865,9184.83086056666,2.65442258414071,813.796666352907
1,2388,35.805,9238.4225683131,0.702607835978486,-511.966635614013
1,2818,42.255,9810.12886230885,3.88309033438608,730.408044613911
2,4850,72.735,9984.61016459892,3.06996059236139,59.9370406271221
1,2882,43.215,9846.5953247158,1.51466912817821,-745.106880534404
1,2102,31.515,9259.57173521044,1.94454955067885,341.14195474411
2,3088,46.305,9768.36088375821,2.30775396414481,-94.1924989084762
1,2501,37.5,9266.97752569249,2.40681728500315,603.066316276414
1,3041,45.6,9892.99500176033,4.07318283918635,720.879430081883
1,2805,42.06,9653.096738245,3.73653544203873,853.827463080889
1,3014,45.195,9505.54238222355,3.86139556033887,1076.90773958492
1,2875,43.11,9915.31804732624,1.88159344870868,-583.021010270128
1,2588,38.805,9997.77039277872,3.29811839673132,167.446641615397
2,2296,34.425,9043.78072365222,1.19270319656219,101.004010384105
1,2151,32.25,9546.63614488178,2.64184776577552,415.089214615299
1,2775,41.61,9263.94054620685,2.72929268321904,775.008056082572
1,2757,41.34,9088.13709414424,1.91625537963721,514.799695746308
2,5302,79.515,9470.25017898638,1.56859652514249,-151.783830425399
1,2229,33.42,9957.91980891344,3.25826819025533,200.592557563215
1,2937,44.04,9110.78799753504,0.376055675831391,-643.160595385849
1,2207,33.09,9871.35307417975,3.24915896171901,312.507611700764
1,2833,42.48,9947.75090049,3.70816095335659,457.099768703357
1,2889,43.32,9762.9476695198,1.19863214213616,-854.717555074211
1,2782,41.715,9348.72057327099,3.04165110963155,846.951291156553
1,2280,34.185,9979.76007781571,2.68359907584784,-165.219632355842
1,2139,32.07,9471.720995407,2.47528869001538,414.17242143286
1,2896,43.425,9669.51730178561,0.914245564104223,-935.676702281315
2,2334,34.995,9101.70227883677,1.28766405278172,100.414625105232
1,2768,41.505,9187.35606529839,2.41398397349884,694.336557547561
1,2400,35.985,9151.8253380441,0.662792414284593,-438.359151409003
2,5328,79.905,9411.35342515953,1.46380715363902,-150.754465387312
1,2487,37.29,9152.56336660583,1.99218863312168,489.412970482313
1,2885,43.26,9812.21511013015,1.3726965223553,-799.068726935794
1,2626,39.375,9917.4788066435,2.08131971328273,-455.550179677739
1,2114,31.695,9323.61607348782,2.11660568715017,371.985679663444
1,3091,46.35,9827.49083060532,1.2580306825072,-910.404778504036
1,2192,32.865,9794.0271394647,3.16258240575832,367.771382804384
1,2527,37.89,9525.81582869159,3.09224993091678,692.401448684386
1,2879,43.17,9878.18319631748,1.66799876509511,-679.1740698333
2,3375,50.61,9336.86343573981,1.40319124794638,-100.136486788769
1,2786,41.775,9400.25382978197,3.20423108351686,876.676750618263
1,2759,41.37,9103.85926768828,2.00683137604433,551.553715263311
1,2840,42.585,9988.70264633472,3.51571308024214,297.920074234158
1,2302,34.515,9898.38413935324,2.22748142474422,-332.144977408226
1,2170,32.535,9664.76443847261,2.91770355396871,409.258707621427
1,2481,37.2,9111.58943618881,1.81704254484166,429.461625085174
2,4680,70.185,9831.75262974538,2.70158246371925,59.9638263390464
2,3419,51.27,9270.78552324752,1.2870540543291,-100.104757063506
1,2987,44.79,9128.20224424403,2.34317315809112,715.039689254368
1,2863,42.93,9994.1024838309,2.47631232572313,-315.651077141214
1,2973,44.58,9017.29068282492,1.52973309743042,355.74331919082
1,2790,41.835,9453.33655081398,3.34877078033451,895.847326057545
1,2711,40.65,9052.99075008763,0.57759013383251,-390.641036900133
2,4625,69.36,9782.2393976618,2.58704304977379,60.1939505251606
1,2475,37.11,9076.44525214274,1.64427111008794,362.166547844612
1,2989,44.82,9149.95774138471,2.46653355841349,755.306636794146
2,2668,40.005,9601.85195586315,2.23107530619471,99.7011184450913
1,2180,32.685,9725.19247296413,3.04121445956229,393.611371579269
1,2414,36.195,9070.59040116203,0.681142188420663,-322.497444539965
1,2755,41.31,9073.54177721535,1.82666160843695,477.019965974557
1,2811,42.15,9728.39510168449,3.83656521422502,809.093909699343
1,2467,36.99,9039.0197876171,1.43549054251311,273.908540207781
1,2903,43.53,9568.42403593962,0.670371779634042,-988.975275887028
2,4572,68.565,9734.18576874728,2.47908963410604,61.7980268022893
2,2379,35.67,9169.3092141825,1.40175557903526,100.003676299327
1,2629,39.42,9896.30089256134,1.96525143791396,-500.248682911161
2,3071,46.05,9798.58782573769,2.40357095110972,-76.6927842097785
1,3187,47.79,9203.20604037014,2.99919807432748,955.308892250975
1,3185,47.76,9175.645897402,2.83527911288595,906.254692714367
1,2463,36.93,9024.19995471617,1.34315915739468,229.926287736667
2,5203,78.03,9693.79115803379,2.04947428197166,-150.174154906636
1,2907,43.59,9508.88040767935,0.561035562720248,-994.479664787816
1,3047,45.69,9951.28969501551,3.87849910476611,541.93384068595
1,2323,34.83,9772.56326001054,1.74194926259375,-466.829335317885
2,3118,46.755,9723.68116262088,2.19598300924199,-100.005859110696
2,5409,81.12,9228.5946943384,1.14476214642002,-150.589207142515
