time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,altitude_m,isa_delta_C
26.925,9449.45211282843,2.30419632296861,9450,9449.45042442774,2.30419632296861,2.30419632296861,0,0.0788348189084542,22.4664727917747,5,0,22842.5200766839,-22842.0744814734,270.605200039454,99.2925751831581,8.63892433889997e-10,1,0.975097114983649,0,0,-20
26.94,9449.45329535072,2.30459739301904,9450,9449.45086199788,2.30459739301904,2.30459739301904,0,0.0897409015099044,22.4621915762765,5,0,22845.6788934864,-22845.1716541542,270.593196086188,99.2925696500845,8.96123648432315e-10,1,0.975118865217135,0,0,-20
26.955,9449.45464146424,2.30499323224542,9450,9449.45149263169,2.30499323224542,2.30499323224542,0,0.0969945189641777,22.4579892192488,5,0,22848.8143577755,-22848.2661189991,270.581192129707,99.292564112079,9.29633718752299e-10,1,0.97514063378294,0,0,-20
26.97,9449.45609638202,2.3053838898126,9450,9449.452308691,2.3053838898126,2.3053838898126,0,0.100705967772636,22.4538642907408,5,0,22851.92633786,-22851.3571209019,270.569188169995,99.292558569121,9.63009910950008e-10,1,0.975162415028484,0,0,-20
26.985,9449.45760697154,2.30576973090792,9450,9449.45329031848,2.30576973090792,2.30576973090792,0,0.101188339910612,22.4498107973981,5,0,22855.0161950748,-22854.4442515293,270.557184207055,99.2925530212129,9.94864485193335e-10,1,0.975184203471394,0,0,-20
27,9449.45912479664,2.30615135460078,9450,9449.45440903308,2.30615135460078,2.30615135460078,0,0.0989004821618084,22.4458195151875,6,0,22858.0864207966,-22857.5274087449,270.545180240907,99.2925474683785,7.54393402929167e-11,1,0.975205994113454,0,0,-20
27.015,9449.46060830387,2.30652951264913,9450,9449.45563118215,2.30652951264913,2.30652951264913,0,0.0943886323577398,22.4418788004112,6,0,22861.1402615606,-22860.6067516104,270.533176271526,99.2925419105864,7.76286663073946e-11,1,0.975227782666415,0,0,-20
27.03,9449.46202413335,2.30690503404683,9450,9449.45692106546,2.30690503404683,2.30690503404683,0,0.0882393171460877,22.4379762918836,6,0,22864.1813866323,-22863.6826341917,270.521172298888,99.292536347803,7.96322265440919e-11,1,0.975249565687275,0,0,-20
27.045,9449.46334772311,2.30727875916054,9450,9449.45824358929,2.30727875916054,2.30727875916054,0,0.0810332458011015,22.434099483708,6,0,22867.2135746803,-22866.7555528361,270.50916832304,99.2925307800882,8.13040868742435e-11,1,0.975271340640623,0,0,-20
27.06,9449.4645632218,2.30765148536639,9450,9449.45956638937,2.30765148536639,2.30765148536639,0,0.073310755435796,22.4302366089593,6,0,22870.2404603455,-22869.8260880543,270.497164343958,99.2925252074095,8.27845814803738e-11,1,0.975293105889994,0,0,-20
27.075,9449.46566288313,2.30802392563941,9450,9449.46086138096,2.30802392563941,2.30802392563941,0,0.0655457940733604,22.4263772317605,6,0,22873.2653360507,-22872.894853386,270.485160361633,99.292519629755,8.40590152014407e-11,1,0.975314860635296,0,0,-20
27.09,9449.46664607004,2.30839668016767,9450,9449.46210575026,2.30839668016767,2.30839668016767,0,0.0581289156799234,22.422512645209,6,0,22876.2910122955,-22875.9624518116,270.473156376056,99.2925140471101,8.5088940103943e-11,1,0.975336604810159,0,0,-20
27.105,9449.46751800378,2.3087702203011,9450,9449.46328243089,2.3087702203011,2.3087702203011,0,0.0513586488433683,22.4186360870885,6,0,22879.3197341179,-22879.0294410017,270.461152387262,99.2925084595204,8.60466337313799e-11,1,0.975358338952805,0,0,-20
27.12,9449.46828838351,2.30914488351094,9450,9449.46438013255,2.30914488351094,2.30914488351094,0,0.0454401997062543,22.4147427942263,6,0,22882.3531483284,-22882.0963078829,270.44914839521,99.2925028669321,8.68688254356938e-11,1,0.975380064063863,0,0,-20
27.135,9449.4689699865,2.30952087760129,9450,9449.46539300464,2.30952087760129,2.30952087760129,0,0.0404901880970178,22.4108299226278,6,0,22885.3923140085,-22885.1634523669,270.437144399917,99.2924972693654,8.76175190578524e-11,1,0.97540178146167,0,0,-20
27.15,9449.46957733933,2.30989829217122,9450,9449.4663200242,2.30989829217122,2.30989829217122,0,0.036545990344829,22.4068963635002,6,0,22888.4377474768,-22888.2311795088,270.425140401383,99.2924916668182,8.83846348446577e-11,1,0.975423492645288,0,0,-20
27.165,9449.47012552918,2.31027711525326,9450,9449.46716419813,2.31027711525326,2.31027711525326,0,0.0335782426966739,22.4029424862503,6,0,22891.4894924602,-22891.2996990053,270.41313639958,99.2924860592544,8.91440604349363e-11,1,0.975445199171831,0,0,-20
27.18,9449.47062920282,2.31065725312229,9450,9449.46793166409,2.31065725312229,2.31065725312229,0,0.0315051333084707,22.3989698381719,6,0,22894.5472063681,-22894.3691306877,270.401132394528,99.2924804466971,8.99711570216865e-11,1,0.975466902553,0,0,-20
27.195,9449.47110177982,2.31103855145034,9450,9449.46863076497,2.31103855145034,2.31103855145034,0,0.0302072629710471,22.394980827548,6,0,22897.6102542973,-22897.4395145286,270.389128386223,99.2924748291415,9.08657543412211e-11,1,0.975488604173988,0,0,-20
27.21,9449.47155488877,2.31142081624179,9450,9449.46927115936,2.31142081624179,2.31142081624179,0,0.0295420432532242,22.3909784130247,6,0,22900.6778034785,-22900.5108237067,270.37712437467,99.2924692065924,9.18483240641081e-11,1,0.975510305235203,0,0,-20
27.225,9449.47199801941,2.31180383329221,9450,9449.46986301638,2.31180383329221,2.31180383329221,0,0.0293568278938032,22.3869658172956,6,0,22903.7489122261,-22903.5829793348,270.36512035983,99.2924635789988,9.29251761002113e-11,1,0.975532006716434,0,0,-20
27.24,9449.47243837183,2.31218738524136,9450,9449.4704163291,2.31218738524136,2.31218738524136,0,0.0295001997000534,22.3829462783704,6,0,22906.8226089138,-22906.6558656378,270.353116341762,99.2924579464357,9.40939205262843e-11,1,0.975553709360994,0,0,-20
27.255,9449.47288087483,2.31257126561539,9450,9449.47094036675,2.31257126561539,2.31257126561539,0,0.0298310608341861,22.3789228466197,6,0,22909.8979579352,-22909.7293445328,270.341112320405,99.2924523088214,9.53627808161893e-11,1,0.975575413677994,0,0,-20
27.27,9449.47332834074,2.31295528955349,9450,9449.47144327368,2.31295528955349,2.31295528955349,0,0.030225375345048,22.374898231789,6,0,22912.9741110369,-22912.8032688518,270.329108295783,99.2924466661868,9.66995957339149e-11,1,0.975597119957921,0,0,-20
27.285,9449.47378172137,2.31333930117733,9450,9449.47193181237,2.31333930117733,2.31333930117733,0,0.0305805872684085,22.3708746998581,6,0,22916.0503435627,-22915.8774936132,270.3171042679,99.292441018537,9.81949693441988e-11,1,0.975618828299233,0,0,-20
