time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,VF_sdSetpoint,VF_sdFeedback,VF_gainFactor,VF_Kp,VF_Ki,max_flow_error,valid
70.725,8998.48910243234,1.28744181980506,9000,8998.02012979452,1.10394999769458,1.28744181980506,0,0.969393408165022,25.7983453203028,10,1178.9245211279,13301.3961568747,-12117.2545326941,1.28744181980506,0.982312141850576,0.98583146702727,-0.00351932517669407,4.91432565781279,0.315747623167257,1.28744181980506,1,0.00126841712762271,0.00128281160341311,1.00568003615077,3.01704010845233,60.3408021690465,7.21752175453172e-10,1
70.74,8998.50364333346,1.27852369181267,9000,8998.14166991577,1.10234851814224,1.27852369181267,0,-5.34324227962975,26.0372713933934,10,1178.9245211279,13258.4321059255,-12108.268396822,1.27852369181267,0.982312141850576,0.987731589074867,-0.00541944722429111,6.16884327168144,0.312559611674319,1.27852369181267,1,0.00126841712762271,0.00128129680511414,1.00551840040963,3.01655520122888,60.3311040245776,6.23635176088102e-10,1
70.755,8998.42349469927,1.2730296634335,9000,8998.23547985163,1.10136006208524,1.2730296634335,0,-9.17451622879419,26.1831063060993,10,1178.9245211279,13231.5465790052,-12102.0043603648,1.2730296634335,0.982312141850576,0.987927047081159,-0.00561490523058339,6.20234815099086,0.307653680041627,1.2730296634335,1,0.00126841712762271,0.00128044567143151,1.00542857289026,3.01628571867077,60.3257143734154,3.65988900650876e-10,1
70.77,8998.28587695583,1.27248170169643,9000,8998.28420624958,1.1014460971069,1.27248170169643,0,-9.46799441475262,26.1946055516369,8,1178.9245211279,13228.3172109318,-12100.3538527071,1.27248170169643,0.982312141850576,0.986424243227903,-0.00411210137732776,5.04007055952698,0.302572776510715,1.27248170169643,1,0.00126841712762271,0.00128040248394688,1.00542403398601,3.01627210195804,60.3254420391608,7.52380588370547e-10,1
70.785,8998.14385703961,1.27684416973573,9000,8998.28463923399,1.10272194724083,1.27684416973573,0,-6.28442103363615,26.0738275937083,10,1178.9245211279,13248.8030044024,-12103.7038616197,1.27684416973573,0.982312141850576,0.983744301642559,-0.0014321597919833,3.06831506077758,0.298852110056947,1.27684416973573,1,0.00126841712762271,0.00128106173578124,1.00549352010782,3.01648056032347,60.3296112064694,3.1376908377939e-10,1
70.8,8998.04959072411,1.28459564165626,9000,8998.24815376854,1.10493497743377,1.28459564165626,0,-0.73998197781273,25.8638781969084,10,1178.9245211279,13285.8186048328,-12110.8775281056,1.28459564165626,0.982312141850576,0.980744946469821,0.00156719538075478,0.903966356618762,0.29755556105808,1.28459564165626,1,0.00126841712762271,0.00128211144980089,1.00560504573186,3.01681513719557,60.3363027439115,5.71940964496966e-10,1
70.815,8998.03849099444,1.29325048194239,9000,8998.19669367354,1.10755563652825,1.29325048194239,0,5.36705440698603,25.6330511446335,10,1178.9245211279,13327.400373636,-12119.5897111975,1.29325048194239,0.982312141850576,0.978346238450682,0.003965903399894,-0.801581331486261,0.298972632887312,1.29325048194239,1,0.00126841712762271,0.00128313775625914,1.00571513372588,3.01714540117764,60.3429080235528,6.63757626352144e-10,1
70.83,8998.11899681054,1.30015148125293,9000,8998.15569347171,1.10994927282341,1.30015148125293,0,10.1786241960363,25.4521386665392,10,1178.9245211279,13360.9208256984,-12127.2126140449,1.30015148125293,0.982312141850576,0.977248748370193,0.00506339348038276,-1.56167181129233,0.302561332857758,1.30015148125293,1,0.00126841712762271,0.00128375431703549,1.0057817682803,3.01734530484089,60.3469060968179,5.42256762744354e-10,1
70.845,8998.27167617348,1.30328524331308,9000,8998.14618307326,1.11157400918061,1.30328524331308,0,12.2834905172482,25.3730430939363,10,1178.9245211279,13376.6235109782,-12131.5851648408,1.30328524331308,0.982312141850576,0.977729183904336,0.00458295794623997,-1.19667184754388,0.30714479162424,1.30328524331308,1,0.00126841712762271,0.00128371618941985,1.00577763680713,3.01733291042139,60.3466582084278,2.39839540460118e-10,1
70.86,8998.45592853124,1.30185187372275,9000,8998.17870617885,1.1121384821748,1.30185187372275,0,11.1463743959186,25.4152412342146,9,1178.9245211279,13370.517744784,-12131.5985690942,1.30185187372275,0.982312141850576,0.979579116512878,0.00273302533769759,0.127304828136896,0.311293932047557,1.30185187372275,1,0.00126841712762271,0.00128298486492199,1.00569866792868,3.01709600378605,60.341920075721,6.75640567303399e-10,1
70.875,8998.62312414718,1.29646009671081,9000,8998.25055181675,1.11168000892358,1.29646009671081,0,7.22877290606443,25.5618085354816,10,1178.9245211279,13345.3048752668,-12127.4714553254,1.29646009671081,0.982312141850576,0.982186099170855,0.000126042679720939,1.96181799791058,0.31376772259155,1.29646009671081,1,0.00126841712762271,0.00128173438335737,1.00556485979212,3.01669457937635,60.333891587527,4.31874873714145e-10,1
70.89,8998.73155574077,1.28888916766898,9000,8998.34710859334,1.11054013834002,1.28888916766898,0,1.82534868745025,25.7655297269547,10,1178.9245211279,13309.3951659175,-12120.6460832139,1.28888916766898,0.982312141850576,0.984733588988012,-0.00242144713743642,3.72271151005912,0.313880685396999,1.28888916766898,1,0.00126841712762271,0.00128029255265809,1.00541248876596,3.01623746629788,60.3247493259576,5.69532108394895e-10,1
70.905,8998.75893597108,1.28150705594741,9000,8998.44674287718,1.10924970014791,1.28150705594741,0,-3.40907004751938,25.9633540199605,10,1178.9245211279,13273.9117322788,-12113.3378121075,1.28150705594741,0.982312141850576,0.986454611920056,-0.0041424700694801,4.87147439711312,0.311687956285701,1.28150705594741,1,0.00126841712762271,0.00127903462382263,1.00528122749006,3.01584368247019,60.3168736494038,5.258713390402e-10,1
70.92,8998.70779992037,1.27652630737062,9000,8998.52765161988,1.10836005145887,1.27652630737062,0,-6.89566586247501,26.0957630001755,10,1178.9245211279,13249.6449238768,-12107.8380166117,1.27652630737062,0.982312141850576,0.986863398332728,-0.0045512564821526,5.0770392207311,0.307938957012616,1.27652630737062,1,0.00126841712762271,0.00127826455193819,1.0052016438681,3.0156049316043,60.312098632086,3.39735343306524e-10,1
70.935,8998.60436493243,1.27535371782122,9000,8998.57433930381,1.10827872863027,1.27535371782122,0,-7.65419466172107,26.1248346848041,9,1178.9245211279,13243.5428941513,-12105.8184066657,1.27535371782122,0.982312141850576,0.985886861961031,-0.0035747201104559,4.30405809418396,0.303821368095378,1.27535371782122,1,0.00126841712762271,0.00127812728764945,1.00518751973527,3.01556255920581,60.3112511841163,3.82803167471583e-10,1
70.95,8998.48955201251,1.27818831402633,9000,8998.58212082079,1.10915037079892,1.27818831402633,0,-5.57073713202477,26.0459386752228,10,1178.9245211279,13256.7530215883,-12107.8137624082,1.27818831402633,0.982312141850576,0.983874456738662,-0.00156231488808611,2.81466241878086,0.300587644594493,1.27818831402633,1,0.00126841712762271,0.00127857064988954,1.00523320760867,3.01569962282601,60.3139924565202,2.06676607174307e-10,1
70.965,8998.40599095553,1.28400835102774,9000,8998.55813045701,1.11082298997449,1.28400835102774,0,-1.39934823596357,25.8880441951279,10,1178.9245211279,13284.4905013852,-12113.0985996927,1.28400835102774,0.982312141850576,0.98147584957226,0.000836292278315831,1.07788087985861,0.299173994944077,1.28400835102774,1,0.00126841712762271,0.00127937012449077,1.00531608325731,3.01594824977194,60.3189649954388,4.27814941757888e-10,1
70.98,8998.38500073199,1.29093005064689,9000,8998.51870160346,1.1129056459628,1.29093005064689,0,3.50423029860468,25.7029651177351,10,1178.9245211279,13317.7627245799,-12119.9775160711,1.29093005064689,0.982312141850576,0.979431704633865,0.00288043721671039,-0.380501865247764,0.299929905443014,1.29093005064689,1,0.00126841712762271,0.00128020509248998,1.00540331202752,3.01620993608255,60.324198721651,5.23467863156576e-10,1
70.995,8998.43756418646,1.2968132162681,9000,8998.48405135136,1.11489652608611,1.2968132162681,0,7.6052454616242,25.5480418611505,10,1178.9245211279,13346.2185585006,-12126.3595826042,1.2968132162681,0.982312141850576,0.978345319838159,0.00396682201241694,-1.13970683638642,0.302535612093747,1.2968132162681,1,0.00126841712762271,0.001280759956447,1.00546165892391,3.01638497677173,60.3276995354346,4.53930762928542e-10,1
71.01,8998.55164286839,1.29991839631983,9000,8998.47200362148,1.11633942686838,1.29991839631983,0,9.71723130125165,25.4685879627923,10,1178.9245211279,13361.6312480294,-12130.4038745813,1.29991839631983,0.982312141850576,0.978505928861589,0.00380621298898642,-1.00729462765198,0.306125181234538,1.29991839631983,1,0.00126841712762271,0.0012808177188375,1.00546775039798,3.01640325119395,60.328065023879,2.36032552947793e-10,1
71.025,8998.69740133791,1.29942155562092,9000,8998.49264312781,1.11696130582473,1.29942155562092,0,9.26677440018453,25.4851881066189,9,1178.9245211279,13359.8597149289,-12131.0561423,1.29942155562092,0.982312141850576,0.979812505715251,0.00249963613532422,-0.0695542124808526,0.309569895011175,1.29942155562092,1,0.00126841712762271,0.00128032125467914,1.0054155019638,3.01624650589139,60.3249301178279,2.67719413339412e-10,1
71.04,8998.83640295391,1.29561172808368,9000,8998.54570877744,1.11674427770473,1.29561172808368,0,6.48386134223926,25.5893636081419,10,1178.9245211279,13342.1256275662,-12128.3009392869,1.29561172808368,0.982312141850576,0.981825498735927,0.000486643114648633,1.34979364760532,0.311831893849754,1.29561172808368,1,0.00126841712762271,0.00127938285083537,1.00531740760836,3.01595222282508,60.3190444565015,3.05146418570001e-10,1
