s,up,down
-0.0899999999999999,1,0.997929819202528
-0.0800000000000001,1,0.998363945954034
-0.0699999999999998,1,0.998747155803661
-0.0600000000000001,1,0.999079389984462
-0.0499999999999998,1,0.999360597534659
-0.04,1,0.999590735310674
-0.0299999999999998,1,0.999769767998157
-0.02,1,0.99989766812102
-0.00999999999999979,1,0.999974416048464
0,1,1
0.00999999999999979,1,0.999974416048464
0.02,1,0.99989766812102
0.0299999999999998,1,0.999769767998157
0.04,1,0.999590735310674
0.0499999999999998,1,0.999360597534659
0.0600000000000001,1,0.999079389984462
0.0699999999999998,1,0.998747155803661
0.0800000000000001,1,0.998363945954034
0.0899999999999999,1,0.997929819202528
0.1,1,0.997444842106237
0.11,1,0.996909088995402
0.12,1,0.996322641954418
0.13,1,0.995685590800877
0.14,1,0.994998033062641
0.15,1,0.994260073952957
0.16,1,0.993471826343624
0.17,1,0.992633410736224
0.18,1,0.991744955231413
0.19,1,0.990806595496309
0.2,1,0.98981847472996
0.21,1,0.988780743626928
0.22,1,0.987693560338983
0.23,1,0.986557090434937
0.24,1,0.985371506858619
0.25,1,0.984136989885013
0.26,1,0.982853727074579
0.27,1,0.981521913225757
0.28,1,0.980141750325688
0.29,1,0.978713447499162
0.3,1,0.977237220955811
0.31,1,0.975713293935564
0.32,1,0.974141896652391
0.33,1,0.972523266236347
0.34,1,0.970857646673937
0.35,1,0.969145288746833
0.36,1,0.967386449968951
0.37,1,0.965581394521922
0.38,1,0.963730393188967
0.39,1,0.961833723287218
0.4,1,0.95989166859848
0.41,1,0.957904519298493
0.42,1,0.955872571884691
0.43,1,0.953796129102493
0.44,1,0.951675499870153
0.45,1,0.949510999202198
0.46,1,0.947302948131472
0.47,1,0.945051673629816
0.48,1,0.942757508527416
0.49,1,0.940420791430843
0.5,1,0.938041866639814
0.51,1,0.935621084062703
0.52,1,0.933158799130824
0.53,1,0.930655372711536
0.54,1,0.928111171020168
0.55,1,0.925526565530829
0.56,1,0.922901932886101
0.57,1,0.920237654805671
0.58,1,0.917534117993916
0.59,1,0.914791714046489
0.6,1,0.91201083935591
0.61,1,0.909191895016232
0.62,1,0.906335286726777
0.63,1,0.903441424695002
0.64,1,0.900510723538505
0.65,1,0.897543602186229
0.66,1,0.894540483778869
0.67,1,0.891501795568536
0.68,1,0.888427968817706
0.69,1,0.885319438697478
0.7,1,0.88217664418519
0.71,1,0.879000027961415
0.72,1,0.875790036306368
0.73,1,0.872547118995781
0.74,1,0.86927172919624
0.75,1,0.865964323360065
0.76,1,0.862625361119723
0.77,1,0.859255305181839
0.78,1,0.855854621220824
0.79,1,0.852423777772162
0.8,1,0.848963246125382
0.81,1,0.84547350021675
0.82,1,0.841955016521732
0.83,1,0.838408273947228
0.84,1,0.83483375372365
0.85,1,0.831231939296847
0.86,1,0.827603316219922
0.87,1,0.823948372044987
0.88,1,0.820267596214863
0.89,1,0.816561479954778
0.9,1,0.812830516164099
0.91,1,0.80907519930811
0.92,1,0.805296025309889
0.93,1,0.801493491442312
0.94,1,0.797668096220208
0.95,1,0.793820339292709
0.96,1,0.789950721335816
0.97,1,0.786059743945226
0.98,1,0.782147909529435
0.99,1,0.778215721203163
1,1,0.774263682681127
1.01,1.00007475,0.770292298172191
1.02,1.000298,0.766302072273919
1.03,1.00066825,0.762293509867581
1.04,1.001184,0.758267116013609
1.05,1.00184375,0.754223395847571
1.06,1.002646,0.750162854476655
1.07,1.00358925,0.746085996876723
1.08,1.004672,0.741993327789943
1.09,1.00589275,0.737885351623039
1.1,1.00725,0.733762572346173
1.11,1.00874225,0.729625493392509
1.12,1.010368,0.725474617558459
1.13,1.01212575,0.721310446904667
1.14,1.014014,0.717133482657721
1.15,1.01603125,0.71294422511266
1.16,1.018176,0.708743173536267
1.17,1.02044675,0.704530826071194
1.18,1.022842,0.700307679640927
1.19,1.02536025,0.696074229855642
1.2,1.028,0.691830970918937
1.21,1.03075975,0.687578395535496
1.22,1.033638,0.6833169948197
1.23,1.03663325,0.679047258205188
1.24,1.039744,0.674769673355418
1.25,1.04296875,0.670484726075234
1.26,1.046306,0.666192900223455
1.27,1.04975425,0.66189467762652
1.28,1.053312,0.657590537993198
1.29,1.05697775,0.65328095883039
1.3,1.06075,0.648966415360034
1.31,1.06462725,0.644647380437137
1.32,1.068608,0.640324324468947
1.33,1.07269075,0.635997715335292
1.34,1.076874,0.631668018310087
1.35,1.08115625,0.627335695984038
1.36,1.085536,0.623001208188558
1.37,1.09001175,0.618665011920898
1.38,1.094582,0.614327561270521
1.39,1.09924525,0.609989307346731
1.4,1.104,0.605650698207558
1.41,1.10884475,0.601312178789934
1.42,1.113778,0.596974190841143
1.43,1.11879825,0.592637172851593
1.44,1.123904,0.588301559988882
1.45,1.12909375,0.583967784033206
1.46,1.134366,0.579636273314084
