case_index,rpm,fraction,shape,method,accepted,rmse_rpm,peak_rpm,iae_rpm_s,minimum_margin_percent,ringing_excess_TV_lbm_s,max_2s_fuel_range_lbm_s
4,9000,0.3,ramps,VirtualFuelFF,1,1.67072252224791,12.1327028180331,63.4434004745397,7.03655171806478,3.32851614752812,0.183820405653324
4,9000,0.3,ramps,VirtualFuelUQ,1,2.28403550546029,16.8250634897922,86.598106397638,6.98837099773518,1.24272309546215,0.22688419915666
4,9000,0.3,ramps,VirtualFuelUQUp,1,1.65939184759285,11.9647996125314,63.0319713376173,7.04932727212764,3.41888476700177,0.184654632728371
5,9500,0.05,ramps,VirtualFuel,1,0.522166798606537,3.30107531684371,19.5192550427741,22.3164018480251,0.550785172807778,0.0407504098340259
5,9500,0.05,ramps,VirtualFuelFF,1,0.354654765075788,2.65326657835249,13.0133775603046,22.1877608471801,0.886507419455966,0.0416725462917573
5,9500,0.05,ramps,VirtualFuelUQ,1,0.460145759403081,3.47640618465084,16.9061363332841,22.0579567457454,0.442028921116312,0.0491887596745901
5,9500,0.05,ramps,VirtualFuelUQUp,1,0.3546203751911,2.65299039504134,13.0121345453494,22.1879144620416,0.886795874677723,0.0416652484305668
6,9500,0.1,ramps,VirtualFuel,1,1.09108393224036,6.86942670238204,40.7641900226612,17.5398227545051,0.979564859548948,0.0793793742943323
6,9500,0.1,ramps,VirtualFuelFF,1,0.741367148039899,5.57980577109083,27.1766935472046,17.1434966705189,1.96136313917358,0.0980666272748214
6,9500,0.1,ramps,VirtualFuelUQ,1,0.961601178610634,7.30883665086549,35.310346220879,16.9837183763818,0.892014879581823,0.110325728979034
6,9500,0.1,ramps,VirtualFuelUQUp,1,0.741292381635946,5.57895609669504,27.1740117106675,17.1437270473849,1.96207884912815,0.0980543316356073
7,9500,0.2,ramps,VirtualFuel,1,2.28365702960949,14.4253235792639,85.2248481536614,8.93871685702351,1.62873327957481,0.169015131053498
7,9500,0.2,ramps,VirtualFuelFF,1,1.55167591786257,11.7167482232617,56.8112571689857,8.22845479516774,4.12810582613554,0.220851928436091
7,9500,0.2,ramps,VirtualFuelUQ,1,2.01207608558006,15.16957732224,73.8157625148764,8.07019541329944,1.7400116026288,0.238659050715892
7,9500,0.2,ramps,VirtualFuelUQUp,1,1.55152511154114,11.7148692364062,56.8057507973628,8.22877192788347,4.13007745558128,0.220842191879682
8,9500,0.3,ramps,VirtualFuel,1,3.68136577756138,23.319846796112,137.317970481938,0.356432862439272,1.95762627570065,0.319959660914195
8,9500,0.3,ramps,VirtualFuelFF,0,NaN,NaN,NaN,NaN,NaN,NaN
8,9500,0.3,ramps,VirtualFuelUQ,0,NaN,NaN,NaN,NaN,NaN,NaN
8,9500,0.3,ramps,VirtualFuelUQUp,0,NaN,NaN,NaN,NaN,NaN,NaN
9,9500,0.2,steps,VirtualFuel,1,3.09508549804032,26.0187914266698,84.9444243379509,0.672833932950578,61.8434887015912,2.03227866414412
9,9500,0.2,steps,VirtualFuelFF,0,NaN,NaN,NaN,NaN,NaN,NaN
9,9500,0.2,steps,VirtualFuelUQ,1,3.75782136330873,31.3687092159871,105.120770530081,4.95781237369397,13.3351951660465,1.53509567809074
9,9500,0.2,steps,VirtualFuelUQUp,0,NaN,NaN,NaN,NaN,NaN,NaN
10,9500,0.3,steps,VirtualFuel,0,NaN,NaN,NaN,NaN,NaN,NaN
10,9500,0.3,steps,VirtualFuelFF,0,NaN,NaN,NaN,NaN,NaN,NaN
10,9500,0.3,steps,VirtualFuelUQ,0,NaN,NaN,NaN,NaN,NaN,NaN
10,9500,0.3,steps,VirtualFuelUQUp,0,NaN,NaN,NaN,NaN,NaN,NaN
