time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,altitude_m,isa_delta_C
101.715,9975.67515800318,1.34045174374146,9975,9975.67528010831,1.34045174374146,1.34045174374146,0,-0.00209613486748818,12.138094282576,8,0,12438.9987743808,-12439.0112820772,250.816599496354,40.7405934235415,6.85182591093393e-10,1,1.06923575441468,1,6952.5,7.80999999999999
101.73,9975.67512656116,1.33994608725318,9975,9975.67524846324,1.33994608725318,1.33994608725318,0,-0.0020930845753351,12.1382206776126,8,0,12434.4529679968,-12434.465457492,250.81038667859,40.7262062728407,6.97661324282594e-10,1,1.06924899396849,1,6955,7.81999999999999
101.745,9975.67509516489,1.33944045316239,9975,9975.67521687079,1.33944045316239,1.33944045316239,0,-0.0020901375187149,12.1383470843646,8,0,12429.9072663413,-12429.9197382513,250.804173860827,40.7118191221399,7.10345323199812e-10,1,1.0692622340192,1,6957.5,7.82999999999999
101.76,9975.67506381283,1.33893484147485,9975,9975.67518532919,1.33893484147485,1.33893484147485,0,-0.00208729015008042,12.1384735027096,8,0,12425.3616694428,-12425.3741243624,250.797961043061,40.6974319714392,7.23237614191492e-10,1,1.06927547456666,1,6960,7.83999999999999
101.775,9975.67503250347,1.33842925219611,9975,9975.6751538367,1.33842925219611,1.33842925219611,0,-0.00208453909008467,12.1385999325291,8,0,12420.816177329,-12420.8286158329,250.791748225296,40.6830448207384,7.36340697279543e-10,1,1.06928871561074,1,6962.5,7.84999999999999
101.79,9975.67500123539,1.33792368533152,9975,9975.67512239168,1.33792368533152,1.33792368533152,0,-0.00208188109428822,12.1387263737099,8,0,12416.2707900263,-12416.2832126699,250.785535407529,40.6686576700376,7.49658125133933e-10,1,1.06930195715133,1,6965,7.86
101.805,9975.67497000717,1.33741814088625,9975,9975.67509099251,1.33741814088625,1.33741814088625,0,-0.00207931300307545,12.138852826142,8,0,12411.7255075606,-12411.7379148802,250.779322589762,40.6542705193368,7.63192924100058e-10,1,1.0693151991883,1,6967.5,7.86999999999999
101.82,9975.67493881748,1.33691261886532,9975,9975.67505963765,1.33691261886532,1.33691261886532,0,-0.00207683182445194,12.1389792897194,8,0,12407.1803299565,-12407.1927224708,250.773109771994,40.639883368636,7.76947725779862e-10,1,1.06932844172155,1,6970,7.87999999999999
101.835,9975.674907665,1.33640711927352,9975,9975.67502832559,1.33640711927352,1.33640711927352,0,-0.0020744346086904,12.1391057643412,8,0,12402.6352572383,-12402.6476354483,250.766896954225,40.6254962179352,7.90926740747365e-10,1,1.06934168475095,1,6972.5,7.89
101.85,9975.67487654848,1.33590164211552,9975,9975.67499705489,1.33590164211552,1.33590164211552,0,-0.00207211849870395,12.139232249909,8,0,12398.0902894295,-12398.1026538192,250.760684136455,40.6111090672344,8.05132863765823e-10,1,1.06935492827641,1,6975,7.9
