time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,VR_integrator_error,VR_proportional_term,VR_speed_slope,VR_accel_slope,VR_fallback,altitude_m,isa_delta_C
132.405,9974.73796203391,1.17218224446097,9975,9974.73815763768,1.02499819646714,1.17218224446097,0,-0.00338247097284833,12.1032339629168,12,0,10842.235444314,-10842.2556257184,1.17218224446097,1.34471162678877,1.3444742062189,0.000237420569871416,-0.00337757551189618,-0.179082196536886,1.17218224446097,1,252.517314496451,35.3917877493679,4.92852215053804e-10,1,1.06552888293997,1,0.261842362322568,0.00655281420908799,0.000904481509159708,5.34347664964442e-05,1,7932.5,15.865
132.42,9974.73791129685,1.17263219174223,9975,9974.73810694452,1.02519586553783,1.17263219174223,0,-0.00338320533132115,12.1030093221627,12,0,10846.1687541374,-10846.1889399233,1.17263219174223,1.34476754164839,1.34453047714119,0.00023706450719807,-0.0033783500786012,-0.178689432993402,1.17263219174223,1,252.528518200929,35.4038472408644,4.96369561570597e-10,1,1.06550524057969,1,0.261893055483597,0.00655408308724713,0.000902949904399837,5.34525993734332e-05,1,7930,15.86
132.435,9974.73786054877,1.17308217292339,9975,9974.73805623998,1.02539357291732,1.17308217292339,0,-0.00338393345017559,12.1027847016384,12,0,10850.1022195111,-10850.1224096412,1.17308217292339,1.34482341409634,1.34458670551815,0.000236708578190248,-0.00337911833086157,-0.178296593410177,1.17308217292339,1,252.539721905405,35.4159067323609,4.99908619493242e-10,1,1.06548159979145,1,0.261943760022405,0.00655535223722184,0.000901419365183201,5.34704351379468e-05,1,7927.5,15.855
132.45,9974.73780978977,1.17353218800499,9975,9974.73800552416,1.02559131861174,1.17353218800499,0,-0.00338465537544231,12.1025601013116,12,0,10854.0358404296,-10854.0560348669,1.17353218800499,1.34487924411848,1.34464289133542,0.000236352783059113,-0.0033798802720669,-0.177903677770143,1.17353218800499,1,252.550925609879,35.4279662238574,5.03468862496525e-10,1,1.06545796057508,1,0.261994475844403,0.00655662165665422,0.000899889892073707,5.3488273764218e-05,1,7925,15.85
132.465,9974.73775901994,1.17398223698769,9975,9974.73795479714,1.02578910262719,1.17398223698769,0,-0.00338537102142898,12.102335521147,12,0,10857.9696168882,-10857.9898155953,1.17398223698769,1.34493503170074,1.34469903457876,0.000235997121977638,-0.00338063595198755,-0.177510686056377,1.17398223698769,1,252.562129314352,35.440025715354,5.07050948494295e-10,1,1.06543432293041,1,0.262045202856825,0.00655789134332461,0.000898361485634744,5.3506115226439e-05,1,7922.5,15.845
132.48,9974.73770823937,1.17443231987209,9975,9974.73790405903,1.02598692496971,1.17443231987209,0,-0.00338608035976449,12.1021109611106,12,0,10861.903548882,-10861.9237518212,1.17443231987209,1.3449907768292,1.34475513523409,0.000235641595113911,-0.00338138540081077,-0.177117618252091,1.17443231987209,1,252.573333018822,35.4520852068505,5.10654877489851e-10,1,1.06541068685729,1,0.262095940966901,0.00655916129497415,0.000896834146424406,5.35239594987535e-05,1,7920,15.84
132.495,9974.73765744817,1.17488243665866,9975,9974.73785330992,1.02618478564523,1.17488243665866,0,-0.00338678346600863,12.1018864211725,12,0,10865.8376364051,-10865.8578435393,1.17488243665866,1.34504647949012,1.34481119328746,0.000235286202659335,-0.00338212858913161,-0.176724474340641,1.17488243665866,1,252.584536723291,35.4641446983469,5.14280254740058e-10,1,1.06538705235554,1,0.262146690080044,0.00656043150917937,0.000895307874997687,5.35418065552504e-05,1,7917.5,15.835
132.51,9974.73760664641,1.17533258734791,9975,9974.7378025499,1.02638268465959,1.17533258734791,0,-0.0033874803610055,12.1016619013015,12,0,10869.7718794524,-10869.7920907444,1.17533258734791,1.34510213966989,1.3448672087251,0.000234930944791989,-0.00338286549911507,-0.176331254305521,1.17533258734791,1,252.595740427758,35.4762041898435,5.17928001323207e-10,1,1.065363419425,1,0.262197450101667,0.0065617019835399,0.000893782671905691,5.35596563699859e-05,1,7915,15.83
132.525,9974.73755583421,1.17578277194043,9975,9974.73775177906,1.02658062201862,1.17578277194043,0,-0.00338817103925455,12.1014374014643,12,0,10873.7062780184,-10873.7264934312,1.17578277194043,1.34515775735499,1.34492318153334,0.000234575821643324,-0.00338359616765811,-0.175937958130369,1.17578277194043,1,252.606944132223,35.48826368134,5.21597196167575e-10,1,1.06533978806551,1,0.262248220939,0.00656297271581032,0.000892258537696972,5.35775089169583e-05,1,7912.5,15.825
132.54,9974.73750501164,1.17623299043655,9975,9974.7377009975,1.02677859772799,1.17623299043655,0,-0.00338885560613423,12.1012129216343,12,0,10877.6408320972,-10877.6610515944,1.17623299043655,1.34521333253208,1.34497911169868,0.000234220833393639,-0.003384320521711,-0.17554458579896,1.17623299043655,1,252.618147836686,35.5003231728364,5.25289023515871e-10,1,1.06531615827691,1,0.262299002495638,0.00656424370343437,0.00089073547291647,5.35953641701249e-05,1,7910,15.82
132.555,9974.73745417881,1.1766832428371,9975,9974.73765020532,1.02697661179341,1.1766832428371,0,-0.00338953396292463,12.1009884617724,12,0,10881.5755416846,-10881.5957652291,1.1766832428371,1.34526886518798,1.34503499920773,0.000233865980247216,-0.00338503866011013,-0.175151137295217,1.1766832428371,1,252.629351541147,35.512382664333,5.29002825460661e-10,1,1.06529253005902,1,0.262349794680631,0.006565514944336,0.000889213478105907,5.36132221033926e-05,1,7907.5,15.815
132.57,9974.7374033358,1.17713352914264,9975,9974.7375994026,1.02717466422052,1.17713352914264,0,-0.00339020606301607,12.1007640218457,12,0,10885.5104067755,-10885.53063433,1.17713352914264,1.34532435530962,1.34509084404724,0.000233511262373254,-0.00338575059508839,-0.174757612603196,1.17713352914264,1,252.640555245607,35.5244421558294,5.32738733587437e-10,1,1.06526890341168,1,0.262400597401211,0.00656678643622044,0.000887692553801677,5.36310826906274e-05,1,7905,15.81
132.585,9974.73735248271,1.1775838493536,9975,9974.73754858944,1.02737275501481,1.1775838493536,0,-0.00339087199036388,12.1005396018258,12,0,10889.4454273641,-10889.4656588917,1.1775838493536,1.34537980288405,1.34514664620411,0.000233156679937396,-0.00338645628635095,-0.174364011707094,1.1775838493536,1,252.651758950065,35.536501647326,5.3649727422827e-10,1,1.06524527833474,1,0.26245141056279,0.00656805817664244,0.000886172700540016,5.36489459056429e-05,1,7902.5,15.805
132.6,9974.73730161963,1.17803420347059,9975,9974.73749776593,1.02757088418174,1.17803420347059,0,-0.00339153175567961,12.1003152016787,12,0,10893.3806034453,-10893.4008389093,1.17803420347059,1.34543520789851,1.34520240566543,0.000232802233085749,-0.0033871557571722,-0.17397033459125,1.17803420347059,1,252.662962654521,35.5485611388224,5.40278447386574e-10,1,1.06522165482802,1,0.262502234072599,0.00656933016332932,0.00088465391885022,5.36668117222092e-05,1,7900,15.8
132.615,9974.73725074665,1.17848459149419,9975,9974.73744693216,1.02776905172674,1.17848459149419,0,-0.00339218533522416,12.1000908213721,12,0,10897.3159350139,-10897.3361743773,1.17848459149419,1.34549057034034,1.34525812241832,0.000232447922022372,-0.00338784902166878,-0.173576581240141,1.17848459149419,1,252.674166358975,35.560620630319,5.44082253065766e-10,1,1.06519803289137,1,0.262553067837871,0.00657060239399011,0.000883136209261396,5.36846801140496e-05,1,7897.5,15.795
132.63,9974.73719986387,1.17893501342484,9975,9974.73739608824,1.02796725765509,1.17893501342484,0,-0.00339283282858593,12.0998664608766,12,0,10901.2514220641,-10901.2716652906,1.17893501342484,1.34554589019704,1.34531379645012,0.000232093746920237,-0.00338853604068841,-0.173182751638384,1.17893501342484,1,252.685370063427,35.5726801218155,5.47908559687054e-10,1,1.06517441252461,1,0.262603911764018,0.00657187486618182,0.000881619572296486,5.37025510548415e-05,1,7895,15.79
132.645,9974.73714897138,1.17938546926327,9975,9974.73734523424,1.02816550197209,1.17938546926327,0,-0.00339347411793794,12.0996421201555,12,0,10905.1870645916,-10905.2073116442,1.17938546926327,1.34560116745623,1.34536942774829,0.000231739707946987,-0.00338921688591292,-0.172788845770738,1.17938546926327,1,252.696573767878,35.5847396133119,5.51758025164886e-10,1,1.06515079372758,1,0.26265476576009,0.00657314757777406,0.000880104008477209,5.37204245182137e-05,1,7892.5,15.785
