scenario,rpm,fraction,shape,method,edge,start_s,ramp_s,valid,peak_rpm,recovery_from_start_s,recovery_after_ramp_s
9000rpm_20pct_ramps,9000,0.2,ramps,UDE,remove,15.0,0.3,True,20.231982944649644,1.3799999999999955,1.0799999999999954
9000rpm_20pct_ramps,9000,0.2,ramps,UDE,apply,30.0,1.5,True,6.840201144359526,2.25,0.75
9000rpm_20pct_ramps,9000,0.2,ramps,UDE,remove,40.005,1.5,True,6.196387814359696,2.1600000000000037,0.6600000000000037
9000rpm_20pct_ramps,9000,0.2,ramps,UDE,apply,60.0,3.0,False,,,
9000rpm_20pct_ramps,9000,0.2,ramps,UDE,remove,75.0,3.0,False,,,
9000rpm_20pct_ramps,9000,0.2,ramps,GPIO,apply,10.005,0.3,True,20.916027889010365,1.4699999999999935,1.1699999999999935
9000rpm_20pct_ramps,9000,0.2,ramps,GPIO,remove,15.0,0.3,True,21.457326643350825,1.2750000000000057,0.9750000000000056
9000rpm_20pct_ramps,9000,0.2,ramps,GPIO,apply,30.0,1.5,True,6.412337392630434,2.355000000000004,0.855000000000004
9000rpm_20pct_ramps,9000,0.2,ramps,GPIO,remove,40.005,1.5,True,5.951951052429649,2.115000000000002,0.615000000000002
9000rpm_20pct_ramps,9000,0.2,ramps,GPIO,apply,60.0,3.0,True,3.852686889400502,3.614999999999995,0.6149999999999949
9000rpm_20pct_ramps,9000,0.2,ramps,GPIO,remove,75.0,3.0,True,3.251738781629683,3.405000000000001,0.40500000000000114
9000rpm_20pct_ramps,9000,0.2,ramps,GPR_FF,apply,10.005,0.3,True,22.55349592150924,1.695000000000002,1.395000000000002
9000rpm_20pct_ramps,9000,0.2,ramps,GPR_FF,remove,15.0,0.3,True,23.70728278623028,1.6500000000000057,1.3500000000000056
9000rpm_20pct_ramps,9000,0.2,ramps,GPR_FF,apply,30.0,1.5,True,8.78636964864927,2.489999999999995,0.9899999999999949
9000rpm_20pct_ramps,9000,0.2,ramps,GPR_FF,remove,40.005,1.5,True,8.049573334379602,2.414999999999999,0.9149999999999991
9000rpm_20pct_ramps,9000,0.2,ramps,GPR_FF,apply,60.0,3.0,True,4.649167818970454,3.7049999999999983,0.7049999999999983
9000rpm_20pct_ramps,9000,0.2,ramps,GPR_FF,remove,75.0,3.0,True,4.421794929259704,3.615000000000009,0.6150000000000091
9000rpm_30pct_ramps,9000,0.3,ramps,PI,apply,10.005,0.3,True,35.35945572033961,1.8749999999999947,1.5749999999999946
9000rpm_30pct_ramps,9000,0.3,ramps,PI,remove,15.0,0.3,True,35.25749449907926,1.9500000000000028,1.6500000000000028
9000rpm_30pct_ramps,9000,0.3,ramps,PI,apply,30.0,1.5,True,13.676738930189458,2.6850000000000023,1.1850000000000023
9000rpm_30pct_ramps,9000,0.3,ramps,PI,remove,40.005,1.5,True,12.37175530372042,2.6999999999999957,1.1999999999999957
9000rpm_30pct_ramps,9000,0.3,ramps,PI,apply,60.0,3.0,True,7.238739607140815,3.9000000000000057,0.9000000000000057
9000rpm_30pct_ramps,9000,0.3,ramps,PI,remove,75.0,3.0,True,6.90938552426087,3.8700000000000045,0.8700000000000045
9000rpm_30pct_ramps,9000,0.3,ramps,DOB,apply,10.005,0.3,True,34.332832143989435,1.6800000000000015,1.3800000000000014
9000rpm_30pct_ramps,9000,0.3,ramps,DOB,remove,15.0,0.3,True,35.25764789105051,1.4099999999999966,1.1099999999999965
9000rpm_30pct_ramps,9000,0.3,ramps,DOB,apply,30.0,1.5,True,11.032422653259346,2.5799999999999983,1.0799999999999983
9000rpm_30pct_ramps,9000,0.3,ramps,DOB,remove,40.005,1.5,True,12.371755306459818,2.1899999999999906,0.6899999999999906
9000rpm_30pct_ramps,9000,0.3,ramps,DOB,apply,60.0,3.0,True,6.730360639190621,3.8700000000000045,0.8700000000000045
9000rpm_30pct_ramps,9000,0.3,ramps,DOB,remove,75.0,3.0,True,6.900877247000608,3.4799999999999898,0.47999999999998977
9000rpm_30pct_ramps,9000,0.3,ramps,LESO,apply,10.005,0.3,True,34.34480200057078,1.695000000000002,1.395000000000002
9000rpm_30pct_ramps,9000,0.3,ramps,LESO,remove,15.0,0.3,True,35.2576445286395,1.4399999999999977,1.1399999999999977
9000rpm_30pct_ramps,9000,0.3,ramps,LESO,apply,30.0,1.5,True,11.114031575600166,2.5799999999999983,1.0799999999999983
9000rpm_30pct_ramps,9000,0.3,ramps,LESO,remove,40.005,1.5,True,12.371755305830447,2.204999999999991,0.7049999999999912
9000rpm_30pct_ramps,9000,0.3,ramps,LESO,apply,60.0,3.0,True,6.696504164719954,3.8700000000000045,0.8700000000000045
9000rpm_30pct_ramps,9000,0.3,ramps,LESO,remove,75.0,3.0,True,6.905747313230677,3.4799999999999898,0.47999999999998977
9000rpm_30pct_ramps,9000,0.3,ramps,UDE,apply,10.005,0.3,True,31.397060525619963,1.7850000000000055,1.4850000000000054
9000rpm_30pct_ramps,9000,0.3,ramps,UDE,remove,15.0,0.3,True,35.237071135719816,1.605000000000004,1.305000000000004
9000rpm_30pct_ramps,9000,0.3,ramps,UDE,apply,30.0,1.5,True,12.246308984109419,2.625,1.125
9000rpm_30pct_ramps,9000,0.3,ramps,UDE,remove,40.005,1.5,True,12.17211907483943,2.3399999999999963,0.8399999999999963
9000rpm_30pct_ramps,9000,0.3,ramps,UDE,apply,60.0,3.0,True,6.969001608260442,3.885000000000005,0.8850000000000051
9000rpm_30pct_ramps,9000,0.3,ramps,UDE,remove,75.0,3.0,True,6.811254841199116,3.555000000000007,0.5550000000000068
9000rpm_30pct_ramps,9000,0.3,ramps,GPIO,apply,10.005,0.3,True,32.854424684890546,1.770000000000005,1.4700000000000049
9000rpm_30pct_ramps,9000,0.3,ramps,GPIO,remove,15.0,0.3,True,35.25759086545986,2.010000000000005,1.710000000000005
9000rpm_30pct_ramps,9000,0.3,ramps,GPIO,apply,30.0,1.5,True,12.41368344994953,2.6400000000000006,1.1400000000000006
9000rpm_30pct_ramps,9000,0.3,ramps,GPIO,remove,40.005,1.5,True,11.806620381959874,2.5050000000000026,1.0050000000000026
9000rpm_30pct_ramps,9000,0.3,ramps,GPIO,apply,60.0,3.0,True,7.068136225450871,3.885000000000005,0.8850000000000051
9000rpm_30pct_ramps,9000,0.3,ramps,GPIO,remove,75.0,3.0,True,6.683159513719147,3.585000000000008,0.585000000000008
9000rpm_30pct_ramps,9000,0.3,ramps,GPR_FF,apply,10.005,0.3,True,35.359455720350525,1.8749999999999947,1.5749999999999946
9000rpm_30pct_ramps,9000,0.3,ramps,GPR_FF,remove,15.0,0.3,True,37.3103018931306,1.8599999999999994,1.5599999999999994
9000rpm_30pct_ramps,9000,0.3,ramps,GPR_FF,apply,30.0,1.5,True,13.676738928299528,2.6850000000000023,1.1850000000000023
9000rpm_30pct_ramps,9000,0.3,ramps,GPR_FF,remove,40.005,1.5,True,12.627947858429252,2.6099999999999923,1.1099999999999923
9000rpm_30pct_ramps,9000,0.3,ramps,GPR_FF,apply,60.0,3.0,True,7.238739614280348,3.9000000000000057,0.9000000000000057
9000rpm_30pct_ramps,9000,0.3,ramps,GPR_FF,remove,75.0,3.0,True,6.943401180820729,3.8100000000000023,0.8100000000000023
9500rpm_05pct_ramps,9500,0.05,ramps,PI,apply,10.005,0.3,True,8.90503726919087,1.3050000000000015,1.0050000000000014
9500rpm_05pct_ramps,9500,0.05,ramps,PI,remove,15.0,0.3,True,8.843365736289343,1.3050000000000068,1.0050000000000068
9500rpm_05pct_ramps,9500,0.05,ramps,PI,apply,30.0,1.5,True,3.3687955295208667,2.0849999999999937,0.5849999999999937
9500rpm_05pct_ramps,9500,0.05,ramps,PI,remove,40.005,1.5,True,3.341630762370187,2.085000000000001,0.5850000000000009
9500rpm_05pct_ramps,9500,0.05,ramps,PI,apply,60.0,3.0,True,1.7781800974407815,3.269999999999996,0.269999999999996
9500rpm_05pct_ramps,9500,0.05,ramps,PI,remove,75.0,3.0,True,1.7401504853205552,3.2549999999999955,0.25499999999999545
9500rpm_05pct_ramps,9500,0.05,ramps,DOB,apply,10.005,0.3,True,8.66691049541987,0.9750000000000032,0.6750000000000032
9500rpm_05pct_ramps,9500,0.05,ramps,DOB,remove,15.0,0.3,True,8.605593346290334,0.9899999999999949,0.6899999999999948
9500rpm_05pct_ramps,9500,0.05,ramps,DOB,apply,30.0,1.5,True,2.6953578976608696,1.7999999999999972,0.29999999999999716
9500rpm_05pct_ramps,9500,0.05,ramps,DOB,remove,40.005,1.5,True,2.6712785194995377,1.8000000000000043,0.30000000000000426
9500rpm_05pct_ramps,9500,0.05,ramps,DOB,apply,60.0,3.0,True,1.3471835861291765,3.1500000000000057,0.15000000000000568
9500rpm_05pct_ramps,9500,0.05,ramps,DOB,remove,75.0,3.0,True,1.3370726162102073,3.134999999999991,0.1349999999999909
9500rpm_05pct_ramps,9500,0.05,ramps,LESO,apply,10.005,0.3,True,8.669543846499437,0.9900000000000038,0.6900000000000037
9500rpm_05pct_ramps,9500,0.05,ramps,LESO,remove,15.0,0.3,True,8.60755328201958,1.0049999999999955,0.7049999999999954
9500rpm_05pct_ramps,9500,0.05,ramps,LESO,apply,30.0,1.5,True,2.717402027639764,1.8149999999999977,0.3149999999999977
9500rpm_05pct_ramps,9500,0.05,ramps,LESO,remove,40.005,1.5,True,2.6916866901101457,1.8149999999999906,0.3149999999999906
9500rpm_05pct_ramps,9500,0.05,ramps,LESO,apply,60.0,3.0,True,1.3499908104404312,3.1500000000000057,0.15000000000000568
9500rpm_05pct_ramps,9500,0.05,ramps,LESO,remove,75.0,3.0,True,1.3475333888691239,3.134999999999991,0.1349999999999909
9500rpm_05pct_ramps,9500,0.05,ramps,UDE,apply,10.005,0.3,True,7.904899325909355,1.0350000000000055,0.7350000000000054
9500rpm_05pct_ramps,9500,0.05,ramps,UDE,remove,15.0,0.3,True,7.84944615763925,1.0499999999999972,0.7499999999999971
9500rpm_05pct_ramps,9500,0.05,ramps,UDE,apply,30.0,1.5,True,2.6115755665196048,1.8449999999999989,0.34499999999999886
9500rpm_05pct_ramps,9500,0.05,ramps,UDE,remove,40.005,1.5,True,2.584825962969262,1.8449999999999918,0.34499999999999176
9500rpm_05pct_ramps,9500,0.05,ramps,UDE,apply,60.0,3.0,True,1.344528988480306,3.1500000000000057,0.15000000000000568
9500rpm_05pct_ramps,9500,0.05,ramps,UDE,remove,75.0,3.0,True,1.3090868997696816,3.134999999999991,0.1349999999999909
9500rpm_05pct_ramps,9500,0.05,ramps,GPIO,apply,10.005,0.3,True,8.2812345989405,0.9000000000000004,0.6000000000000003
9500rpm_05pct_ramps,9500,0.05,ramps,GPIO,remove,15.0,0.3,True,8.216906061079499,0.9000000000000057,0.6000000000000056
9500rpm_05pct_ramps,9500,0.05,ramps,GPIO,apply,30.0,1.5,True,2.439251774430886,1.769999999999996,0.269999999999996
9500rpm_05pct_ramps,9500,0.05,ramps,GPIO,remove,40.005,1.5,True,2.4131600836099096,1.7550000000000026,0.25500000000000256
9500rpm_05pct_ramps,9500,0.05,ramps,GPIO,apply,60.0,3.0,True,1.330479750469749,3.135000000000005,0.13500000000000512
9500rpm_05pct_ramps,9500,0.05,ramps,GPIO,remove,75.0,3.0,True,1.2928890461807896,3.134999999999991,0.1349999999999909
9500rpm_05pct_ramps,9500,0.05,ramps,GPR_FF,apply,10.005,0.3,True,9.513229933840194,1.2449999999999992,0.9449999999999992
9500rpm_05pct_ramps,9500,0.05,ramps,GPR_FF,remove,15.0,0.3,True,9.45049271336029,1.2600000000000051,0.9600000000000051
9500rpm_05pct_ramps,9500,0.05,ramps,GPR_FF,apply,30.0,1.5,True,3.4094719458898908,2.0400000000000063,0.5400000000000063
9500rpm_05pct_ramps,9500,0.05,ramps,GPR_FF,remove,40.005,1.5,True,3.382262443259606,2.039999999999999,0.5399999999999991
9500rpm_05pct_ramps,9500,0.05,ramps,GPR_FF,apply,60.0,3.0,True,1.7804268963591312,3.2549999999999955,0.25499999999999545
9500rpm_05pct_ramps,9500,0.05,ramps,GPR_FF,remove,75.0,3.0,True,1.7416215245593776,3.240000000000009,0.2400000000000091
9500rpm_10pct_ramps,9500,0.1,ramps,PI,apply,10.005,0.3,True,18.566508007059383,1.6500000000000004,1.3500000000000003
9500rpm_10pct_ramps,9500,0.1,ramps,PI,remove,15.0,0.3,True,18.64162142269015,1.6650000000000063,1.3650000000000062
9500rpm_10pct_ramps,9500,0.1,ramps,PI,apply,30.0,1.5,True,7.25538073612006,2.444999999999993,0.9449999999999932
9500rpm_10pct_ramps,9500,0.1,ramps,PI,remove,40.005,1.5,True,6.796186966339519,2.4299999999999997,0.9299999999999997
9500rpm_10pct_ramps,9500,0.1,ramps,PI,apply,60.0,3.0,True,3.830737102729472,3.644999999999996,0.644999999999996
9500rpm_10pct_ramps,9500,0.1,ramps,PI,remove,75.0,3.0,True,3.6501237583306647,3.5999999999999943,0.5999999999999943
9500rpm_10pct_ramps,9500,0.1,ramps,DOB,apply,10.005,0.3,True,18.052643974859166,1.1549999999999958,0.8549999999999958
