scenario,rpm,fraction,shape,method,accepted,rmse_rpm,peak_rpm,iae_rpm_s,fuel_peak_lbm_s,fuel_limit_percent,compensation_clip_percent,ff_speed_guard_percent,minimum_margin_percent,first_failure_s,load_MW,shaft_balance_error,gp_replay_error,wall_seconds
9000rpm_10pct_ramps,9000,0.1,ramps,GPIO,True,0.9509283955774757,9.866430912716169,27.577399685891105,1.3442527510488378,0,0,0,24.160652072505222,,0.879123864010264,1.2859569637445334e-12,0,15.3272389
9000rpm_10pct_ramps,9000,0.1,ramps,GPR_FF,True,1.2077703657928072,11.057787900052062,36.773578443850916,1.3331257757644637,0,0,34.044325945675716,24.42891696168402,,0.879123864010264,1.2859569637445334e-12,2.6134649999676185e-12,16.4061849
9000rpm_20pct_ramps,9000,0.2,ramps,PI,True,2.5400576376988346,22.55349592150924,78.11044635302292,1.7351883576249003,0,0,0,14.444527147194055,,1.758247728020528,1.2859569637445334e-12,0,16.3204502
9000rpm_20pct_ramps,9000,0.2,ramps,DOB,True,2.2373913373802026,22.32858484359349,60.838430898215364,1.7461381699130083,0,26.97883686052325,0,14.237903277123548,,1.758247728020528,1.2859569637445334e-12,0,18.7548427
9000rpm_20pct_ramps,9000,0.2,ramps,LESO,True,2.239973186035577,22.335377289389726,61.313796867147744,1.7478645688966834,0,26.545575737377103,0,14.20308805790304,,1.758247728020528,1.2859569637445334e-12,0,18.9815694
9000rpm_20pct_ramps,9000,0.2,ramps,UDE,False,,,,,,,,,61.53,1.758247728020528,1.2859569637445334e-12,0,16.6551492
9000rpm_20pct_ramps,9000,0.2,ramps,GPIO,True,2.0718322447242845,21.457326643354463,60.11068742365274,1.762122185916571,0,28.97850358273621,0,13.94580274045184,,1.758247728020528,1.2859569637445334e-12,0,17.3664851
9000rpm_20pct_ramps,9000,0.2,ramps,GPR_FF,True,2.5714819616632902,23.70728278622846,78.11044635962001,1.7351883576248524,0,0,34.460923179470086,14.444527147195107,,1.758247728020528,1.2859569637445334e-12,2.3065993559612252e-12,16.8109147
9000rpm_30pct_ramps,9000,0.3,ramps,PI,True,3.9730193038884876,35.35945572034325,121.62438042263601,2.171232634365574,0,0,0,5.525671389286417,,2.6373715920307923,1.2859569637445334e-12,0,13.3777806
9000rpm_30pct_ramps,9000,0.3,ramps,DOB,True,3.6642493621182046,35.25764789104687,104.37019571571577,2.1905720096274446,0,31.97800366605566,0,5.230511802456434,,2.6373715920307923,1.2859569637445334e-12,0,16.6156887
9000rpm_30pct_ramps,9000,0.3,ramps,LESO,True,3.667670755661231,35.25764452864496,105.04246699807717,2.193515130992908,0,31.89468421929678,0,5.182086400089974,,2.6373715920307923,1.2859569637445334e-12,0,16.8324201
9000rpm_30pct_ramps,9000,0.3,ramps,UDE,True,3.529871968070227,35.237071135719816,103.63062431950499,2.175954171458019,0,32.04465922346276,0,5.5069978871840775,,2.6373715920307923,1.2859569637445334e-12,0,16.6024254
9000rpm_30pct_ramps,9000,0.3,ramps,GPIO,True,3.5008955635263974,35.25759086545986,103.62455765384595,2.2162415916317,0,32.2112981169805,0,4.8086335320037605,,2.6373715920307923,1.2859569637445334e-12,0,15.3228193
9000rpm_30pct_ramps,9000,0.3,ramps,GPR_FF,True,4.0215598109167265,37.31030189312696,121.62438042654219,2.1712326343656354,0,0,36.6272287952008,5.525671389285333,,2.6373715920307923,1.2859569637445334e-12,2.0046186932631826e-12,17.1055392
9500rpm_05pct_ramps,9500,0.05,ramps,PI,True,1.0165895372613412,8.905037269189052,31.53804609069687,2.1455859763928435,0,0,0,21.905074779786634,,0.7144100770298598,1.2859569637445334e-12,0,18.9594117
9500rpm_05pct_ramps,9500,0.05,ramps,DOB,True,0.8848288698109754,8.666910495418051,24.3172727989188,2.150227083224028,0,0,0,21.83893451282778,,0.7144100770298598,1.2859569637445334e-12,0,15.8656012
9500rpm_05pct_ramps,9500,0.05,ramps,LESO,True,0.8860156915407751,8.669543846503075,24.61859404901884,2.1509621357478172,0,0,0,21.827692917274383,,0.7144100770298598,1.2859569637445334e-12,0,17.7551932
9500rpm_05pct_ramps,9500,0.05,ramps,UDE,True,0.8273465909026567,7.904899325912993,23.659616268943836,2.1497472046968795,0,0,0,21.856121757576492,,0.7144100770298598,1.2859569637445334e-12,0,16.6736967
9500rpm_05pct_ramps,9500,0.05,ramps,GPIO,True,0.811334434039309,8.281234598944138,23.650875732013628,2.1571615704817786,0,0,0,21.738480070122304,,0.7144100770298598,1.2859569637445334e-12,0,17.4219605
9500rpm_05pct_ramps,9500,0.05,ramps,GPR_FF,True,1.0485594195203054,9.513229933838375,31.538284243646466,2.1484258514290104,0,0,0,21.846373703151155,,0.7144100770298598,1.2859569637445334e-12,5.4856119646728985e-12,16.8738363
9500rpm_10pct_ramps,9500,0.1,ramps,PI,True,2.125136008400143,18.64162142269015,65.86330997560775,2.4690956147317573,0,0,0,16.66870162740956,,1.4288201540597196,1.2859569637445334e-12,0,17.0105308
9500rpm_10pct_ramps,9500,0.1,ramps,DOB,True,1.8501436527803048,18.147371632843715,50.7992202169383,2.4791932556314746,0,0,0,16.543256135279023,,1.4288201540597196,1.2859569637445334e-12,0,14.7309069
9500rpm_10pct_ramps,9500,0.1,ramps,LESO,True,1.852614865834951,18.15533393834994,51.42860460735259,2.480688073155642,0,0,0,16.522329434037157,,1.4288201540597196,1.2859569637445334e-12,0,19.2383472
9500rpm_10pct_ramps,9500,0.1,ramps,UDE,True,1.730069580819683,16.57371941598103,49.41058905065995,2.4795010518042195,0,0,0,16.57646357868051,,1.4288201540597196,1.2859569637445334e-12,0,17.4365383
9500rpm_10pct_ramps,9500,0.1,ramps,GPIO,True,1.6979055965234913,17.393462277301296,49.39233688822838,2.494474737119767,0,2.132977837027162,0,16.355908398819167,,1.4288201540597196,1.2859569637445334e-12,0,18.3289657
9500rpm_10pct_ramps,9500,0.1,ramps,GPR_FF,True,2.1918264592035035,19.937676998268216,65.86379504724482,2.4750912855400946,0,0,0,16.57213953793778,,1.4288201540597196,1.2859569637445334e-12,5.4856119646728985e-12,20.8332495
9500rpm_20pct_ramps,9500,0.2,ramps,PI,True,4.452667420975159,39.270122046304095,137.687818345279,3.153191604681629,0,0,0,7.24485720889482,,2.8576403081194393,1.2859569637445334e-12,0,15.5854368
9500rpm_20pct_ramps,9500,0.2,ramps,DOB,True,4.147669035251634,39.27032287244765,120.43660953303659,3.176151763357275,0,32.84452591234795,0,7.020765233758189,,2.8576403081194393,1.2859569637445334e-12,0,15.0714188
9500rpm_20pct_ramps,9500,0.2,ramps,LESO,True,4.151820392592184,39.27031834175432,121.21344143488028,3.1796135400524697,0,32.86118980169972,0,6.983156495501353,,2.8576403081194393,1.2859569637445334e-12,0,16.9728955
9500rpm_20pct_ramps,9500,0.2,ramps,UDE,True,4.024407705625564,39.270240572039256,119.69442007149846,3.151889581769971,0,32.84452591234795,0,7.339331862121004,,2.8576403081194393,1.2859569637445334e-12,0,17.6552402
9500rpm_20pct_ramps,9500,0.2,ramps,GPIO,True,3.984987303431049,39.270258679238395,119.68807006858546,3.1949080303660566,0,32.92784535910682,0,6.776991263149293,,2.8576403081194393,1.2859569637445334e-12,0,18.4718742
9500rpm_20pct_ramps,9500,0.2,ramps,GPR_FF,True,4.593188032416898,41.941254619412575,137.6887620247449,3.165841314420777,0,0,0,7.052516624029861,,2.8576403081194393,1.2859569637445334e-12,5.4856119646728985e-12,22.3598606
9500rpm_30pct_ramps,9500,0.3,ramps,PI,False,,,,,,,,,10.379999999999995,4.28646046217916,1.2859569637445334e-12,0,74.1313953
9500rpm_30pct_ramps,9500,0.3,ramps,DOB,False,,,,,,,,,10.379999999999995,4.28646046217916,1.2859569637445334e-12,0,67.9658314
9500rpm_30pct_ramps,9500,0.3,ramps,LESO,False,,,,,,,,,10.379999999999995,4.28646046217916,1.2859569637445334e-12,0,56.5455123
9500rpm_30pct_ramps,9500,0.3,ramps,UDE,False,,,,,,,,,10.379999999999995,4.28646046217916,1.2859569637445334e-12,0,58.2358363
9500rpm_30pct_ramps,9500,0.3,ramps,GPIO,False,,,,,,,,,10.364999999999995,4.28646046217916,1.2859569637445334e-12,0,58.8661121
9500rpm_30pct_ramps,9500,0.3,ramps,GPR_FF,False,,,,,,,,,10.379999999999995,4.28646046217916,1.2859569637445334e-12,5.4856119646728985e-12,58.8475802
9500rpm_20pct_steps,9500,0.2,steps,PI,True,6.429517078054857,54.09983349070353,137.68822022786347,3.3334679828097764,0,0,0,4.8639386739403445,,2.8576403081194393,1.2859569637445334e-12,0,15.4069114
9500rpm_20pct_steps,9500,0.2,steps,DOB,True,6.202716728352062,54.09983349032882,120.50816549649016,3.360189015772343,0,33.22779536743876,0,4.594614213552798,,2.8576403081194393,1.2859569637445334e-12,0,13.8912173
9500rpm_20pct_steps,9500,0.2,steps,LESO,True,6.207141983747102,54.09983349081813,121.53040575518652,3.3671663002973258,0,33.22779536743876,0,4.513140222184828,,2.8576403081194393,1.2859569637445334e-12,0,14.4215174
9500rpm_20pct_steps,9500,0.2,steps,UDE,True,5.988879052557896,54.0998334908727,119.69443901834444,3.3788969755762763,0,33.277787035494086,0,4.416278761306204,,2.8576403081194393,1.2859569637445334e-12,0,13.7088511
9500rpm_20pct_steps,9500,0.2,steps,GPIO,True,6.016367135082301,54.09983349074355,119.68841553716857,3.4205849949752354,0,33.277787035494086,0,3.9700815460683603,,2.8576403081194393,1.2859569637445334e-12,0,12.8722581
9500rpm_20pct_steps,9500,0.2,steps,GPR_FF,True,6.712047573133706,56.32924153494241,137.6889006993651,3.323718856780935,0,0,0,4.932758827885153,,2.8576403081194393,1.2859569637445334e-12,5.4856119646728985e-12,17.0343403
9500rpm_30pct_steps,9500,0.3,steps,PI,False,,,,,,,,,10.155000000000001,4.28646046217916,1.2859569637445334e-12,0,58.8064533
9500rpm_30pct_steps,9500,0.3,steps,DOB,False,,,,,,,,,10.155000000000001,4.28646046217916,1.2859569637445334e-12,0,60.1213827
9500rpm_30pct_steps,9500,0.3,steps,LESO,False,,,,,,,,,10.155000000000001,4.28646046217916,1.2859569637445334e-12,0,62.1836048
9500rpm_30pct_steps,9500,0.3,steps,UDE,False,,,,,,,,,10.14,4.28646046217916,1.2859569637445334e-12,0,58.2040913
9500rpm_30pct_steps,9500,0.3,steps,GPIO,False,,,,,,,,,10.155000000000001,4.28646046217916,1.2859569637445334e-12,0,58.1949375
9500rpm_30pct_steps,9500,0.3,steps,GPR_FF,False,,,,,,,,,10.155000000000001,4.28646046217916,1.2859569637445334e-12,5.4856119646728985e-12,61.5896342
