time_s,Nmech,Wf,DOB_request,DOB_sensed,DOB_PI,DOB_command,DOB_disturbance,DOB_acceleration,DOB_SM,DOB_iterations,PTO_hp,PTO_turbine_hp,PTO_compressor_hp,VF_command,VF_setpoint,VF_feedback,VF_error,VF_acceleration,VF_integral,VF_unsaturated,VF_outside,inlet_temperature_K,inlet_pressure_kPa,max_flow_error,valid,compressor_NcMap,compressor_Nc_outside,VR_integrator_error,VR_proportional_term,VR_speed_slope,VR_accel_slope,VR_fallback,FF_total,altitude_m,isa_delta_C
85.695,9449.99347058339,1.61486510635845,9450,9449.9934875064,2.39047499367777,1.61486510635845,0,-0.000328800170199121,18.0844551757173,18,0,15503.5111143427,-15503.5129729146,1.61486510635845,1.60123299197427,1.60122686696653,6.12500773722324e-06,-0.000268386480983118,0.0134687627917569,1.61486510635845,0,257.449897849848,58.3736884065236,8.29033401873886e-10,1,0.999757011178012,0,0.00651259280409275,0.000163351592429083,0.000875043070345302,0.00158804212799228,0,1.60123299197427,4282.5,-2.87
85.71,9449.99346565139,1.61444184680096,9450,9449.99348312059,2.39047998942098,1.61444184680096,0,-0.000338238226882593,18.0820924709785,18,0,15499.2127703244,-15499.2146822457,1.61444184680096,1.60079983499369,1.60079369616471,6.13882898226059e-06,-0.000277830102180887,0.0134785316809631,1.61444184680096,0,257.443657933664,58.3536117173367,8.42140009664647e-10,1,0.99976912663182,0,0.00651697864543464,0.00016348012631021,0.000874272513178089,0.00158807020535219,0,1.60079983499369,4285,-2.86000000000001
85.725,9449.99346057782,1.61401850120576,9450,9449.99347859323,2.3904849920481,1.61401850120576,0,-0.000347657878819636,18.0797299103208,18,0,15494.9137558836,-15494.9157210503,1.61401850120576,1.60036658183011,1.60036042905761,6.15277249216284e-06,-0.000287271037778016,0.0134883071489312,1.61401850120576,0,257.437418011577,58.3335350280954,8.55451041065535e-10,1,0.999781242522611,0,0.00652150742175071,0.000163612226722653,0.000873503348809919,0.00158809824862277,0,1.60036658183011,4287.5,-2.85
85.74,9449.99345536295,1.61359506952249,9450,9449.99347392431,2.39049000166544,1.61359506952249,0,-0.00035708720588528,18.0773674946741,18,0,15490.6140707803,-15490.6160892471,1.61359506952249,1.5999332322676,1.59992706542615,6.16684145038349e-06,-0.00029671048761933,0.0134980894100638,1.61359506952249,0,257.431178083582,58.3134583388031,8.68970232039529e-10,1,0.999793358850446,0,0.00652617690515042,0.000163747844820885,0.000872735577131172,0.00158812625769962,0,1.5999332322676,4290,-2.84
85.755,9449.99345000664,1.61317155175183,9450,9449.9934691139,2.39049501837742,1.61317155175183,0,-0.000366522358293165,18.0750052239095,18,0,15486.3137149989,-15486.3157867988,1.61317155175183,1.59949978608561,1.59949360505652,6.18102909033524e-06,-0.000306147223155569,0.0135078786754216,1.61317155175183,0,257.424938149688,58.2933816494694,8.82699924325358e-10,1,0.999805475615326,0,0.00653098786256036,0.000163886990800538,0.00087196919800587,0.00158815423247823,0,1.59949978608561,4292.5,-2.83000000000001
85.77,9449.9934445088,1.61274794794764,9450,9449.99346416201,2.39050004228987,1.61274794794764,0,-0.000375926697356115,18.0726430967832,18,0,15482.0126887581,-15482.0148137168,1.61274794794764,1.59906624307008,1.59906004772896,6.19534112122899e-06,-0.000315582026095936,0.0135176751572154,1.61274794794764,0,257.418698209867,58.2733049600792,8.96644549514916e-10,1,0.999817592817317,0,0.00653594230627324,0.000164029720337995,0.000871204211298829,0.00158818217285469,0,1.59906624307008,4295,-2.82
85.785,9449.9934388699,1.61232425789201,9450,9449.99345906864,2.39050507350923,1.61232425789201,0,-0.000385431808876112,18.0702811177086,18,0,15477.7109910778,-15477.713169765,1.61232425789201,1.59863260299984,1.59862639322676,6.2097730766375e-06,-0.000325015990858715,0.0135274790706748,1.61232425789201,0,257.412458264128,58.2532282706432,9.10806726939682e-10,1,0.99982971045648,0,0.00654103158906564,0.000164175821498143,0.000870440616837847,0.00158821007872523,0,1.59863260299984,4297.5,-2.81
85.8,9449.99343308843,1.61190048189461,9450,9449.99345383388,2.39051011213879,1.61190048189461,0,-0.000394841877745922,18.0679192801286,18,0,15473.4086233038,-15473.4108551822,1.61190048189461,1.5981988656627,1.59819264133448,6.22432822106056e-06,-0.000334446536660409,0.0135372906180584,1.61190048189461,0,257.406218312468,58.2331515811637,9.25189632829942e-10,1,0.999841828532692,0,0.00654626889210091,0.000164325613850154,0.000869678414484847,0.00158823794998645,0,1.5981988656627,4300,-2.8
85.815,9449.9934271658,1.6114766197422,9450,9449.99344845744,2.39051515829249,1.6114766197422,0,-0.000404286539687746,18.0655575883641,18,0,15469.1055844799,-15469.1078697451,1.6114766197422,1.59776503083895,1.59775879182129,6.23901765983703e-06,-0.000343883167926172,0.0135471100213966,1.6114766197422,0,257.399978354881,58.2130748916428,9.39797139518996e-10,1,0.999853947046136,0,0.00655164459733119,0.000164478881852773,0.000868917604060008,0.00158826578653507,0,1.59776503083895,4302.5,-2.79
85.83,9449.9934211015,1.61105267150725,9450,9449.99344293944,2.39052021207303,1.61105267150725,0,-0.000413717244199886,18.063196040788,18,0,15464.8018749064,-15464.8042134794,1.61105267150725,1.59733109831019,1.59732484447979,6.2538304008708e-06,-0.000353319816200793,0.0135569374882926,1.61105267150725,0,257.393738391364,58.1929982020812,9.54632282704256e-10,1,0.999866065996795,0,0.00655716275089497,0.000164635708766271,0.000868158185387939,0.00158829358826833,0,1.59733109831019,4305,-2.78
